type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist,ITP-134-CIV-Stormwater drainage materials and CCTV,itp,,,,,ITP-134-CIV-Stormwater drainage materials and CCTV Rev 0,,,,,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-134-CIV-SSB-Stormwater drainage materials and CCTV,,,,,,,,,,,,,,,,,,
label,ITP Description: SSB-Stormwater drainage materials and CCTV,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 134-CIV,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,
label,Revision Date: 30/01/2023,,,,,,,,,,,,,,,,,,
label,ITP created by: Hiruni Wickramarathne,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 701 (May 2020),,,,,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 705 (June 2021),,,,,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference: IFC Drawings,,,,,,,,,,,,,,,,,,
section,Preliminaries-Materials,,,,,,,,,,,,,,,,,,
checkpoint,2.2 Drainage Flexible Pipes,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 701.08,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Flexible pipes shall be supplied in accordance with 701.08,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Teambinder Material Approval,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,
checkpoint,2.3 Precast Drainage Pit,,,,,,,,,,,,,,,,,,
label,"REFERENCE: Section 705.07, Section 705.04, Section 705.09",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Precast steel reinforced concrete drainage pits shall be manufactured, supplied and installed in accordance with Section 705.07 & 705.09",,,,,,,,,,,,,,,,,,
label,○ All concrete shall be manufactured to the concrete mix design registered by VicRoads and comply with the requirements of Section 705.04. Concrete grades shall comply with Table 705.041,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Teambinder Material Approval,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,
checkpoint,2.4 Cast in Place Drainage Pit,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 705.06 IFC Drawings,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Cast in place drainage pits shall be constructed in accordance with the requirements of Section 705.06 and at the locations and to the dimensions shown on the drawings.,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Teambinder Material Approval,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,
checkpoint,2.5 Drainage Pit - Step Irons,,,,,,,,,,,,,,,,,,
label,"REFERENCE: Section 705.04, Section 705.12",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Step irons shall be manufactured by 13mm steel bar covered with polypropylene plastic in accordance with 705.04,,,,,,,,,,,,,,,,,,
label,○ Drainage pits greater than 1.0 m deep shall be fitted with step irons in accordance with Section 705.12,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Teambinder Material Approval,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,
checkpoint,2.6 Drainage Bedding Material,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 701.09,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Bedding Material shall be free from perishable matter, lumps and conform with the requirements of Table 701.091 and Table 701.092.",,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Teambinder Material Approval,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,
checkpoint,2.7 Drainage Backfill Material,,,,,,,,,,,,,,,,,,
label,"REFERENCE: Section 701.09, Section 701.19",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Ordinary and Selected Backfill Material shall be free from perishable matter, lumps and conform with the requirements of Table 701.091 and Table 701.092.",,,,,,,,,,,,,,,,,,
label,"○ Where approved by the Superintendent, culverts in trenches may be backfilled to half the pipe diameter or box culvert height with 3% cement stabilised sand in accordance with Section 701.19",,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Teambinder Material Approval,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,
section,Construction / Installation Activities,,,,,,,,,,,,,,,,,,
checkpoint,5.1 Pits - installation,,,,,,,,,,,,,,,,,,
label,"REFERENCE: IFC Drawings VR 701, VR 705",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: All the pits for this separable package are installed and respecting Lots are closed,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each drainage separable package,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This separable package Pit installation Lots,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,5.1 Pipes - installation,,,,,,,,,,,,,,,,,,
label,"REFERENCE: IFC Drawings VR 701, VR 705",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: All the pipe runs for this separable package are installed and respecting Lots are closed,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each drainage separable package,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This separable package Pipe installation Lots,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
section,Post-construction / Post-installation Activities,,,,,,,,,,,,,,,,,,
