type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist,ITP-135-CIV-Stormwater Pits and Pipes Installation,itp,,,,,ITP-135-CIV-Stormwater Pits and Pipes Installation Rev 0,,,,,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-135-CIV-SSB-Stormwater Pits and Pipe Installation,,,,,,,,,,,,,,,,,,
label,ITP Description: SSB-Stormwater Pits and Pipe Installation,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 135-CIV,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,
label,Revision Date: 30/01/2023,,,,,,,,,,,,,,,,,,
label,ITP created by: Hiruni Wickramarathne,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 701 (May 2020),,,,,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 705 (June 2021),,,,,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference: IFC Drawings,,,,,,,,,,,,,,,,,,
section,Preliminaries-Materials,,,,,,,,,,,,,,,,,,
checkpoint,2.1 Materials,,,,,,,,,,,,,,,,,,
label,REFERENCE: Respective separable package Materials and CCTV ITP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Materials are as approved in the main ITP,,,,,,,,,,,,,,,,,,
textbox,Enter: Separable package Lot number:,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
section,Pre-Construction Activities,,,,,,,,,,,,,,,,,,
checkpoint,4.1 Survey Set Out - Pits & Pipes,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings Section 701.10,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Prior to commencement of excavation for the culverts the Contractor shall confirm the position of all culverts with the Superintendent.,,,,,,,,,,,,,,,,,,
label,"○ Survey activities undertaken to ensure and validate the plan location, height and line of pits and location, invert level, plan of pipes in accordance with design documentation and 701.10",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Survey ,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: CHK-001-CIV-Stormwater Drainage Pipes Installation, CHK-002-CIV-Stormwater Drainage Pits Installation",,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
section,Construction / Installation Activities,,,,,,,,,,,,,,,,,,
checkpoint,5.1 Pits - Excavation,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings Section 705.05,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Excavation shall be to the depth indicated on the IFC drawings or as necessary to secure a satisfactory foundation. Precast pits shall have min of 400mm clearance from all external faces of the pit to each face of the excavation.,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"METHOD: Visual inspection, Measure",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,5.2 Pits - Placement of Bedding Material,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings Section 705.05,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Bedding conforming to to 701.09 shall be supplied, placed and compacted to a thickness:",,,,,,,,,,,,,,,,,,
label, > 80mm for clay foundations,,,,,,,,,,,,,,,,,,
label, > 150mm for rock foundations,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"METHOD: Visual inspection, Measure",,,,,,,,,,,,,,,,,,
