"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"652928b3-520d-4922-a390-7a7d3f1a63eb","","checklist-flat","not-started","SYS - Fredon Compliance","checklist-flat","FALSE","FALSE","Compliance Documentation"
"8625df84-f6ff-5a0f-b4ac-b34f5f043499","","checkpoint-status","not-started","","","TRUE","TRUE","Compliance Documentation","Fully compliant, site specific Safety Manual and SWMS have been submitted and accepted by the Principal Contractor."
"4e1f2267-cca4-5abf-b9d5-b3a3adaa3b82","","checkpoint-status","not-started","","","TRUE","TRUE","Compliance Documentation","All Fredon electrical personnel undertaking these works have been trained and inducted in the Safety Manual and the relevant SWMS for these works."
"978cfdf6-ca16-5e66-b702-2d9a0740d08b","","checkpoint-status","not-started","","","TRUE","TRUE","Compliance Documentation","All Fredon electrical personnel undertaking these works are qualified to carry out these works, and are trained, and competent in the use of all equipment and plant required to carry out these works."
"b2ace1a4-35e2-47fa-b513-284f2b0c0df8","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"aba99fe8-b976-4701-ab8f-928212836072","","folder-normal","fail","","step","TRUE","FALSE","Site QA","In Ground Works"
"3d8335f3-5b16-488e-9043-c94f8073b0d2","","folder-normal","fail","","step","TRUE","FALSE","Site QA","In Ground Works","B2"
"c47cd587-351e-4847-809c-1b151bdd5546","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","In Ground Works","B2","Retail"
"2fb8e54e-d3bc-46ff-a47a-ff9fa0cae1a0","","checklist-flat","not-started","ITP 175 In Ground Works","checklist-flat","FALSE","FALSE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works"
"616cc82b-1d92-58f7-8d80-5607d9ecb243","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Ensure that the latest revision drawings and specifications are being referred to"
"09d6f82e-129f-5fc8-8f63-e4120945e07b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Ensure that all new installations have been coordinated with other services, both new and existing"
"392d6a69-8239-5e72-be48-47fa591e70eb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Ensure that the latest service & co-ordinated drawings are being referenced"
"e1ee9f17-d4ca-5bb5-8b85-00e3c4fb3349","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Ensure correct datum points are identified confirm datum points with building works supervisor. Use correct set out measurement tools and equipment"
"c9b2bd0e-1aac-50f4-ac77-38e5b4fdca6e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Engage certified surveyor for critical set out works"
"8176e327-eb23-5e52-87d5-b02cd088cb93","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Identify circuit to be installed, confirm circuit cabling requirement. Select conduit size accordingly"
"216c56df-6f53-529c-80aa-5f45226b4505","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Conduit to be measured and cut using correct tools"
"353f2fd9-d883-5d56-8342-e01dbfca3b45","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Ensure entire conduit installation is fixed to steel work using tie wire"
"3f51b2ae-0fa7-568f-8d35-f67a52ab907c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Ensure conduit installation is supported from deck over entire length"
"1261df3c-56e5-5a12-87c2-9913944a0064","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Ensure that the void/materials are fixed securely at its final location with the correct dimensions to allow the final equipment to be installed at FFL and Adjacent to walls Floor Boxes & Cast in Light's etc"
