Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,ITP2 - Plastering Checklist,,,,,Yes,ITP2 - Plastering Checklist V1,0b3d0138-4cb5-4555-9027-703c841128fa
checkpoint-status,,,checkpoint,Set Out,,,,,,,
label,c51deb79-0918-55a9-8944-cd53da8ce60a,,note,As per current drawings,,,,,,,
checkpoint-status,,,checkpoint,"Door Frames - Installed plumb, level and correctly fixed",,,,,,,
checkpoint-status,,,checkpoint,Frame Walls,,,,,,,
label,e657f982-b91e-5aaa-8436-ff736b718707,,note,Floor/Ceiling track to be secured to structure at no less than 600mm internally and 100mm from ends,,,,,,,
checkpoint-status,,,checkpoint,All required noggins are installed,,,,,,,
label,e14f70e1-bf36-57f0-9239-6575eb81cd91,,note,Installed as per marks by other trades,,,,,,,
checkpoint-status,,,checkpoint,Thermal+Acoustic insulation installed,,,,,,,
label,c90b65f8-889d-5776-b938-14579d293cae,,note,All insulation tight with no gaps,,,,,,,
checkpoint-status,,,checkpoint,Ensure LL pre sheet sign off completed - attach below if possible,,,,,,,
checkpoint-status,,,checkpoint,Sheet Walls,,,,,,,
label,af48b836-a845-55c0-8d1b-84d100e90d3d,,note,Sheets need to be installed as per CSR specifications. Firewalls screwed at no more than 200mm spacings on edge and 300mm internally. Wet areas field screws at 200mm max centres.,,,,,,,
checkpoint-status,,,checkpoint,Firecaulk,,,,,,,
label,be2d4f0e-f1bf-505f-af4a-619a60b53507,,note,Ensure sheets have 10-15mm gap before caulking,,,,,,,
checkpoint-status,,,checkpoint,Frame Ceilings,,,,,,,
label,c67be62f-b97b-5c05-a107-c4f8c7f26c49,,note,Ensure framing is installed as per Studco Ceiling System specifications. Perimeter tracks to be fastened at no more than 600mm centres and no more than 50mm from the stud location.,,,,,,,
checkpoint-status,,,checkpoint,Sheet ceilings/Bulk tile ceiling,,,,,,,
label,df844be3-137b-548d-8f99-b4d7ee8671eb,,note,Sheets installed as per CSR specifications,,,,,,,
checkpoint-status,,,checkpoint,Stop & Sand,,,,,,,
label,ecdb809f-c511-5e07-a90d-1818c4df142c,,note,All joins to Australian standard and screw holes double checked,,,,,,,
checkpoint-status,,,checkpoint,Scrape & Sweep,,,,,,,
label,157ca772-bf14-5a8e-beb6-4cfb69e8fa91,,note,Area clean,,,,,,,
checkpoint-status,,,checkpoint,Signature sign off attached below,,,,,,,
label,172a108e-eb5e-5f43-8cee-fc71f03dead9,,note,This is to confirm M. Pirovano has carried out all necessary inspections and verifies that the work has been completed and conforms to the contract specification(s),,,,,,,
