Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
16f805ca-7301-4127-a14f-7459a6c248ad,checklist,QA_TEM_014_Cable Terminations,,QA_TEM_014_Cable Terminations,,
,section,Cable Terminations,,,,
,checkpoint,Correct type and size gland ,,,,
,checkpoint,Gland properly and securely fitted ,,,,
,checkpoint,Correct cable identification (Cable Size/Cable Type) (Photo required),,,,
,checkpoint,Correct core identification (Photo required) ,,,,
,checkpoint,Cores loomed properly ,,,,
,checkpoint,Cores on correct terminals (Photo required) ,,,,
,checkpoint,Terminals properly tensioned as per manufactures specification:,,,,
,textbox,Torque Setting (NM):,,,,
,textbox,Torque Wrench Serial #                          ,,,,
,checkpoint,Calibration Exp. Date:,,,,
,checkpoint,Cores correctly lugged ,,,,
,checkpoint,Lugs correctly insulated ,,,,
