Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Wet Fire Progress,,,,,,
,Scope,,,wet fire,,
,Rows,,,,,
,,Booster Cupboard (FSW-ITR-500),grouping,booster cupboard (fsw-itr-500),,
,,Booster Cupboard (FSW-ITR-500),expanded,booster cupboard (fsw-itr-500),wet fire,
,,Pre-Action Sprinkler Control Valve Assembly 2 (West),dynamic,pre-action sprinkler control valve assembly 2 (west),wet fire,
,,Pre-Action Sprinkler Control Valve Assembly 1 (East),dynamic,pre-action sprinkler control valve assembly 1 (east),wet fire,
,,Ground Floor (FSW-ITR-100),grouping,ground floor (fsw-itr-100),,
,,Hydrant Installation,expanded,hydrant installation,wet fire,ground floor (fsw-itr-100)
,,Circulation (Wet),expanded,wet fire,circulation (wet),ground floor (fsw-itr-100)
,,Office,expanded,wet fire,office,ground floor (fsw-itr-100)
,,Level 1 (FSW-ITR-101),grouping,level 1 (fsw-itr-101),,
,,Hydrant Installation,expanded,hydrant installation,wet fire,level 1 (fsw-itr-101)
,,Circulation (Wet),expanded,wet fire,circulation (wet),level 1 (fsw-itr-101)
,,Office,expanded,wet fire,office,level 1 (fsw-itr-101)
,,Level 2 (FSW-ITR-102),grouping,level 2 (fsw-itr-102),,
,,Hydrant Installation,expanded,hydrant installation,level 2 (fsw-itr-102),wet fire
,,Circulation (Wet),expanded,level 2 (fsw-itr-102),wet fire,circulation (wet)
,,Office,expanded,level 2 (fsw-itr-102),wet fire,office
,,Level 2a (FSW-ITR-102a),grouping,level 2a (fsw-itr-102a),,
,,Office,expanded,wet fire,office,level 2a (fsw-itr-102a)
,,Level 2b (FSW-ITR-102b),grouping,level 2b (fsw-itr-102b),,
,,Office,expanded,level 2b (fsw-itr-102b),wet fire,office
,,Level 3 (FSW-ITR-103),grouping,level 3 (fsw-itr-103),,
,,Hydrant Installation,expanded,hydrant installation,level 3 (fsw-itr-103),wet fire
,,Circulation (Wet),expanded,level 3 (fsw-itr-103),wet fire,circulation (wet)
,,Office,expanded,level 3 (fsw-itr-103),wet fire,office
,,Roof (FSW-ITR-105),grouping,roof (fsw-itr-105),,
,,Office,expanded,roof (fsw-itr-105),wet fire,office
,Columns,,,,,
,,Booster Assembly Installation,,booster assembly installation,,
,,Pre-Action Valve,,pre-action valve,,
,,Sprinkler Control Valve,,sprinkler control valve,,
,,Sprinkler Installation/Fitoff,,sprinkler installation/fitoff,,
,,Sprinkler & Hydrant Hydrostatic Test,,sprinkler & hydrant hydrostatic test,,
,,Sprinkler Control Valve,,sprinkler control valve,,
,,Hydrant Installation,,hydrant installation,,
,,,,,,
Dry Fire Progress,,,,,,
,Scope,,,dry fire,,
,Rows,,,,,
,,Ground Floor (FSD-ITR-100),,ground floor (fsd-itr-100),dry fire,
,,Level 1 (FSD-ITR-101),,dry fire,level 1 (fsd-itr-101),
,,Level 2 (FSD-ITR-102),,level 2 (fsd-itr-102),dry fire,
,,Level 2a (FSD-ITR-102a),,level 2a (fsd-itr-102a),dry fire,
,,Level 2b (FSD-ITR-102b),,level 2b (fsd-itr-102b),dry fire,
,,Level 3 (FSD-ITR-103),,level 3 (fsd-itr-103),dry fire,
,,Roof (FSD-ITR-104),,dry fire,roof (fsd-itr-104),
,Columns,,,,,
,,Ewis Installation,,ewis installation,,
,,Ewis Installation Fit Off,,ewis installation fit off,,
,,Fire Detection Installation,,fire detection installation,,
,,Fire Detection Fit Off,,fire detection fit off,,
,,SUB FIP'S,,sub fip's,,
,,MIMIC Panel,,mimic panel,,
