"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"110b12e9-485f-46be-aa4a-5d727e63ad1f","","work-in-progress","","folder","TRUE","FALSE","Chipseal"
"efeea3cb-477f-4c82-8e60-950656513155","","not-started","Approved Design Report","checklist","FALSE","FALSE","Chipseal","Approved Design Report"
"8798b40b-e6ae-4dc1-8a16-6f119eb57a0d","","not-started","Production and Testing ITPs","checklist","FALSE","FALSE","Chipseal","Production and Testing ITPs"
"cb9733c3-f549-4255-8563-ff73e47654ae","","not-started","QMP","checklist","FALSE","FALSE","Chipseal","QMP"
"c046eb86-b042-4359-a70b-b166d756d8bf","","not-started","Verified Program","checklist","FALSE","FALSE","Chipseal","Verified Program"
"ee603464-8109-41b8-bcf6-5df87e028da8","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Raukokere Hill III A"
"388381f8-d23f-49a3-97bb-e946d8bf361f","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Raukokere Hill III"
"ad6631bc-c5e2-473a-90d0-bee642c341ea","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Ruakokore Hill"
"8c789fd0-61d5-4d14-b3de-564c9d64d763","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Ruakokore Hill I"
"214c2824-59be-450c-a686-93216e176ad8","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Te Waiti Bridge West"
"dc3ffbb3-127a-4b0f-b3b2-e1236438cce9","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Raukokere West I"
"3fa7c779-b3d5-4871-9100-425e53541e2d","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Pirikaraka Bridge West I"
"3d7f3292-ecad-410d-966b-cbdafd04f484","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Kukumoa Bridge East I"
"2d47b956-b018-4521-86a3-4a5f8ea21bf0","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Huntress creek SCRIM SITE"
"5b20e63f-6094-42a9-b3e5-c3951a3006d7","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Rest Area - Lookout II"
"48f5c4bc-7f4d-4fb2-928a-0b438b6ce387","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Rankin Road SCRIM"
"fa7b17e9-c12f-4a71-ab10-b1436a74e483","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Lysaghts Bridge SCRIM"
"92be76b3-696e-4f10-a8bb-999473fea3de","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Lysaghts Bridge East SCRIM"
"8c2434c4-cc89-4fbb-8ba6-47435d03cfa1","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Lysaghts Bridge East"
"425a0174-25c1-4a77-9df5-7df94872b9d2","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Nukuhou North I"
"90abbcf2-eefa-425b-96dc-d96ab8f44b4d","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Wainui Swamp"
"d630476c-1ed3-4264-8356-f04d60725fc0","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Waimana Straight East 16/17 RS"
"f94bad49-35f0-4c00-a966-2f9d66f1a9b4","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Gun Shop Hill III"
"764c23c8-cd11-424a-9318-2ca26ccdc5cd","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Scout Hall to Timber Yard C"
"7ccad893-28b1-4b76-a4f0-a08b64bb238f","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Onepu Spring Rd to Railway A"
"95b73000-9a87-4149-b2dc-8199b484c042","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Onepu Spring Rd to Railway B"
"e08761af-828c-4a1c-bead-c7d69f27b0c8","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Onepu Spring Rd to Railway C"
"6ddaa6a7-764b-4412-8ba7-ed4fd7200046","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Strawberry Garden"
"360499af-9844-48ae-a8a7-b4d2389b12bf","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Braemar Road West"
"7527d639-d630-41ee-89df-8295cc0a3ed7","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Otipa Curves"
"02070ffd-ca3a-48c7-bfe9-3663c23622bf","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","McKee Overbridge East"
"9b22e939-b162-4705-ac05-1a408228be12","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Sub-station"
"af8117bb-721e-4a03-9000-bfdc27d88865","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Sub-station A"
"8c2b9ab2-d004-46ce-8c6e-159f2df676d7","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Sub-station II"
"61e114e0-c030-4306-a9f8-e686b604f0ed","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Fletcher Avenue East"
"4bbdb62a-b9bd-454f-8975-10c73e48f3f9","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Short Street Inter./West"
"6e7431fa-84fc-4619-b0f0-29a9a3f64388","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Valley Rd"
"83d499df-bdf9-4d99-9225-86356c20fc42","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Tui Glen Forest"
"81fca2c3-c266-484b-a7fc-c9683683ed5e","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Awaiti to Edgecumbe 2015/16 RS"
"d344602e-0ac8-4dbf-bd4c-0d0649492227","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Omeheu Canal Bridge West 2015/16"
"29cc5028-e02f-44c0-9ed5-fbb0a4a7c9f8","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Omeheu Canal Bridge East 2015/16"
"01f681fa-5d53-483c-ad99-0a3ef8c98c62","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Ice sign to Frosty"
"5ea19188-252a-4226-aa0a-513a6ed8a2fd","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Frosty to Stoclpile I"
"a3c74722-e0ab-498d-8c0b-ea6b5511a2a2","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Frosty to Stockpile II"
"e32985db-dcd8-4d0d-bb20-1c8b029d1227","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Anaputu Point"
"5cb3ae98-3f01-4a25-9f04-23f7e201edbf","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Ruato Rock Bluff"
"780d7232-8c98-4d21-97a9-d0c559a0b582","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Te Puia Rd East"
"a9abeb7b-9fc1-465b-8a39-9e04cf4a196b","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Ludgates Hill- Okawa Bay- Takinga"
"24f8bdfd-a688-41eb-aede-d0f9ef94d92b","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Okawa Bay"
"e7839a94-fc52-4373-b99a-37362ed3f8e6","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Mourea"
"e1876a03-6b5d-4450-a17a-dade143d384a","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Kingi Rd II"
"df6cf4e4-1ae9-482d-ba3c-51391ceb8407","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Sun Valley Nth"
"8ef41513-04cd-4a61-8fcb-8c0799e1aa8e","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Sun Valley Curves 2013/14 RHAB"
"2239ab2c-1cdd-4e0e-b4c5-ddfdda7edc2e","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Sun Valley Nth II"
"bff63e4a-3c5b-4b10-976f-9d6936085cf8","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Sun Valley Curves II 2013/14 RHAB"
"4dfadc80-7afb-46eb-a1d5-97ddf317c170","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Pakeha St I"
"f24fafa4-b7bf-4cfb-bf1a-44d542b2a97f","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Pakeha St II"
"d998040c-3fae-4438-bd2c-9cb43d18929e","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Pakeha St-Manawahe Rd"
