"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"601d33c0-ea73-43aa-b4de-3a53050cd348","","pass","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST"
"670d3623-77f5-4e86-b929-7aa89f5be4ea","","pass","","folder","TRUE","FALSE","Checkers Checklist"
"c5ff4e7c-ff75-485c-b669-42e1d634160e","","pass","Checkers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-A1"
"8dd36ea1-2d76-450d-8a31-2eda1dbe19c5","","pass","Checkers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-A2"
"7265ea2a-ca7d-4505-81aa-5a85b28058b4","","pass","Checkers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-A3"
"e10f48ce-450c-4b74-8995-934aca5e1df6","","pass","Checkers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-A4"
"3a8e2372-fa64-4310-b2e8-3edb6b218659","","pass","Checkers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-A5"
"daedf412-2ae3-4ec9-9e1f-2719f92850d2","","pass","Checkers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-A6"
"83003b3b-a6eb-4a25-8841-4e1668476900","","pass","Checkers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-A7"
"aaffb285-8436-41ab-86b4-d73e5713a292","","pass","Checkers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-A8"
"a17fbdd7-ee17-417d-90e7-b0990ebe2b29","","pass","Checkers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-A9"
"00732736-19e6-477f-b5d2-3f06e9c9b7a7","","pass","Checkers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-A10"
"59021674-cda6-452a-b5f8-08954bb6dcda","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B1"
"39ce2cc0-5362-4d63-9af6-b00c4750c04d","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B2"
"bff63633-4ccb-4ee4-b6f0-3049ecb2a8c4","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B3"
"20acb9e8-eb1b-4046-bc9e-2ced2a34e8bb","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B4"
"9c6a7a3d-b89d-460d-9121-f38661cb6218","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B5"
"a5f6c400-014f-49f7-88ce-775b1fc6d0ce","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B6"
"f158b46a-b366-4e47-8e60-2cc35eaef1d8","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B7"
"79dcd9a4-4686-4462-ae5f-9ffb705954b6","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B8"
"73a21802-a5af-471d-804c-6e03e065ed33","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B9"
"5ce53f46-e2bc-40fb-ae1e-91b158687933","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B10"
"7b50509c-772b-4358-9217-98b3b6bcb7e0","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B11"
"c4dee5e1-1cdb-4f7f-a05a-f9ec3114c354","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B12"
"3e39b049-0063-472b-b2b2-7089088dec2c","","pass","Checkers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","DP-B13"
"454fa7a4-2eaf-4f45-a169-b3f682efed0d","","pass","Checkers Checklist - Abutment Base - AA","checklist","FALSE","FALSE","Checkers Checklist","Ab-AA1"
