"Type","Id","Name","Values","Prompting Name","Usage Count","Resource Id"
"checklist",,"03.04 - Pre Cast End Structure","itp","03.04 - Pre Cast End Structure",0,"076b9180-2ac9-419a-ae5e-101a42967811"
"section",,"Details",,,,
"checkpoint",,"Precast end structure conforms to Cl6.6, Concrete Mortar conforms to Cl6.2",,,,
"note","204a5713-0075-58e1-9c2b-cbdfdf406709","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","111310e0-33cc-5551-999e-49c355d036f1","Check Item - Check Item",,,,
"note","081f4610-2872-5936-a753-db656b724edd","Reference - MRTS03 Cl 16.2",,,,
"checkpoint",,"Constructed in the locations specified on the project drawings",,,,
"note","c7f57940-025d-59e3-b04d-b0e77887ae48","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","e2a6f3e1-9aba-5f37-8da6-4c1fc0f6380b","Check Item - Check Item",,,,
"note","97e8afb3-900d-5bdc-9362-37b4020c9f4b","Reference - MRTS03 Cl 16.3",,,,
"checkpoint",,"Where material on or against which end structures are to be constructed is other than rock, the material is compacted as per bottom of excavations in accordance with MRTS04 General Earthworks.",,,,
"note","f6fd3989-5e65-50da-960a-b4cb20aa2cce","Acceptance Criteria and Frequency (Project Specific) - Visual, ITP",,,,
"note","e135f84f-e4df-5e79-8e2a-e12b98660be7","Check Item - Check Item",,,,
"note","8b219e1e-6b86-5b19-89bd-e6b2cb7bac38","Reference - MRTS03 Cl 16.3",,,,
"checkpoint",,"End Structures laid on foundation bedding which provides continuous even support",,,,
"note","7fddbbe5-98c4-5373-9aa7-82ad54556cb1","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","7d55913c-d41b-5b7a-8379-7602cf53a90e","Check Item - Check Item",,,,
"note","5a9ed292-ca5d-5700-8112-ef705e6b4b2d","Reference - MRTS03 Cl 16.3",,,,
"checkpoint",,"Joints between end structure and culvert in addition to any holes and recesses are filled with cement mortar and finished smooth and uniform and cured for 48hrs",,,,
"note","dbf74a04-6052-59b2-9a4c-024f7c882ca2","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","97e17cb9-7ab4-5cd4-8aad-e02a70a1258b","Check Item - Check Item",,,,
"note","910e9c40-4c67-51fa-9e56-73bf5596a9c6","Reference - MRTS03 Cl 16.3",,,,
"checkpoint",,"Backfilling operations not undertaken during curing period and complies with MRTS04",,,,
"note","b90bb2bd-a87d-5ce1-bee6-de22cb1f2bfa","Acceptance Criteria and Frequency (Project Specific) - Visual, ITP",,,,
"note","684a5d08-261e-5aff-9c2d-ef4366dd298c","Check Item - Check Item",,,,
"note","d8687892-5616-54e8-ab72-6d3c2c91f3d7","Reference - MRTS03 Cl 16.3",,,,
"checkpoint",,"Geometrics All points for which levels are shown on the drawings",,,,
"note","d4d1f9ec-e120-5346-8962-488e18b3a96e","Acceptance Criteria and Frequency (Project Specific) - Horizontal: ±100mm, Vertical Invert: ±10mm",,,,
"note","45caf98e-5e06-5a37-b85f-6187beefd488","Check Item - Check Item",,,,
"note","364deaa7-79b6-5645-abe7-586385cd2e55","Reference - MRTS03.1 Cl. 1",,,,
"checkpoint",,"Final Verification",,,,
"note","3177edc5-9932-5c45-a17f-32e0b8c75a35","Project Manager Verify that the Above has been Constructed according to Specification",,,,
"textbox","5207f5ce-9f72-5579-b0c5-3f41bb5105ed","Print Name:",,,,
"date","3c3d24d3-2ff6-5fc7-af1a-966ae9fed93a","Date:",,,,
"note","543858a4-636c-56a9-a35f-112302487455","Client Verify that the Above has been Constructed according to Specification",,,,
"textbox","ed5eb1cf-bd4d-578d-bbd6-225435e649e3","Print Name:",,,,
"date","36c5613f-b7c8-5b5b-93b4-35c74f10f245","Date:",,,,
"signoff",,"Signature",,,,

"checklist",,"10.01 - Plant Mixed Lightly Bound (Cemented) Pavements","itp","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements",0,"14485e32-7cf0-4bf1-9b64-a4d0b67baa43"
"section",,"Details",,,,
"checkpoint",,"No lightly bound pavement works commenced until all relevant construction procedures have been accepted by the Administrator.",,,,
"note","aaa289ec-f18e-5851-ba55-08d385b16532","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","a3d528a3-fde5-51b7-ba19-421f8d3b4523","Check Item - HOLD POINT 1 Milestone",,,,
"note","35ab3bd9-3d94-50ba-aa0d-6f5d7fb8d3c5","Reference - Clause 5.2 MRTS10",,,,
"signoff",,"HOLD POINT",,,,
"checkpoint",,"Lightly Bound Pavement Construction Procedure submitted to Administrator at least 14 days prior to commencement of pavement works.",,,,
"note","6f9e9763-c3dd-5c47-b442-c8ae3a33905a","Acceptance Criteria and Frequency (Project Specific) - Submitted 14 Days Prior",,,,
"note","a3e96907-2bb6-59d7-96cd-086cb0b0e0ea","Check Item - Milestone",,,,
"note","732d13a5-6278-5754-a335-e51222a11831","Reference - MRTS10 Clause 5.2.1",,,,
"checkpoint",,"The unbound pavement material to be used as part of the plant-mixed lightly bound pavement conforms to the requirements of MRTS05.",,,,
"note","12d78ce5-b3c7-591c-8d21-54fe1ea92235","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","12e43fb2-e886-5cb1-af3a-78b2c6e1cced","Check Item - Hold Point 2",,,,
"note","dd6d58ff-0e15-5dfe-99c4-3dc701edc13c","Reference - MRTS10 Clause 6.1",,,,
"signoff",,"HOLD POINT",,,,
"checkpoint",,"Regsitered mix design and terget content of stabilisation agent nominated and submitted to Administrator along with: 1. Stabilised Mix Design Certificate, 2. Quarry Registration Certificate",,,,
"note","8877b2a0-17ae-5f4a-835b-42b1672ae061","Acceptance Criteria and Frequency (Project Specific) - Submitted 14 Days Prior",,,,
"note","7a58d887-aaca-5dd0-8347-dfcdb397527f","Check Item - HOLD POINT 3",,,,
"note","ed2b1f4a-8e2d-515f-9b0b-66f981f36f84","Reference - MRTS10 Clause 7.1",,,,
"signoff",,"HOLD POINT",,,,
"checkpoint",,"A trial of the manufacturing and laying operations shall be caried out prior to commencement of the work.",,,,
"note","4d741429-eba3-5f77-9ae8-54a135d4fff6","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","c7a5510a-a7c8-5e48-8b61-80fd9a798ec5","Check Item - WITNESS POINT 1",,,,
"note","ada507de-33ac-5ba5-b56f-58d46e20c93b","Reference - MRTS10 Clause 8.1",,,,
"checkpoint",,"Prior to continuing works after completion of the trial, records which demonstrate compliance submitted to the Adminstrator for acceptance.",,,,
"note","9214b4bc-68dd-5b60-8849-96df2318a06d","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","a9db5247-0070-5477-9fc2-9c4a2b1fe0ea","Check Item - Hold Point 4",,,,
"note","830bc843-01c6-53ce-a8e2-2153110fd5e7","Reference - MRTS10 Clause 8.1",,,,
