type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,
checklist-flat,CHK-003-CIV-Precast Reinforced Concrete Pipes & Pits - Material Delivery Inspection,itp,,,,,CHK-003-CIV-Precast Reinforced Concrete Pipes & Pits - Material Delivery Inspection,ff9eef7c-b76e-4ebb-adde-76ac9eb4fd12,,,,,,
checkpoint-no-status,Referenced Documentation,,,,,,,,,,,,,
label,Document Title: CHK-003-CIV-Precast Reinforced Concrete Pipes & Pits - Material Delivery Inspection,,,,,,,,,,,,,
label,ITP Description: Precast Reinforced Concrete Pipes & Pits - Material Delivery Inspection,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,
label,Revision Date: 20/06/2023,,,,,,,,,,,,,
label,ITP created by: Kamel Alshobaki,,,,,,,,,,,,,
label,ITP approved for use by: Jon De Castro ,,,,,,,,,,,,,
checkpoint,1 - Materials - Fabrication,,,,,,,,,,,,,
note,Reference / ITP Reference - IFC Drawings,,,,,,,,,,,,,
note,• Section 620,,,,,,,,,,,,,
note,• Section 701,,,,,,,,,,,,,
note,• Section 705,,,,,,,,,,,,,
note,Acceptance Criteria - (1) Precast items manufactured in accordnace with IFC Drawings,,,,,,,,,,,,,
textbox,Drawing Ref No.,,,,,,,,,,,,,
note,Method - Visual Inspection,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsibility - SE,,,,,,,,,,,,,
note,Verifying Documents - Material Delivery Docket,,,,,,,,,,,,,
checkpoint,2 - Materials - Delivery,,,,,,,,,,,,,
note,Reference / ITP Reference - IFC Drawings,,,,,,,,,,,,,
note,• Section 620,,,,,,,,,,,,,
note,• Section 701,,,,,,,,,,,,,
note,• Section 705,,,,,,,,,,,,,
note,Acceptance Criteria - (1) Purchase Order and Material Description and Qtys matches,,,,,,,,,,,,,
note,(2) Ensure precast concrete elements are as per IFC Drawings with no damages upon delivery,,,,,,,,,,,,,
note,(3) Lifting and Manufacture compliance certification provided,,,,,,,,,,,,,
textbox,Purchase Order No.,,,,,,,,,,,,,
note,Method - Visual Inspection,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsibility - SE,,,,,,,,,,,,,
note,Verifying Documents - Material Delivery Docket,,,,,,,,,,,,,
note,• Purchase Order,,,,,,,,,,,,,
checkpoint,3 - Materials - Manufacture's Certificate of Compliance,,,,,,,,,,,,,
note,Reference / ITP Reference - IFC Drawings,,,,,,,,,,,,,
note,• Section 620,,,,,,,,,,,,,
note,• Section 701,,,,,,,,,,,,,
note,• Section 705,,,,,,,,,,,,,
note,Acceptance Criteria - (1) Ensure Manufacturer’s certificates of compliance are received for precast RCP during delivery on site and min required strength is achieved prior to transporting.,,,,,,,,,,,,,
note,Method - Visual Inspection,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsibility - SE,,,,,,,,,,,,,
note,Verifying Documents - Material Delivery Docket,,,,,,,,,,,,,
note,• Compliance Certificate,,,,,,,,,,,,,
checkpoint,4 - Materials - Delivery to site & Storage,,,,,,,,,,,,,
note,Reference / ITP Reference - IFC Drawings,,,,,,,,,,,,,
note,• Section 620,,,,,,,,,,,,,
note,• Section 701,,,,,,,,,,,,,
note,• Section 705,,,,,,,,,,,,,
note,"Acceptance Criteria - (1) Identification of product is legible (Stamp, Label, Etc) and should be marked on every precast element.",,,,,,,,,,,,,
note,(2) Precast elements are unloaded and stored properly on site as per manufacturer's recommendations.,,,,,,,,,,,,,
note,Method - Visual Inspection,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsibility - SE,,,,,,,,,,,,,
note,Verifying Documents - Material Delivery Docket,,,,,,,,,,,,,
checkpoint,5 - Materials - Others,,,,,,,,,,,,,
note,Reference / ITP Reference - IFC Drawings,,,,,,,,,,,,,
note,• Section 620,,,,,,,,,,,,,
note,• Section 701,,,,,,,,,,,,,
note,• Section 705,,,,,,,,,,,,,
textbox,Acceptance Criteria - Enter: Additional Comments,,,,,,,,,,,,,
note,Method - Visual Inspection,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsibility - SE,,,,,,,,,,,,,
note,Verifying Documents - Material Delivery Docket,,,,,,,,,,,,,
