type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,
checklist,CHK-001-CIV-Stormwater Drainage Pipes Installation,itp,,,,,CHK-001-CIV-Stormwater Drainage Pipes Installation,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,
checkpoint-no-status,Referenced Documentation,,,,,,,,,,,,,
label,Document Title: CHK-001-CIV-Stormwater Drainage Pipes Installation,,,,,,,,,,,,,
label,ITP Description: Stormwater Drainage Pipes Installation Checklist,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,
label,Revision Date: 20/06/2023,,,,,,,,,,,,,
label,ITP created by: Kamel Alshobaki,,,,,,,,,,,,,
label,ITP approved for use by: Jon De Castro ,,,,,,,,,,,,,
checkpoint,1.1 - Non Dependent,,,,,,,,,,,,,
label,Reference - VR Section 701,,,,,,,,,,,,,
checkpoint,1.2 - Non Dependent,,,,,,,,,,,,,
label,Reference - VR Section 705,,,,,,,,,,,,,
checkpoint,1.3 - Main ITP,,,,,,,,,,,,,
label,Reference - ITP-041-CIV-Brunt-Stormwater Drainage Supply & Installation,,,,,,,,,,,,,
label,Acceptance Criteria - This Checklist should be used in conjunction with ITP-041-CIV-Brunt-Stormwater Drainage Supply & Installation,,,,,,,,,,,,,
textbox,Enter: Main ITP Lot Number,,,,,,,,,,,,,
section,2. Preliminaries - Materials,,,,,,,,,,,,,
checkpoint,2.1 - Bedding,,,,,,,,,,,,,
note,Reference - VR Section 701,,,,,,,,,,,,,
note,Acceptance Criteria - Materials used for bedding and selected backfill shall be free from perishable matter and lumps and Shall conform with the Material Approval in the Main ITP.,,,,,,,,,,,,,
note,• ATTACH: Bedding Material Delivery Docket,,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
note,• Material Delivery Docket,,,,,,,,,,,,,
checkpoint,2.2 - Backfill Material,,,,,,,,,,,,,
note,Reference - VR Section 701,,,,,,,,,,,,,
note,Acceptance Criteria - Materials used for bedding and selected backfill shall be free from perishable matter and lumps and shall conform with the Material Approval in the Main ITP. ,,,,,,,,,,,,,
note,• ATTACH: Backfill Material Delivery Docket,,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
note,• Material Delivery Docket,,,,,,,,,,,,,
checkpoint,2.3 - Stabilized Sand,,,,,,,,,,,,,
note,Reference - VR Section 701,,,,,,,,,,,,,
note,"Acceptance Criteria - Where approved by the Superintendent, culverts in trenches may be backfilled to half the pipe diameter or box culvert height with 3% cement stabilised sand with a water content sufficient to ensure penetration beneath the pipe",,,,,,,,,,,,,
note,• ATTACH: Selected Backfill Material Delivery Docket,,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
note,• Material Delivery Docket,,,,,,,,,,,,,
section,3. Preliminaries - Procedures & Documentation,,,,,,,,,,,,,
checkpoint,3.1 - Subcontractor QA Submissions and Approved ITP,,,,,,,,,,,,,
note,Reference - ITP-041-CIV-Brunt-Stormwater Drainage Supply & Installation,,,,,,,,,,,,,
note,Acceptance Criteria - Subcontractor Signed ITP Shall conform with the Hold Point Release in the Main ITP.,,,,,,,,,,,,,
note,• ATTACH: Subcontractor Signed ITP ,,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,Frequency - Each Lot (in case undertaken by subcontractor),,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,
section,4. Pre-construction Activities,,,,,,,,,,,,,
checkpoint,4.1 - Survey Set-Out,,,,,,,,,,,,,
note,Reference - VR Section 701.10,,,,,,,,,,,,,
note,Acceptance Criteria - Prior to commencement of excavation for the culverts the Contractor shall confirm the position of all culverts with the Superintendent.,,,,,,,,,,,,,
note,• The culverts constructed shall be constructed true to line and level.,,,,,,,,,,,,,
note,• MARK UP LOCATION OF THIS LOT ON THE MAIN LOT MAP,,,,,,,,,,,,,
note,"Method - Survey, Measure",,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
note,• Attach Main Lot Map,,,,,,,,,,,,,
section,5. Construction Activities,,,,,,,,,,,,,
checkpoint,5.1 - Trench Excavation,,,,,,,,,,,,,
note,Reference - VR Section 701.15,,,,,,,,,,,,,
note,"Acceptance Criteria - For box culverts, the width of the trench shall be such that the clearance from the outside of the culvert to the wall of the trench is in the range 0.5 to 1.0 times the overall height of the culvert.",,,,,,,,,,,,,
note,• Horizontal Clearance to wall of trench ,,,,,,,,,,,,,
note,○ Pipe Culverts:,,,,,,,,,,,,,
