type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,
checklist,CHK-002-CIV-Stormwater Drainage Pits Installation,itp,,,,,CHK-002-CIV-Stormwater Drainage Pits Installation,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,
checkpoint-no-status,Referenced Documentation,,,,,,,,,,,,,
label,Document Title: CHK-002-CIV-Stormwater Drainage Pits Installation,,,,,,,,,,,,,
label,ITP Description: Stormwater Drainage Pits Installation Checklist,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,
label,Revision Date: 20/06/2023,,,,,,,,,,,,,
label,ITP created by: Kamel Alshobaki,,,,,,,,,,,,,
label,ITP approved for use by: Jon De Castro ,,,,,,,,,,,,,
checkpoint,1.1 - Non Dependent,,,,,,,,,,,,,
label,Reference - VR Section 701,,,,,,,,,,,,,
checkpoint,1.2 - Non Dependent,,,,,,,,,,,,,
label,Reference - VR Section 705,,,,,,,,,,,,,
checkpoint,1.3 - Main ITP,,,,,,,,,,,,,
label,Reference - ITP-041-CIV-Brunt-Stormwater Drainage Supply & Installation,,,,,,,,,,,,,
label,Acceptance Criteria - This Checklist should be used in conjunction with ITP-041-CIV-Brunt-Stormwater Drainage Supply & Installation,,,,,,,,,,,,,
textbox,Enter: Main ITP Lot Number,,,,,,,,,,,,,
section,2. Preliminaries - Materials,,,,,,,,,,,,,
checkpoint,2.1 - Bedding,,,,,,,,,,,,,
note,Reference - VR Section 701,,,,,,,,,,,,,
note,Acceptance Criteria - Materials used for bedding and selected backfill shall be free from perishable matter and lumps and Shall conform with the Material Approval in the Main ITP.,,,,,,,,,,,,,
note,• ATTACH: Bedding Material Delivery Docket,,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
note,• Material Delivery Docket,,,,,,,,,,,,,
checkpoint,2.2 - Backfill Material,,,,,,,,,,,,,
note,Reference - VR Section 701,,,,,,,,,,,,,
note,Acceptance Criteria - Materials used for bedding and selected backfill shall be free from perishable matter and lumps and Shall conform with the Material Approval in the Main ITP. ,,,,,,,,,,,,,
note,• ATTACH: Backfill Material Delivery Docket,,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
note,• Material Delivery Docket,,,,,,,,,,,,,
section,3. Preliminaries - Procedures & Documentation,,,,,,,,,,,,,
checkpoint,3.1 - Subcontractor QA Submissions and Approved ITP,,,,,,,,,,,,,
note,Reference - ITP-041-CIV-Brunt-Stormwater Drainage Supply & Installation,,,,,,,,,,,,,
note,Acceptance Criteria - Subcontractor Signed ITP Shall conform with the Hold Point Release in the Main ITP.,,,,,,,,,,,,,
note,• ATTACH: Subcontractor Signed ITP ,,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,Frequency - Each Lot (in case undertaken by subcontractor),,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,
section,4. Pre-construction Activities,,,,,,,,,,,,,
checkpoint,4.1 - Survey Set-Out-,,,,,,,,,,,,,
note,Reference -  VR Section 710.10,,,,,,,,,,,,,
note,Acceptance Criteria - Prior to commencement of excavation the Contractor shall confirm the position of pits with the Superintendent.,,,,,,,,,,,,,
note,• PROVIDE MARK-UP LOCATION OF THIS LOT ON THE MAIN LOT MAP,,,,,,,,,,,,,
note,"Method - Survey, Measure",,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
note,• Attach Main Lot Map,,,,,,,,,,,,,
section,5. Construction Activities,,,,,,,,,,,,,
checkpoint,5.1 - Survey Set Out,,,,,,,,,,,,,
note,Reference - VR Section 701.10,,,,,,,,,,,,,
note,"Acceptance Criteria - Survey activities undertaken to ensure and validate the plan location, height and line of pits in accordance with design documentation and 701.10",,,,,,,,,,,,,
note,Method - Visual inspection ,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.2 - Pit Excavation,,,,,,,,,,,,,
note,Reference - VR Section 705.05,,,,,,,,,,,,,
note,Acceptance Criteria - Excavation shall be to the depth indicated on the design documentation. Precast pits must have a clearance of 400mm from excavation face and external face of pit.,,,,,,,,,,,,,
note,Method - Visual inspection ,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.3 - Excavation of Foundation,,,,,,,,,,,,,
note,Reference - VR Section 705.05,,,,,,,,,,,,,
note,"Acceptance Criteria - Bedding conforming to to 710.09 shall be supplied, placed and compacted to a thickness:",,,,,,,,,,,,,
note,• > 80mm for clay foundations,,,,,,,,,,,,,
note,• > 150mm for rock foundations,,,,,,,,,,,,,
note,Method - Visual inspection,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.4 - Placement of Pit - Conformity with drawings,,,,,,,,,,,,,
note,Reference - VR Section 701.10,,,,,,,,,,,,,
note,Acceptance Criteria - The location of each run of underground drainage shall be verified by a survey certificate prior to backfilling the culverts and shall be recorded progressively on the Contractor’s as constructed drawings,,,,,,,,,,,,,
note,• Unless specified otherwise the tolerance on location of pipes compared to the design or a change to the design notified in accordance with this clause shall be:,,,,,,,,,,,,,
note,(a) offset of entry pits required to match lines of  kerbs or barriers ±20 mm,,,,,,,,,,,,,
note,(b) plan location of pits other than offsets to kerb lines or barriers ±100 mm,,,,,,,,,,,,,
note,(c) invert level of pipes at pits ±50 mm,,,,,,,,,,,,,
note,(d) departure from design grade of pipe runs ±10 mm in 10 m provided minimum grade is not less than 1:250,,,,,,,,,,,,,
note,• ATTACH: Survey Report / Data,,,,,,,,,,,,,
note,Method - Measure,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
note,• Attach Survey Report,,,,,,,,,,,,,
checkpoint,5.5 - Jointing,,,,,,,,,,,,,
note,Reference - VR Section 705.11,,,,,,,,,,,,,
note,"Acceptance Criteria - All connections shall be finished to provide a smooth surface, uniform with the inner of the pit structure. Saw cut surrounding hole shall not exceed 50mm greater than the pipe diameter.",,,,,,,,,,,,,
note,• Exposed reinforcement shall be coated with an approved epoxy treatment,,,,,,,,,,,,,
note,Method - Visual inspection ,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.6 - Shaping of Floor,,,,,,,,,,,,,
note,Reference - VR Section 705.13,,,,,,,,,,,,,
note,Acceptance Criteria - Pit floors are smoothly shaped from inlet to outlet for a height one third the diameter of the outlet pipe.,,,,,,,,,,,,,
note,Method - Visual inspection ,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.7 - Step Irons,,,,,,,,,,,,,
note,Reference - VR Section 705.12,,,,,,,,,,,,,
note,Acceptance Criteria - Drainage pits greater than 1.0m deep shall be fitted with step irons in accordance with AS 1657. Ladder rungs shall not obstruct openings and that water does not discharge on them.,,,,,,,,,,,,,
note,Method - Visual inspection ,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.8 - Fitting of Covers,,,,,,,,,,,,,
note,Reference - VR Section 705.17,,,,,,,,,,,,,
note,"Acceptance Criteria - Frames for drainage pit covers shall be cast in place or or bedded on fresh mortar, 5mm thick, consisting of 2 parts sand and 1 part cement.",,,,,,,,,,,,,
note,• Height shall be within 10mm of the design level.,,,,,,,,,,,,,
note,Method - Visual inspection ,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.9 - Backfilling Around Drainage Pits,,,,,,,,,,,,,
note,Reference - VR Section 705.18,,,,,,,,,,,,,
note,Acceptance Criteria - Backfilling around drainage pits shall be placed in layers not exceeding 300mm loose thickness and compacted to refusal.,,,,,,,,,,,,,
note,Method - Visual inspection,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
section,6. Post-construction Activities,,,,,,,,,,,,,
checkpoint,6.1 - Compaction and Moisture content tests,,,,,,,,,,,,,
note,Reference - VR Section 701.20,,,,,,,,,,,,,
note,"Acceptance Criteria - Bedding and backfill shall be assessed for compaction and or moisture in lots.  The number of tests per lot shall be three.  A lot shall consist of one layer of bedding or backfill for a culvert length between adjacent pits or endwalls.  Notwithstanding the provisions of Section 173, a minimum of 20% of all lots for each culvert shall be tested.",,,,,,,,,,,,,
note,• ATTACH: Compaction and Moisture content test results:,,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsible person - SE/PE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
note,• Attach Test Results,,,,,,,,,,,,,
checkpoint,6.2 - CCTV Inspection,,,,,,,,,,,,,
note,Reference - VR Section 701.30,,,,,,,,,,,,,
note,"Acceptance Criteria - All drainage lines constructed shall be inspected, after completion of earthworks to subgrade level and prior to construction of pavement layers, by an independent testing organisation using closed circuit television (CCTV) to verify that the flow of water is not obstructed by waste construction material left inside and to check for visible signs of defects.",,,,,,,,,,,,,
note,• ATTACH: CCTV Report (PDF),,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP,,,,,,,,,,,,,
note,Responsible person - Nominated Authority,,,,,,,,,,,,,
note,Verifying Documents - ConQA HP Release ,,,,,,,,,,,,,
note,• Attach CCTV Reports,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,
checkpoint,6.3 - Non-conformance Report (NCR) Closure,,,,,,,,,,,,,
note,Reference - MRPA Quality Management Plan,,,,,,,,,,,,,
note,"Acceptance Criteria - Ensure that any NCRs pertaining to the lot / element / Work area that this ITP covers, have been closed in Teambinder.",,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,"Frequency - Once, prior to closure of this lot / element / Work area",,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - PE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,,
note,"On behalf of Metropolitan Roads Program Alliance, it is hereby certified that the Works represented by the item of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.",,,,,,,,,,,,,
textbox,Name:,,,,,,,,,,,,,
textbox,Position:,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,
signoff,Sign ITP,,,,,,,,,,,,,
