"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"06a004aa-ba78-408e-9c3f-d67094b6e32e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Daily Pre-starts"
"a17d6eaa-0a05-4b4a-b14e-63a4e2305a5d","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"8a5cbb0b-98cb-53eb-851f-0f085a290c10","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"5d29bb8c-7557-5098-8350-441e3c300160","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"7e6beb83-cb8e-48e6-a145-3dcb8ffd39f6","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"c1ab97ef-b472-569c-b1e0-32c628de9634","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"e16710bf-de17-51c2-87cc-159ff9666cc5","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"1659403d-681b-4c9b-8a8c-528017f72f81","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"afd939ab-03e9-54c4-a646-4fed9b4309b5","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"2f2f5034-517f-5da4-8fa9-f691021594f9","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"ddd6682f-7f22-46fe-a913-85d412e2d73e","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"9a04bcad-9a59-59e1-b114-71c6240c07bf","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"a9ce3c08-37f4-58de-8add-766ceafec2fd","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"ee755de8-24e7-4f1a-a541-92a95dd49174","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"71430518-6ffd-5015-a4aa-b2e9848d7f08","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"090d081d-61a6-578b-9eb1-52edb80a7592","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
