type,name,values,prefix,postfix,usage count,user addable,template name,Resource ID,,,,,,,
checklist,ITP-195-CIV-SSB-Kerb and Channel,itp,,,,,ITP-195-CIV-SSB-Kerb and Channel Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-195-CIV-SSB-Kerb and Channel,,,,,,,,,,,,,,
label,ITP Description: SSB-Kerb and Channel,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 195-CIV,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,
label,Revision Date: 27/08/2024,,,,,,,,,,,,,,
label,ITP created by: Isaac El Zayat,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,
label,"Reference: VicRoads Section 703, VR SD2001, VR SD2102, AS 2876, AS1379",,,,,,,,,,,,,,
section,Preliminary Works - Materials,,,,,,,,,,,,,,
checkpoint,2.2 Mix design,,,,,,,,,,,,,,
label,"REFERENCE: SD2001, AS1379",,,,,,,,,,,,,,
label,"○ Section 703.05, 703.06, 703.07",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Approved VR mix design to be used. ,,,,,,,,,,,,,,
label,○ Concrete being placed via extrusion machines have minimum cement content of 320 kg kg/m3,,,,,,,,,,,,,,
label,"○ Where K&C is placed and compacted with internal vibration between previously placed formwork, concrete shall be: N32 portland cement–based concrete",,,,,,,,,,,,,,
textbox,TeamBinder Material approval number for the Concrete Mix:,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,METHOD: Verify,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
