type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist,Rough in,,,,,,ITR No.05 - Rough in,,
section,Details,,,,,,,,
checkpoint-no-status,Drawing Rev No.,,,,,,,,
checkpoint,"Area clear, tidy and accessible ",,,,,,,,
checkpoint,Rough in all lighting feeds and label on plan ,,,,,,,,
checkpoint,Rough in of all lighting circuits- inc Emg/Exits and sensors ,,,,,,,,
checkpoint,Rough in of all external lights,,,,,,,,
checkpoint,Rough in all power feeds and label on plan,,,,,,,,
checkpoint,Rough in of all power circuits ,,,,,,,,
checkpoint,Check for clashes with other services,,,,,,,,
checkpoint,Assess all relevent drawings to ensure cables are in appropriate location.,,,,,,,,
checkpoint,Ensure area is left clean,,,,,,,,
checkpoint,Make sure any junctions are left in an accessible area and clearly marked on relevent plans/uploaded to conqa,,,,,,,,
checkpoint,Power plans are uploaded with location of feeds,,,,,,,,
checkpoint,Lighting plans are uploaded with location of feeds including dali route.,,,,,,,,
,,,,,,,,,
checklist,Fit Off,,,,,,ITR No.07 - Fit Off,,
section,Details,,,,,,,,
checkpoint-no-status,Drawing Rev No.,,,,,,,,
checkpoint,"Area clear, tidy and accessible ",,,,,,,,
checkpoint,Ensure danger tags have up to date contact & isolation details,,,,,,,,
checkpoint,LOCK OFF & TAG circuits that require isolation (Ensure key is with supervisor),,,,,,,,
checkpoint,Test circuits to ensure they are isolated,,,,,,,,
checkpoint,"Area clear, tidy and accessible ",,,,,,,,
checkpoint,Fit off all Lights,,,,,,,,
checkpoint,Fit off all Sensors and SET TIME TO MINIMUM,,,,,,,,
checkpoint,Fit off all EX/EMG’s,,,,,,,,
checkpoint,Label all EX/EMG’s as per plan number,,,,,,,,
checkpoint,Fit off all GPOs,,,,,,,,
checkpoint,"Fit off of all isolators (signs, hand dryers, hws)",,,,,,,,
checkpoint,Ensure all fit off has been ticked off on plans once completed,,,,,,,,
checkpoint,Ensure area is left clean,,,,,,,,
,,,,,,,,,
