"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b482182c-2e25-47b9-b2e7-fa5cebbc4038","","checklist-flat","pass","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"d924c322-c128-507a-9f39-e02b374cc859","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"26a4297d-133a-5674-85a5-8731c42931f6","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"4b22831a-36f3-530c-8aa2-d556b715f61f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"4d1a38d8-3fb5-5ad5-b2a4-0cef7fbd9c46","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"41f84eca-dc57-5123-ba8c-fe26465e4e54","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"e73fa813-3e4d-5d1a-af87-accc6f0a80a6","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"879ee930-294d-49b7-b438-0caf28e50165","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"21197986-7c8a-4f2c-a141-7d9b0aef3907","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 01"
"dc80e1cc-4342-4067-88db-fbe79f024ee1","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01"
"e3efab24-927b-410f-92b0-f3194dcc60d5","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Pre-Fit Off Checklist"
"30f0cf7b-db0d-50c5-8b99-873772ceb70a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"b6cfb1c3-dba1-51f8-bd1f-2633915e259f","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Pre-Fit Off Checklist","EMAIL PM"
"3975826a-5819-5f6a-8fb2-cd04cfeec598","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"253e26be-8ccd-5b12-b66b-bd39f8976525","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Pre-Fit Off Checklist","Photos taken"
"f3530532-a0e6-4692-baac-e577941ea4fc","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Rail Checklist 01"
"1464463e-d122-5e69-95c7-ec9edc7b9538","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Rail Checklist 01","Confirm the structure is in accordance with the details supplied by PBI"
"ca971ccc-e0d5-50d3-843d-9135ce92b3cd","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Rail Checklist 01","EMAIL PM"
"9872f66b-193b-5e7e-bb4c-ec09c2e2e17c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Rail Checklist 01","Photo taken of Engraved Line Plate / ID Tag"
"4d3b01ba-a558-5c37-87b8-cb0665a61ffb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Rail Checklist 01","Video taken of system"
"a93d1864-bd52-51e1-9570-7e31447c0128","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Rail Checklist 01","Description input of location / person Rail systems shuttle left with"
