"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Below Slab Progress"
,"Scope",,,"below slab"
,"Rows"
,,"Below Slab","dynamic","below slab","site qa"
,"Columns"
,,"Trenching completed by others",,"trenching completed by others, requirements listed under c2115.2."
,,"Underground wiring system min. depth of cover achieved",,"underground wiring system minimum depth of cover achieved as per as/nzs 3000:2004 table 3.6."
,,"Bedding material selected & installed",,"bedding material selected and installed as per as/nzs 3000:2007 3.11.4.2."
,,"Category of Installation selected per spec. & installed",,"category of installation selected per specification and installed as per as/nzs 3000:2007 3.11.3."
,,"Clearance from other services maintained",,"clearance from other services maintained as per as/nzs 3000:2007 3.9.8.4."
,,"Mechanical protection selected & installed",,"mechanical protection selected and installed in accordance with category of underground wiring system."
,,"Identifcation of underground wiring provided",,"identifcation of underground wiring provided as per as/nz 3000:2007 3.11.4.5."
,,"Duct penetrations to subfloor maintained",,"duct penetrations to subfloor maintained as continuous as per c2100.2.3."
,,"Long radius sweeps/bends used for all changes in direction",,"long radius sweeps or bends used for all chnages in direction (elbows not acceptable) as per c2115.3.3."
,,"Duct joints glued to prevent water ingress",,"duct joints glued to prevent water ingress as per c2115.3.3."
,,"Duct proved and draw wire installed",,"duct proved and draw wire installed as per c2115.3.3."
,,"Ducts provided with suitable sized end caps",,"ducts provided with suitable sized end caps to prevent the ingress of soil as per c2115.3.3."
,,"Ducts cleaned of rocks/debris",,"ducts cleaned of rocks/debris as per c2115.3.3."
,,"Rubbish removed from trench prior to backfill",,"rubbish removed from trench prior to backfill."
,,"Notice issued to BECA for inspection prior to backfilling",,"notice has been issued to beca for inspection prior to back filling as per c2115.1."
,,"Backfilling completed by others, requirements listed",,"backfilling completed by others, requirements listed under c2115.4."
,,"Ducts cut flush with level 0 slab for passive fire treatment",,"ducts cut flush with level 0 slab for passive fire treatment as per c2100.2.3."
,,"Cable lubricant used during cable installation",,"cable lubricant used during cable installation as per c2115.3.3."
,,"Conduits/ducts passing through subfloor void limited",,"conduits/ducts passing through sub-floor void are limited to a maximum of one power cable or two lighting cables as per c2100.2.3"
,,"Combined cabling installed via ducting system does not exceed 750mm²",,"combined cabling installed via ducting system does not exceed 750mm² as per c2100.2.3."
,,"Photos taken for records & saved to CONQA/project folders",,"photos taken for records and saved to conqa/project folders."
,,"As Builts completed",,"as builts completed as per as/nzs 3000:2007 3.11.4.6 and c2115.1"
,,"Any comments below",,"any comments below."

