"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3bc5c2c2-2eca-4255-9e70-e19de8c14886","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"79822113-bc36-4b27-bbae-32355e01ecad","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"895332ca-dbed-4472-afd6-08b8721b413f","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"26bd579e-008e-49f2-9da8-dca6758c0225","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture","East Feature"
"7035c855-d61d-4474-9daa-d33a025b9551","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture","East Feature","E1"
"fd8d8e3d-2e92-4a5a-b47e-4cd589f64788","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","East Feature","E1","E1-1"
"ae189634-bf5a-43eb-a123-c07ec8237894","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Pre-Pour Check"
"706d4031-a983-4cc9-b682-a8c2fe86f69b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Pre-Pour Check","Dimensions"
"c465b860-88b7-4ab2-a7de-795928c52df5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Pre-Pour Check","Mould Clean"
"471a1e1b-23c4-45e4-b860-8bc3e3eb3e8f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Pre-Pour Check","Mould Oiled"
"c692ae49-c54a-4c9b-8cf6-b85ecd79afc0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Pre-Pour Check","Mould - Workmanship"
"bfc62fbc-d0db-496c-9431-11803a02826c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Pre-Pour Check","Reinforcing"
"c3fe761c-c3cf-4f0f-b9e5-f3c767c64302","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Pre-Pour Check","Cast In Items"
"0df12c2f-09ce-4190-8ecb-36d8c3d715e7","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Pre-Pour Check","Marker Position and No."
"cff420f1-7ad2-45d3-ac6b-6a3a6ff1ed1f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Pre-Pour Check","Make mould to Green Status"
"bb9bd635-9259-4215-928f-04efb8f733ab","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Concrete Works"
"8ff297b1-aa29-4af2-91dc-0640d7229145","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Concrete Works","Concrete Works Details"
"7306c509-74c1-4f02-8759-d86d88cb6e73","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Concrete Works","Wilco Sample Taken"
"f8b94f16-09b5-449e-8fcb-80e585baf3f7","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Concrete Works","Bridgeman Sample Taken"
"9f5eed19-bb63-4b37-b50e-f142a30e6ded","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Concrete Works","Supervisor Approval"
"c1356b30-ba02-4022-9197-0a14dc1aeeff","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Post Pour Check"
"67cb8f27-7b2b-4214-91e1-8028334ca023","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Post Pour Check","Edge Detail"
"27893c32-dc10-4385-8ff3-71c49a9b4e39","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Post Pour Check","Bar Projections"
"c4cb35cb-6f29-4872-83d5-10aa2486f998","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Post Pour Check","Cast in items"
"a0a7b363-a142-4b5f-a4ae-67df005cad0d","","checkpoint-group","not-started","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Stripping and Stacking"
"4af2aa0c-c798-4c82-8a56-89bfc8b173e4","","checkpoint-status","not-started","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Stripping and Stacking","Stripping & Stacking"
"447fcf6f-396e-4c35-a979-c3fac22a4be5","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","East Feature","E1","E1-3"
"bc111317-5961-4943-ac52-1afc9e56d4b2","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Pre-Pour Check"
"eda74eb7-5bb6-4ddd-b468-94d26b9d6ad4","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Pre-Pour Check","Dimensions"
"83590316-c4a0-4d35-8ace-00573e610b05","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Pre-Pour Check","Mould Clean"
"cb6b1e63-9f68-49e6-acc9-d380c6fb2095","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Pre-Pour Check","Mould Oiled"
"e8398238-1016-4bb2-b595-66c0e8c5c938","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Pre-Pour Check","Mould - Workmanship"
"a65d6fcb-6263-40e2-ba05-f5e4cb421fea","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Pre-Pour Check","Reinforcing"
"36a1b1a9-edae-420f-8e22-9c0d3a6d4b63","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Pre-Pour Check","Cast In Items"
"886a6677-8d6c-40b9-8997-6a12c2c67011","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Pre-Pour Check","Marker Position and No."
"e58f1751-7fe7-46eb-9b7f-2dca42c875ae","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Pre-Pour Check","Make mould to Green Status"
"36ff06f4-75d8-431e-b070-1c64a9b65c5f","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Concrete Works"
"ce8c9028-d865-41b7-b9d0-64969630afe2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Concrete Works","Concrete Works Details"
"073418b0-03aa-48b2-83a0-9e6256b9a339","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Concrete Works","Wilco Sample Taken"
"b3ea8ff8-461c-4f87-9890-6558a31b1c6c","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Concrete Works","Bridgeman Sample Taken"
"dfc3fa9e-f225-4ede-9898-5dbe7029d351","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Concrete Works","Supervisor Approval"
"6a476c08-ce1c-48ac-bdd0-bbaa16e2c90d","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Post Pour Check"
"cb3043f5-d8d9-4515-b46c-0563b4138838","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Post Pour Check","Edge Detail"
"854ab66f-fc3b-4760-be72-5b36e5a1ffa7","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Post Pour Check","Bar Projections"
"faa541f5-b8ff-4844-9a56-90b84dae7355","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Post Pour Check","Cast in items"
"3a60c16b-5dd7-49f8-9d5f-19c59f3af2df","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Stripping and Stacking"
"00300115-9c7b-42de-8c99-be34c42fb12a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-3","Stripping and Stacking","Stripping & Stacking"
