"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fbc22b7b-de82-4419-90c7-554330c167c4","","work-in-progress","","folder","TRUE","FALSE","Inground Conduit Installation"
"4cc77458-cb4a-4848-b5d8-9204eeed308a","","work-in-progress","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00"
"20a1cf86-99a8-4ad8-a064-cb1df6946f75","","pass","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 1"
"317f9b11-4860-4af5-9498-01f06d0c2898","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 1","Pour #1A LV"
"67337a62-4fd8-415f-8953-0b1dfdf4d446","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 1","Pour #1A COMMS"
"e32ae3ea-9abe-49f5-84a2-9b0d592262b3","","pass","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 3"
"e8312015-95d4-4378-9deb-dd710335bee3","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 3","Pour LV #1"
"09752c05-83b1-4015-b2a4-61b0324071e7","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 3","Pour COMMS #1"
"e74e0a0e-0c74-4b78-934d-6f98a39855fe","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 3","LV #2"
"af930d08-780c-449a-a4e4-1627166880f7","","pass","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 5"
"af6ccaf2-c9be-4d45-88e5-aab7f6155945","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 5","Pour #5 LV"
"c0085b64-9bb2-4aa9-8ab1-10ea03574737","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 5","COMMS"
"a6224bcb-6287-489a-875b-58310fb18ad8","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 5","LV pits "
"5bc3f4cd-2646-440a-9d35-ae58ff495102","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 5","comms pit"
"40a3bf3f-5169-4dc1-a6a9-abc99a15c48d","","work-in-progress","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 11"
"ff5e5c2b-5724-4467-8e2c-2445975a1885","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 11","LV"
"bab01010-c523-4951-9ed5-190a8a2fb92f","","work-in-progress","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 11","comms #1"
"b0abf9bf-2f39-44fc-a572-0b3ddf904f59","","pass","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 12"
"c5efcea7-b062-4d0f-80d3-803476713369","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 12","LV #1"
"970f9376-3ca1-4e8d-989a-3f2840f3280e","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 12","comms #1"
"0a0f3340-9e12-4db1-aa4a-d5d0a988c028","","pass","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 12","LV #2"
"9c82ac7f-77b9-416c-8a3e-de9056d1bbe3","","work-in-progress","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 13"
"1d54731b-ae8b-43e0-9252-487605404150","","work-in-progress","ITC - (005) - In-ground Conduit Installation (UPDATED)","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 13","LV"
"e9f014ed-b5a9-4d79-a31d-8c5716937a12","","pass","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 4"
"db0eac96-2c34-403b-8ef0-20bd98363185","","pass","d6c19b6cd96683e21b8d3cc2eb09181907adfaf0a980a56a493d270acb6da31d","checklist","FALSE","FALSE","Inground Conduit Installation","Level 00","Pour 4","Comms 1"
"d170c223-ef49-46cc-92b6-9de4f3d1b716","","no-status-not-started","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 2"
"0fd2c935-c78d-4333-95d2-f12660bce658","","no-status-not-started","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 4"
"89f52553-2dcc-4117-9ba8-1a877960cb41","","no-status-not-started","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 6"
"5a08816c-57d9-4b75-8ea7-356484a61185","","no-status-not-started","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 7"
"86eed9c2-3bc1-45c1-87d7-af91dd351fd9","","no-status-not-started","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 8"
"4c1e29b8-946f-4d2e-a500-a82bf1e276f2","","no-status-not-started","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 9"
"2016e6a6-618a-4c4a-8ad6-3e5ad6ea9cdc","","no-status-not-started","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 10"
"cf4e07bc-4262-4110-9437-b0fc9e56a8ed","","no-status-not-started","","folder","TRUE","FALSE","Inground Conduit Installation","Level 00","Pour 14"
"a6cfc272-d239-4e2a-8cb4-172442e87ae8","","no-status-not-started","","folder","TRUE","FALSE","Inground Conduit Installation","External Works (EW)"
