resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,,,,,,,
,,,step,,,Fit-Off,,,,,,,,,,,,,,,,,,,,,,
,,,step,,,,Basement 3,,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,Stair Pressurization Duct,,,,,,,,,,,,,,,,,,,,
,,,step,,,,Basement 2,,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B2.04,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,CPSF-B2.05,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,CPSF-B3.02,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,LSF-B2.01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,GEF-C-R.01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,GEF-C-R.02,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B2.01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,CPSF-B3.01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,CPSF-B2.04,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,GEF-B2.01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,CPSF-B2.03,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B2.02,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B2.03,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,Stair Pressurization Ductwork ,,,,,,,,,,,,,,,,,,,,
,,,step,,,,Basement 1,,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,GEF-A.B1.01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,GEF-A.B1.02,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,LEF-B1.01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,TEF-B1.01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,PSF-01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,CPSF-B2.01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,CPSF-B2.02,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,GEF-B1.01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,CPSF-B1.02,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,CPEF-04,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B1.01,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B1.02,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B1.03,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B1.04,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B1.05,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B1.06,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B1.07,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,SF-B1.08,,,,,,,,,,,,,,,,,,,,
Common Area Fit-Off Checklist [D],Sign Off,,folder-with-checklists,,,,,GEF-B1.01,,,,,,,,,,,,,,,,,,,,
