Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,ITC-001 Floor Rough In,,,,4,No,,
checkpoint-group,,,section,Pre-Start,,,,,,,
checkpoint-status,,,checkpoint,Specification reference checked,,,,,,,
text,9a9c9d1a-8be5-50d6-aa88-3a51bb9d1454,,text,Drawing number and revision,,,,,,,
checkpoint-group,,,section,Ductwork,,,,,,,
checkpoint-status,,,checkpoint,Supported to Entire standard (ENT-STD-3.1),,,,,,,
checkpoint-status,,,checkpoint,Duct flanges firmly bolted,,,,,,,
checkpoint-status,,,checkpoint,Cleats installed,,,,,,,
checkpoint-status,,,checkpoint,Installed to latest drawing,,,,,,,
checkpoint-status,,,checkpoint,Correct rod lengths,,,,,,,
checkpoint-status,,,checkpoint,Insulated as required,,,,,,,
checkpoint-status,,,checkpoint,Damage free,,,,,,,
checkpoint-status,,,checkpoint,Flex Supported to Entire standard (ENT-STD-1.1),,,,,,,
checkpoint-status,,,checkpoint,Seismic restraints installed as per Seismic design,,,,,,,
checkpoint-status,,,checkpoint,Cushion Boxes Installed correctly,,,,,,,
checkpoint-status,,,checkpoint,Fire dampers installed correctly,,,,,,,
checkpoint-status,,,checkpoint,Volume control dampers installed correctly,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Exhaust duct sealed correctly,,,,,,,
checkpoint-status,,,checkpoint,Hangers installed as per the design,,,,,,,
checkpoint-status,,,checkpoint,Attenuators installed to the latest drawing,,,,,,,
checkpoint-group,,,section,Pipework,,,,,,,
checkpoint-status,,,checkpoint,Pipes correctly supported,,,,,,,
checkpoint-status,,,checkpoint,Hydrostatically tested as per (ITC-010 & ITC-011),,,,,,,
checkpoint-status,,,checkpoint,Pipes insulated as required,,,,,,,
checkpoint-status,,,checkpoint,Hangers installed as per the design,,,,,,,
checkpoint-status,,,checkpoint,No other services suspended from pipe work,,,,,,,
checkpoint-status,,,checkpoint,Installed to latest drawing,,,,,,,
checkpoint-status,,,checkpoint,Welds checked,,,,,,,
checkpoint-status,,,checkpoint,Seismic restraints installed as per Seismic design,,,,,,,
checkpoint-status,,,checkpoint,Drains installed to standard & on correct grade,,,,,,,
checkpoint-status,,,checkpoint,Refrigeration pressure test as per (ITC-013),,,,,,,
checkpoint-status,,,checkpoint,Springs correctly selected,,,,,,,
checkpoint-status,,,checkpoint,Correct valves installed,,,,,,,
checkpoint-status,,,checkpoint,Control valves installed correctly,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,ITC-007 Chilled water pipe,,,,1,No,,
checkpoint-group,,,section,Pre-Start,,,,,,,
checkpoint-status,,,checkpoint,Test specifications met,,,,,,,
text,ed843fd6-94ee-5501-8499-3485e1e10147,,text,Test period to be a minimum of 4 hours,,,,,,,
label,5592307e-1f4d-5f75-90f5-29276e056630,,label,Test pressure to be 900kPa (Exceeds AS4041-2006 Appendix U),,,,,,,
label,4317bc97-9e87-5641-a400-4f0820ed5209,,label,AS4041-2006 Table 6.7.3 Requires Test Time of 15min for pipe ≤DN300 (For all other buildings),,,,,,,
label,0c2ee71c-31cd-5ffd-92f3-6daac6be27f7,,label,AS4041-2006 Table 6.7.3 Requires Test Time of 25min for pipe >DN300 (For CU building),,,,,,,
checkpoint-group,,,section,Test details,,,,,,,
checkpoint-status,,,checkpoint,Test details,,,,,,,
boolean,45457c61-039c-59be-a345-bea0ef1678e8,,bool,Applies on this floor or level,"yes,no",,,,,,
text,43c04e30-5272-596a-a903-38136a6775d7,,text,Pipe system,,,,,,,
text,124be9c4-00d1-5b43-a3e6-e8dbfe389f9b,,text,area/section under,,,,,,,
text,241a4580-7eb9-5b16-a44a-a5bd41a02345,,text,from,,,,,,,
text,d4e3b608-ac49-5f09-a952-01fca3e60030,,text,to,,,,,,,
text,010404e0-5e35-58e3-84b2-a761dac25e48,,text,System working pressure,,,,,,,
text,c4826d8b-eecc-5929-8404-6da69562f5a8,,text,System test pressure,,,,,,,
text,ecb61623-561b-5733-80c0-8e2561bcb65d,,text,"Initial reading - kPA, time, ambient temperature",,,,,,,
text,dda45729-d853-578e-955a-6ae39b45f933,,text,"15/25 min reading - kPA, time, ambient temperature",,,,,,,
checkpoint-group,,,section,Sign off,,,,,,,
checkpoint-status,,,checkpoint,Sign off - attach signature below and pass once complete,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,ITC-003 Equipment Installation,,,,3,No,,
checkpoint-group,,,section,Pre-Start,,,,,,,
checkpoint-status,,,checkpoint,Specification reference checked,,,,,,,
text,b163ad27-e87e-5c9f-a7c3-cfcaef2fbc30,,text,Drawing number and revision,,,,,,,
checkpoint-group,,,section,Fans,,,,,,,
checkpoint-status,,,checkpoint,Installed to latest drawing,,,,,,,
checkpoint-status,,,checkpoint,Fan direction checked,,,,,,,
checkpoint-status,,,checkpoint,Flexible connections installed,,,,,,,
checkpoint-status,,,checkpoint,Viberation control correctly selected & installed,,,,,,,
checkpoint-status,,,checkpoint,Seismic restraints Installed as per Seismic design,,,,,,,
checkpoint-status,,,checkpoint,Acoustic treatment (if required),,,,,,,
checkpoint-status,,,checkpoint,Labelled,,,,,,,
checkpoint-status,,,checkpoint,VSD installed (if required),,,,,,,
checkpoint-group,,,section,AHU / FCU / Cassettes,,,,,,,
checkpoint-status,,,checkpoint,Installed to latest drawing,,,,,,,
checkpoint-status,,,checkpoint,Seismic restraints Installed as per Seismic design,,,,,,,
checkpoint-status,,,checkpoint,Pipe valve sets Installed correctly (ENT-STD-2.1) Pipe connections checked,,,,,,,
checkpoint-status,,,checkpoint,Hydrostatic test as per (ITC-010 & ITC-011),,,,,,,
checkpoint-status,,,checkpoint,Drains installed to standard & correct fall,,,,,,,
checkpoint-status,,,checkpoint,Unit clearly labelled,,,,,,,
checkpoint-status,,,checkpoint,Viberation control correctly selected & installed,,,,,,,
checkpoint-group,,,section,DX Split Systems,,,,,,,
checkpoint-status,,,checkpoint,Indoor Unit installed as per the latest drawing,,,,,,,
checkpoint-status,,,checkpoint,Outdoor unit installed as per the latest drawing,,,,,,,
checkpoint-status,,,checkpoint,Installed in the correct positions and clearances,,,,,,,
checkpoint-status,,,checkpoint,Pipe works installed to standards,,,,,,,
checkpoint-status,,,checkpoint,Vibration control installed as required,,,,,,,
checkpoint-status,,,checkpoint,Units clearly labelled,,,,,,,
checkpoint-status,,,checkpoint,Refrigeration correctly lagged,,,,,,,
checkpoint-status,,,checkpoint,Refrigeration pressure test as per (ITC-012),,,,,,,
checkpoint-status,,,checkpoint,Nitrogen used for purging during welding,,,,,,,
checkpoint-group,,,section,Other Equipment,,,,,,,
checkpoint-status,,,checkpoint,Dust extraction system installed as per drawing,,,,,,,
checkpoint-status,,,checkpoint,Humidifier installed as per the latest drawing,,,,,,,
checkpoint-status,,,checkpoint,Air compressors installed as per drawing,,,,,,,
checkpoint-status,,,checkpoint,Equipment clearly labelled,,,,,,,
