"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2f4e4715-b80a-4b0b-ad28-94cc28f01fd2","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"4de6dc19-d3e9-529b-a4c4-4a4d65db7d7b","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"9859ddad-5811-59ff-8f81-04e51bab323e","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"7f89d0ce-462d-5530-8cb2-975f08d653c9","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"ca33ee05-98ba-51e7-a1e2-7fb935f5d47f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"58ccdf3b-4805-50df-b156-ce4c342998a4","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"10e25e66-4a3f-5222-9277-697a8b198762","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"f16f1d2f-6bc0-4c89-89a3-db4530ea2e79","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"9122d620-7045-4786-8bf0-2bf0d7d22aeb","","folder-normal","not-started","","step","TRUE","FALSE","QA","New Roof"
"7d30f25f-8b14-4944-a91e-887e7a4ba8f7","","folder-normal","not-started","","step","TRUE","FALSE","QA","New Roof","2No AP Type 01 Fall Arrest Anchors "
"105f3757-7555-4bf0-8d6b-e9487ab9b9db","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","New Roof","2No AP Type 01 Fall Arrest Anchors ","Pre-Fit Off Checklist"
"33b5b3c1-7e2a-5001-817e-01941256aacf","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Roof","2No AP Type 01 Fall Arrest Anchors ","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"e5cf86f5-8710-5307-9151-e8fe09216c49","","holdpoint","not-started","","","TRUE","TRUE","QA","New Roof","2No AP Type 01 Fall Arrest Anchors ","Pre-Fit Off Checklist","EMAIL PM"
"f5d52ea0-1219-575b-9920-6f60cf693985","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Roof","2No AP Type 01 Fall Arrest Anchors ","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"4b07b9f6-9435-40a9-aaa5-3b1d1d6cfb26","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Roof","2No AP Type 01 Fall Arrest Anchors ","Fit Off Checklist - Anchor 36"
"cf65a047-6adf-5d4e-bcb5-07e145d4feb0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Roof","2No AP Type 01 Fall Arrest Anchors ","Fit Off Checklist - Anchor 36","Required number of photo(s) taken of installed anchor(s)"
"48ed3c4b-7ade-5d67-932b-6dddf5a70471","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Roof","2No AP Type 01 Fall Arrest Anchors ","Fit Off Checklist - Anchor 36","Installed as per PBI drawings supplied and manufacturer's requirements"
"67ff5b89-bf30-408e-a770-e342861948ab","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Roof","2No AP Type 01 Fall Arrest Anchors ","Fit Off Checklist - Anchor 37"
"327dec92-dc29-5c06-b012-df6f8e3b7c61","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Roof","2No AP Type 01 Fall Arrest Anchors ","Fit Off Checklist - Anchor 37","Required number of photo(s) taken of installed anchor(s)"
"e153efcd-45b3-5aba-ae01-31924dc0113f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Roof","2No AP Type 01 Fall Arrest Anchors ","Fit Off Checklist - Anchor 37","Installed as per PBI drawings supplied and manufacturer's requirements"
"4a5f788c-2e3b-4c60-adf7-40f4bb09e1f4","","folder-normal","not-started","","step","TRUE","FALSE","QA","New Roof","1No AP Type 02 Fall Arrest Anchor "
"77fc704d-9037-4aed-a89a-042fa2f6fd3f","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","New Roof","1No AP Type 02 Fall Arrest Anchor ","Pre-Fit Off Checklist"
"28fdb3d7-8791-57fe-98c3-be97354b601e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Roof","1No AP Type 02 Fall Arrest Anchor ","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"1456af10-8daa-5451-a9b7-bca79d0040e5","","holdpoint","not-started","","","TRUE","TRUE","QA","New Roof","1No AP Type 02 Fall Arrest Anchor ","Pre-Fit Off Checklist","EMAIL PM"
"e704d33f-00d9-57cf-9ba2-ece78d0cf271","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Roof","1No AP Type 02 Fall Arrest Anchor ","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"36fa1fe2-8007-4cdc-a0bb-5a147b59ce3d","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Roof","1No AP Type 02 Fall Arrest Anchor ","Fit Off Checklist - Anchor 35"
"f3d4ef58-c698-5768-a41e-ac3dfafce499","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Roof","1No AP Type 02 Fall Arrest Anchor ","Fit Off Checklist - Anchor 35","Required number of photo(s) taken of installed anchor(s)"
"b7bf245c-cbab-5c9d-aacb-ed30fd161d58","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Roof","1No AP Type 02 Fall Arrest Anchor ","Fit Off Checklist - Anchor 35","Installed as per PBI drawings supplied and manufacturer's requirements"
"0d6d1028-45e1-499c-8c92-353d8847c8c9","","folder-normal","not-started","","step","TRUE","FALSE","QA","Existing Roof"
"901a3d33-888d-4047-8879-9f8e82f34ad2","","folder-normal","not-started","","step","TRUE","FALSE","QA","Existing Roof","1No RoofSafe Cable System  - Line 01"
"fde7d9d0-ee1a-4f7d-b7b0-934acb3f243a","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Existing Roof","1No RoofSafe Cable System  - Line 01","Pre-Fit Off Checklist"
"e903283c-8977-5da4-b43a-4944fc9d6671","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Roof","1No RoofSafe Cable System  - Line 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"845ea9fc-a70a-5cd1-a84a-79b0cac054a8","","holdpoint","not-started","","","TRUE","TRUE","QA","Existing Roof","1No RoofSafe Cable System  - Line 01","Pre-Fit Off Checklist","EMAIL PM"
"09480410-fb5d-524b-a437-a2c15999e8ce","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Roof","1No RoofSafe Cable System  - Line 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"e46fccc0-2ff4-4775-9ac7-1458cc3a81bc","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Existing Roof","1No RoofSafe Cable System  - Line 01","Fit Off Checklist - Line 01"
"292504b0-6e78-57a7-9310-b705f6529220","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Roof","1No RoofSafe Cable System  - Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test - 2 photos required"
"b459ed5d-61f5-5529-ab80-48495c3c6e78","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Roof","1No RoofSafe Cable System  - Line 01","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"52acdddd-4253-5573-b7b9-ba344ea17fc2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Roof","1No RoofSafe Cable System  - Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"088b22ae-747a-5bc4-9013-82b222fff3c3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Roof","1No RoofSafe Cable System  - Line 01","Fit Off Checklist - Line 01","Video taken of system"
