Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,,,,,,,,,,,,,,,,
checklist-sectioned,,,checklist,ITP-036-STR-Brunt-Pile Caps,,,,5,Yes,ITP-036-STR-Brunt-Pile Caps,b4ffdd33-2c24-49db-b77e-bd3ab0e19a58,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,,,section,2. Preliminaries - Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,2.1 - Concrete Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,098f8cbb-b16f-5ba5-a8c5-0e5a8d868e20,,note,Reference - 610.07 Table 610.071 IFC Drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,440d584f-7572-595a-97e9-b83a5b05a947,,note,"Acceptance Criteria - Concrete Mix is Registered with VicRoads. Concrete mix meets strength, grade, and maximum aggregate size as detailed on drawings. Enter: Teambinder Material Approval number [free text box]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,f8d85f64-1ee3-537a-a109-5047e709ffae,,note,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,f712a817-1f1c-5b4a-a2ad-a3ed366995f1,,note,"Frequency - Once, for each mix design, 4 weeks prior to placement of concrete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,f3295a30-cb1c-5c8a-8f5e-2319fd53674f,,note,Category - HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,018b73a2-4f89-5fe6-93a1-239bb3ee38fc,,note,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,812f2c64-f726-57dc-833b-ed35a7a29248,,note,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,2.2 - ACRS Certification (for Reinforcement),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,9a5b8ae8-c176-5aca-9db8-87b7ac923590,,note,Reference - 611.05 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,e3baaa8c-50d9-50c4-91b8-7b87f3b485a1,,note,"Acceptance Criteria - Current ACRS certification for materials and for bar processing. Note: ACRS certificate may cover both aspects or be for each separate portion (e.g 1 for the material supplier and another for the bar processor (bending, cropping and delivery) Enter: Teambinder Hold Point Ref Number [free text box]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,4ba8642b-ac29-59a8-a6ab-467c0a25f67d,,note,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,bbe1050b-ec9a-5f44-a700-6c8b688d325f,,note,"Frequency - Once for each supplier, 14 days of award of contract",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,abcc6bdf-65c5-50cc-8c51-83a6cc015630,,note,Category - HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,56da5718-0146-56f8-8335-f5855f68a6f4,,note,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,542b40b0-a3a8-5f1c-a021-bf8c439dbe37,,note,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,2.3 - Bar Chairs/Aspros Certification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,f5182306-a9ca-5b9f-8f5e-0ac52757a04a,,note,Reference - 610.26 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ffd3b82b-7c1f-5593-a9ea-c5ba4469c020,,note,"Acceptance Criteria - Plastic bar chairs, wheels, and spacers require testing to demonstrate suitability to prevent excessive deformation under loads. Concrete aspros require annual compressive strength and soluble salt testing is required. Concrete bar chairs and spacers shall have a maximum VPV value at 28 days of 12%. Bar chairs and spacers made of wood, metal, plastic coated metal and site made concrete shall not be used. Relevant test reports demonstrating compliance to this clause shall be submitted for review to the Nominated Authority. Enter: Teambinder Hold Point Ref Number [free text box]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,47585ae9-b0ee-5416-a604-c69472db9b43,,note,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,23bab01d-7137-5ee9-885c-1185ee2cc45d,,note,"Frequency - Once for each supplier, 14 days prior to placement of reinforcement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,53482a8b-5f0f-5456-a4f2-a1e19dd7fa1c,,note,Category - HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,86e9b33c-3476-59f8-943b-211d8d4b60b1,,note,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,d8f08528-5738-5b7d-a954-ed0c0766dbe0,,note,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,2.4 - Evaporative Retardant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,aa1b76ec-f6bc-5e63-86ff-a2870dc469e4,,note,Reference - 610.17 (f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,7dc00732-e762-5209-9cca-d6f9bacdcf55,,note,"Acceptance Criteria - Details of evaporative retardant, application procedure (including application rates) to be submitted for review to the Nominated Authority. Enter: Teambinder Hold Point Ref Number [free text box]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,6227f7f6-86c6-5e45-8397-3c17c1bb10ff,,note,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,dfd4bd8e-e9fe-5d3c-a67e-e75bebd406a3,,note,"Frequency - Once, for each product, 4 weeks prior to placement of concrete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,a7664b82-b560-52e5-b646-ad326e356aca,,note,Category - HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,69133545-15b9-560d-9019-c64cbbed397d,,note,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,9995aa5a-bed7-5a10-8f0d-866cec3f2cbc,,note,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,2.5 - Curing Compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,df343d77-5a91-5b13-95f8-c2fe8c58aa45,,note,Reference - 610.23 (d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,2c88a27b-4e5b-5fca-8627-710b811e524c,,note,"Acceptance Criteria - Details of curing compound and NATA test certificate stating compliance with AS3799 no more than 3 years from issue, to be submitted for review to the Nominated Authority. Enter: Teambinder Hold Point Ref Number [free text box]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,838e7672-9cce-576f-87f2-1f141ac3bd0c,,note,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,f7831b20-bf6b-5497-93d4-b4f46577bda0,,note,"Frequency - Once, for each product, 4 weeks prior to placement of concrete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,191471df-abeb-5335-865c-86930d6d0e76,,note,Category - HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,7452cfdb-26c8-523c-95d8-444f871ab536,,note,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,3d05fec2-a235-570d-bbbf-68bd0b026389,,note,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,,,section,3. Preliminaries - Procedures & Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.1 - Concrete Placement and Compaction Work Method Statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
