"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"54269ed9-e994-42b6-b639-fdcdeb5bc1a3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"97364d62-ef85-4242-9df7-da7855f7f99b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Site 1 - 73628"
"75cddc17-f811-4dc0-abff-8343f4170ab7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Site 1 - 73628","02.01 - Traffic Management"
"800c7240-4584-4cef-bbf1-b01d32224b9f","","checklist-sectioned","work-in-progress","02.01 - Traffic Management","checklist","FALSE","FALSE","Site QA","Site 1 - 73628","02.01 - Traffic Management","QA10M-73628-02.01-LOT-001 - Traffic Management"
"41b06e31-c3c3-4da3-8d30-ceaf7a6e7f39","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","03.01 - Removal of Existing Drainage Structures and Concrete Slabs"
"176d21e6-1ef9-41e6-bb4f-64d7777bc8bf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","04.01 - Clear and Grub Stripping of Topsoil"
"64ada633-ef73-4b30-aacd-7f511a469e8a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","04.06 - General Excavation"
"535789be-b9e8-48dc-91d7-ff1ec7180569","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","04.09 - Subgrade"
"4214848f-c1cf-44f4-9e6e-0168e49e4f68","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","05.01 - Placement of Unbound Pavement"
"b186e06b-ff90-47c6-b8f3-ebfe5c45a401","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","05.02 - Supply of Unbound Material"
"89e41dff-f342-4b15-b9c0-155fd2431ee8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","11.00 - Sealing Works"
"05412f3d-aeac-46e2-bf65-57e0d207e74d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","14.08 - Demolition, Removal, Salvage & Re-erection of Road Furniture"
