Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Cable Tray,,,,,,
,Scope,,,Cable Tray,,
,Rows,,,,,
,,Ground Floor & Level 1,grouping,Ground Floor & Level 1,,
,,Warehouse,,Warehouse,Ground Floor & Level 1,Site QA
,Columns,,,,,
,,Unistrutt Filed & Painted,,Unistrutt Filed & Painted,Cable Tray,
,,Hangers Spaced as Specified,,Hangers Spaced as Specified,Cable Tray,
,,Correct Size Cable Tray Installed,,Correct Size Cable Tray Installed,Cable Tray,
,,Tray Joined Correctly,,Tray Joined Correctly,Cable Tray,
,,Hangers Sceismicly Restrained/Under 400mm drop,,Hangers Sceismicly Restrained / Under 400mm drop,Cable Tray,
,,Tray Fastened to Hangers,,Tray Fastened to Hangers,Cable Tray,
,,Correct Anchors used fixing to Ceiling/Walls,,Correct Anchors used fixing to Ceiling / Walls,Cable Tray,
,,Cable Tray Bonded,,Cable Tray Bonded,Cable Tray,
,,Photos,,Add Photos,Photos,
,,,,,,
Switchboards,,,,,,
,Scope,,,Switchboards,,
,Rows,,,,,
,,Switchboards,grouping,Switchboards,,
,,Ground Floor,,Ground Floor,Switchboards,Site QA
,Columns,,,,,
,,Spatial certificate signed,,Spatial certificate signed if required,Switchboard,
,,Fixings installed in wall correctly if board wall mounted,,Fixings installed in wall correctly if board is wall mounted,Switchboard,
,,All clearances sighted to ensure location is compliant,,All clearances sighted to ensure location is compliant,Switchboard,
,,All cables correctly installed in protection device,,All cables correctly installed in protection device and earth and neutral bars and fully secured,Switchboard,
,,Cables neatly dressed,,Cables neatly dressed,Switchboard,
,,Phase tabs on chassy covered,,Phase tabs on chassy covered,Switchboard,
,,All earths & neutrals labelled to match phase numbers,,All earths and neutrals labelled to match phase numbers,Switchboard,
,,Switchboard is clean on the inside & outside,,Switchboard is clean on the inside and outside,Switchboard,
,,Masking blanks installed,,Masking blanks installed,Switchboard,
,,DB legend installed,,DB legend installed,Switchboard,
,,Feisst label on the door installed,,Feisst label on the door installed,Switchboard,
,,Photos,,Add Photos,Photos,
,,,,,,
First Fix,,,,,,
,Scope,,,First Fix,,
,Rows,,,,,
,,Ground Floor,grouping,Ground Floor,,
,,Warehouse,,Warehouse,Ground Floor,First Fix
,,Show Room,,Show Room,Ground Floor,First Fix
,,Managers Office,,Managers Office,Ground Floor,First Fix
,,Trade Support Office,,Trade Support Office,Ground Floor,First Fix
,,Customer Service Office,,Customer Service Office,Ground Floor,First Fix
,,Inventory,,Inventory,Ground Floor,First Fix
,,ACC Toilet & Shower & Passage,,ACC Toilet & Shower & Passage,Ground Floor,First Fix
,,Stairwell,,Stairwell,Ground Floor,First Fix
,,Inwards Goods,,Inwards Goods,Ground Floor,First Fix
,,Dispatch,,Dispatch,Ground Floor,First Fix
,,Level 1,grouping,Level 1,,
,,Account Managers,,Account Managers,Level 1,First Fix
,,Staff,,Staff,Level 1,First Fix
,,Male Toilet,,Male Toilet,Level 1,First Fix
,,Female Toilet,,Female Toilet,Level 1,First Fix
,,Passage,,Passage,Level 1,First Fix
,,Storage / Comms Room,,Storage / Comms Room,Level 1,First Fix
,,Exterior ,grouping,Exterior ,,
,,Exterior ,,Exterior ,Exterior,First Fix
,Columns,,,,,
,,Flush Boxes,,Flush Boxes,,
,,Cabling,,Cabling,,
,,Lights,,QA - Lights,,
,,Photos,,Add Photos,Photos,
,,,,,,
Second Fix,,,,,,
,Scope,,,Second Fix,,
,Rows,,,,,
,,Ground Floor,grouping,Ground Floor,,
,,Warehouse,,Warehouse,Ground Floor,
,,Show Room,,Show Room,Ground Floor,
,,Managers Office,,Managers Office,Ground Floor,
,,Trade Support Office,,Trade Support Office,Ground Floor,
,,Customer Service Office,,Customer Service Office,Ground Floor,
,,Inventory,,Inventory,Ground Floor,
,,ACC Toilet & Shower & Passage,,ACC Toilet & Shower & Passage,Ground Floor,
,,Stairwell,,Stairwell,Ground Floor,
,,Inwards Goods,,Inwards Goods,Ground Floor,
,,Dispatch,,Dispatch,Ground Floor,
,,Level 1,grouping,Level 1,,
