type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,
checklist,Viking - Dec-K-ing - Viking Roofspec Single-Ply Membranes,,,,,,Viking - Dec-K-ing - Viking Roofspec Single-Ply Membranes,,
section,Substrate Checklist,,,,,,,,
checkpoint,Ensure concrete substrate has been allowed to fully cure – at least 28 days from pour.,,,,,,,,
checkpoint,"If the concrete is less than 28 days old and a concrete surface sealer has been used or a rapid curing compound, you must identify the product and verify correct curing has taken place prior to laying membrane.",,,,,,,,
checkpoint,Relative humidity of concrete substrates must be 75% or less before application. (This can be verified with the use of a hygrometer).,,,,,,,,
checkpoint,Viking Roofspec recommends the use of two coats of Viking Surface Sealer to control moisture within the substrate prior to the Viking Single Ply waterproofing membrane installation.,,,,,,,,
checkpoint,"Surface to be steel trowel finished smooth, without nibs or voids, clean, dry and free of debris or release agents.",,,,,,,,
checkpoint,"Fill hollows or holes with a cement plaster, or FLC within limitations of product used. Use minimum 50mm bond-breaker tapes over expansion joints.",,,,,,,,
checkpoint,Minimum 20mm triangular fillets required at the base of upstands for Butylclad and Epiclad. - Not required for Enviroclad or Dec-K-ing,,,,,,,,
checkpoint,All drains and outlets are membrane compatible. Confirm with Viking Roofspec if required.,,,,,,,,
checkpoint,Ensure consented falls are met. Refer Viking Membrane BRANZ Appraisal and project specification.,,,,,,,,
checkpoint,"Please ensure you have ordered the correct membrane, colour and thickness for your project",,,,,,,,
,,,,,,,,,
checklist,Viking - Dec-K-ing - Viking Dec-K-ing Plywood Substrate Checklist,,,,,,Viking - Dec-K-ing - Viking Dec-K-ing Plywood Substrate Checklist,,
section,Substrate Checklist,,,,,,,,
checkpoint,Framing supports at 400mm centres (in one direction). All plywood edges must also be supported. Do not use tongue and groove plywood,,,,,,,,
checkpoint,"Minimum thickness 17mm, F8, CCA H3.2 treated, square edge structural plywood (not LOSP treated). CD grade with the sanded C face upwards",,,,,,,,
checkpoint,Plywood laid with face grain at right angles to supports. All sheet joins must be made on a single timber support to minimise the chance of movement between sheets,,,,,,,,
checkpoint,Plywood is to be laid with staggered joins in a brick-bond pattern. Apply with a continuous bead of Holdfast Gorilla Grip 2 Hour-Cure Construction Adhesive on top of timber supports,,,,,,,,
checkpoint,Sheet edges are to be carefully glued together with a continuous bead of Holdfast Gorilla Grip 2 Hour-Cure Construction Adhesive (no spot gluing) and must be tight butt-joined. Glue must be seen to come to the top surface of the sheet joins. Once sheets have been placed together remove excess adhesive by scraping the joint with a chisel. Ensure joins and sheets are not walked on with two hours of application. When fully cured remove excess and sand all sheet joins,,,,,,,,
checkpoint,"Leave a 5mm expansion gap around the perimeter of the plane. This fixing specification allows for a maximum 50m2 without expansion joints (dependent on design). 5mm expansion joins should be allowed for areas over 50m2. For further information regarding placement of expansion joints for your design, please contact Viking Roofspec",,,,,,,,
