Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Hydraulic Services - Penetrations (includes Cast In),,,,,,,,,,
,Scope,,,Penetrations (includes Cast In),,,,,,
,Rows,,,,,,,,,
,,Penetrations (includes Cast In),dynamic,Penetrations (includes Cast In),Hydraulic Services,,,,,
,Columns,,,,,,,,,
,,Peno - Floor,,Peno - Floor,,,,,,
,,Peno - Syphonic,,Peno - Syphonic,,,,,,
,,Peno - Wall,,Peno - Wall,,,,,,
,,Peno - Cast In,,Peno - Cast In,,,,,,
,,,,,,,,,,
"Hydraulic Services - Drains, Stacks & Vents",,,,,,,,,,
,Scope,,,"Drains, Stacks & Vents",,,,,,
,Rows,,,,,,,,,
,,Level 1,dynamic,Level 1,"Drains, Stacks & Vents",Hydraulic Services,,,,
,,Level 2,dynamic,Level 2,"Drains, Stacks & Vents",Hydraulic Services,,,,
,,Level 3,dynamic,Level 3,"Drains, Stacks & Vents",Hydraulic Services,,,,
,,Level 4,dynamic,Level 4,"Drains, Stacks & Vents",Hydraulic Services,,,,
,,Level 5,dynamic,Level 5,"Drains, Stacks & Vents",Hydraulic Services,,,,
,,Level 6,dynamic,Level 6,"Drains, Stacks & Vents",Hydraulic Services,,,,
,Columns,,,,,,,,,
,,"UQ Drains: Sewer, Stormwater & Vent - Underslung",,"UQ Drains: Sewer, Stormwater & Vent - Underslung",,,,,,
,,"UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",,"UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",,,,,,
,,UQ Drains: Trade Waste - Underslung,,UQ Drains: Trade Waste - Underslung,,,,,,
,,,,,,,,,,
Hydraulic Services - Syphonic,,,,,,,,,,
,Scope,,,Syphonic,,,,,,
,Rows,,,,,,,,,
,,Syphonic,dynamic,Syphonic,Hydraulic Services,,,,,
,Columns,,,,,,,,,
,,UQ Drains: Syphonic - Underslung,,UQ Drains: Syphonic - Underslung,,,,,,
,,UQ Stack Riser: Syphonic,,UQ Stack Riser: Syphonic,,,,,,
,,,,,,,,,,
Hydraulic Services - Corridor Rough In,,,,,,,,,,
,Scope,,,Corridor Rough In,,,,,,
,Rows,,,,,,,,,
,,Level 2,dynamic,Level 2,Corridor Rough In,Hydraulic Services,,,,
,,Level 3,dynamic,Level 3,Corridor Rough In,Hydraulic Services,,,,
,,Level 4,dynamic,Level 4,Corridor Rough In,Hydraulic Services,,,,
,,Level 5,dynamic,Level 5,Corridor Rough In,Hydraulic Services,,,,
,,Level 6,dynamic,Level 6,Corridor Rough In,Hydraulic Services,,,,
,Columns,,,,,,,,,
,,UQ Corridor Rough In (Cold Water),,UQ Corridor Rough In (Cold Water),,,,,,
,,UQ Corridor Rough In (Hot Water),,UQ Corridor Rough In (Hot Water),,,,,,
,,UQ Corridor Rough In (Gas),,UQ Corridor Rough In (Gas),,,,,,
,,UQ Corridor Rough In (Non Potable/Rainwater),,UQ Corridor Rough In (Non Potable/Rainwater),,,,,,
,,UQ Corridor - Meter Manifold Install,,UQ Corridor - Meter Manifold Install,,,,,,
,,,,,,,,,,
Hydraulic Services - Risers,,,,,,,,,,
,Scope,,,Risers,,,,,,
,Rows,,,,,,,,,
,,Level 1,dynamic,Level 1,Risers,Hydraulic Services,,,,
,,Level 2,dynamic,Level 2,Risers,Hydraulic Services,,,,
,,Level 3,dynamic,Level 3,Risers,Hydraulic Services,,,,
,,Level 4,dynamic,Level 4,Risers,Hydraulic Services,,,,
,,Level 5,dynamic,Level 5,Risers,Hydraulic Services,,,,
,Columns,,,,,,,,,
,,Is there existing work by previous plumbing contractor within workfront?,,Is there existing work by previous plumbing contractor within workfront? (Pass = Yes),,,,,,
