ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Residential - Floor/Wall Penetrations (Base Build)"
,"Scope",,
,"Rows"
,,"Floor/Wall Penetrations (Base Build)","grouping","floor/wall penetrations (base build)"
,,"basement 3","expanded","basement 3","floor/wall penetrations (base build)"
,,"basement 2","expanded","floor/wall penetrations (base build)","basement 2"
,,"basement 1","expanded","floor/wall penetrations (base build)","basement 1"
,,"lower ground level","expanded","lower ground level","floor/wall penetrations (base build)"
,,"ground level","expanded","ground level","floor/wall penetrations (base build)"
,,"mezzanine level","expanded","floor/wall penetrations (base build)","mezzanine level"
,,"level 1","expanded","level 1","floor/wall penetrations (base build)"
,,"level 2","expanded","floor/wall penetrations (base build)","level 2"
,,"level 3","expanded","floor/wall penetrations (base build)","level 3"
,,"level 4","expanded","level 4","floor/wall penetrations (base build)"
,,"level 5","expanded","level 5","floor/wall penetrations (base build)"
,,"level 6","expanded","level 6","floor/wall penetrations (base build)"
,,"level 7","expanded","floor/wall penetrations (base build)","level 7"
,,"level 8","expanded","level 8","floor/wall penetrations (base build)"
,,"level 9","expanded","level 9","floor/wall penetrations (base build)"
,,"level 10","expanded","floor/wall penetrations (base build)","level 10"
,,"level 11","expanded","level 11","floor/wall penetrations (base build)"
,,"level 12","expanded","level 12","floor/wall penetrations (base build)"
,,"level 13","expanded","floor/wall penetrations (base build)","level 13"
,,"level 14","expanded","floor/wall penetrations (base build)","level 14"
,,"level 15","expanded","level 15","floor/wall penetrations (base build)"
,,"level 16","expanded","level 16","floor/wall penetrations (base build)"
,,"level 17","expanded","floor/wall penetrations (base build)","level 17"
,,"level 18","expanded","level 18","floor/wall penetrations (base build)"
,,"level 19","expanded","level 19","floor/wall penetrations (base build)"
,,"level 20","expanded","floor/wall penetrations (base build)","level 20"
,,"level 21","expanded","floor/wall penetrations (base build)","level 21"
,,"level 22","expanded","level 22","floor/wall penetrations (base build)"
,,"level 23","expanded","level 23","floor/wall penetrations (base build)"
,,"level 24","expanded","floor/wall penetrations (base build)","level 24"
