type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,
checklist ,Site Establishment and Safety Checklist,,,,,,,,
section,Details,,,,,,,,
checkpoint,Delivery and goods lift location,,,,,,,,
checkpoint,Delivery requirements i.e. booking process,,,,,,,,
checkpoint,On site storage / office location,,,,,,,,
checkpoint,Site specific restrictions i.e. noise / starting times,,,,,,,,
,,,,,,,,,
checklist,Ductwork,,,,,,Ductwork Checklist,,
section,Details,,,,,,,,
checkpoint,Pops & flex installed as per latest drawing,,,,,,,,
checkpoint,Correct hanger spacing / supports installed for flex,,,,,,,,
checkpoint,Free from support off other services,,,,,,,,
checkpoint,Flexible duct connections completed correctly,,,,,,,,
checkpoint,Blade dampers installed as documented and left in the open position,,,,,,,,
checkpoint,BD pop access panel coordinated and marked,,,,,,,,
checkpoint,Cushion boxes installed as per latest drawing,,,,,,,,
checkpoint,Balancing dampers installed as documented and left in the open position,,,,,,,,
checkpoint,Location of register coordinted with other services and marked on plan or floor,,,,,,,,
,,,,,,,,,
,,,,,,,,,
checklist,Grille Fit-Off,,,,,,Grille Fit-Off Checklist,,
section,Details,,,,,,,,
checkpoint,Grilles installed in correct location as per latest duct layout / RCP,,,,,,,,
checkpoint,Correct grille type installed,,,,,,,,
checkpoint,Grille installed flush and square,,,,,,,,
checkpoint,"Are all grilles installed correctly? Air leaks, vibration or failure",,,,,,,,
checkpoint,Grille color as per schedule,,,,,,,,
checkpoint,Grille left clean of fingerprints and caps installed where required,,,,,,,,
checkpoint,Grille fit-Off completed to drawings/specification & Area left clean/tidy (Any Issues comment below),,,,,,,,
,,,,,,,,,
checklist,All Subbie Rough-in Progression,,,,,,All Subbie Rough-in Progression Checklist,,
section,Details,,,,,,,,
checkpoint,All work in zone completed and appear compliant,,,,,,,,
label,Pass once all work complete,,,,,,,,
,,,,,,,,,
checklist,All Subbie Fit off & Testing Progression,,,,,,All Subbie Fit off & Testing Progression Checklist,,
section,Details,,,,,,,,
checkpoint,All work in zone completed and appear compliant,,,,,,,,
label,Pass once all work complete,,,,,,,,
,,,,,,,,,
checklist,As Builts,,,,,,As Builts Checklist,,
section,Details,,,,,,,,
checkpoint,Update As-Built's of any known changes,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
