type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,
checklist,ITP-113-CIV-CPD- Jemena Conduit & Pits (Supply & Install) Rev1,itp,,,,,ITP-113-CIV-CPD- Jemena Conduit & Pits (Supply & Install) Rev1,,,,,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-113-CIV-CPD-Inspection & Test Plan - Conduit & Pits - Rail (Supply and Install),,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: Conduit & Pits - Jemena HV relocation,,,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 1,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 8/12/2023,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Lachlan Morris/Pat Sabaruddin,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.1 - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - JEMEE-DW-UG-10061100/01, JEMEE-DW-UG-10061100/02, JEMEE-DW-UG-10061100/03",,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.2 - VESI D&C Standard,,,,,,,,,,,,,,,,,,,,,,
label,Reference - VESI_URD_003,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.3 - Plastic Industry Pipe Association - Industry Guidelines,,,,,,,,,,,,,,,,,,,,,,
label,Reference - PIPA POP 003,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.4 - Australian Standards,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - AS 2032, AS 2053, AS2648.1",,,,,,,,,,,,,,,,,,,,,,
section,2. Preliminaries - Materials,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Conduits,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - JEMEE-DW-UG-10061100/01, JEMEE-DW-UG-10061100/02, JEMEE-DW-UG-10061100/03, VESI_URD_003; cl4.4.2, cl5.8.2 AS2053",,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - HV & Comms: Conduit sizes as per IFC and VESI 4.4.2 CONDUITS USED WITHIN THE VESI NETWORKS SHALL BE HEAVY DUTY SOLID WALL, ELECTRICAL CONDUIT TO AS2053.",,,,,,,,,,,,,,,,,,,,,,
label,○ HV & COMMS CONDUITS TO HAVE A max BENDING RADIUS AS PER VESI_URD_003 - 5.8.2,,,,,,,,,,,,,,,,,,,,,,
label,○ Inspect materials upon delivery and attached delivery dockets.,,,,,,,,,,,,,,,,,,,,,,
label,"Method - Visual, Document Review",,,,,,,,,,,,,,,,,,,,,,
label,"Frequency - Each Material Type, Each Delivery",,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE,,,,,,,,,,,,,,,,,,,,,,
label,"Verifying Documents - Attach Material Conformnace Certs, Attach delivery dockets",,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Pits and Pit Lids,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - JEMEE-DW-UG-10061100/01, JEMEE-DW-UG-10061100/02, JEMEE-DW-UG-10061100/03",,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Pits:,,,,,,,,,,,,,,,,,,,,,,
label,○ Pits to be used and installed as per IFC drawings and manafacturer requirements ,,,,,,,,,,,,,,,,,,,,,,
label,○ Inspect materials upon delivery and attached delivery dockets.,,,,,,,,,,,,,,,,,,,,,,
label,"Method - Visual, Document Review",,,,,,,,,,,,,,,,,,,,,,
label,"Frequency - Each Material Type, Each Delivery",,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE,,,,,,,,,,,,,,,,,,,,,,
label,"Verifying Documents - Attach Material Conformnace Certs, Attach delivery dockets",,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.3 - Warning/Marker Tape,,,,,,,,,,,,,,,,,,,,,,
