"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"92629502-633a-4afd-9e87-446d5bb71137","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"f3abeaa6-a1fb-47da-9a2c-e4800db7e734","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"ef2b1446-26ae-4930-ae2c-91221f638998","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"e9aade0f-c429-4132-ab20-1790a51f95eb","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture","Panels"
"96649801-bb7c-4adf-810d-4b2b56c74295","","checklist-sectioned","pass","d445abf1a31c2db1731abc4e69e7a97b58c2708cdb80c557fdb618a745b730f8","checklist","FALSE","FALSE"," Precast Manufacture","Panels","weld plate details"
"7e972815-4d6c-4bcf-8439-8b3339ef89ed","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details"
"52972272-b05c-474b-b9b9-4b155a13724a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details","Edge Detail"
"f1ddc90f-19db-4e38-89f9-ea93f3b9a674","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details","Bar Projections"
"eebcc785-e53d-4e96-8c52-4f375aece3fc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details","Cast in items"
"1c1933a8-3fb9-4117-bdf9-69b0920eda3c","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture","Panels","Panels 1 - 30"
"9eb33580-ba79-460e-a31e-85930b3a7fd9","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1"
"be49fd85-f6be-4fa0-a274-d5ee741f3619","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check"
"2813b6a0-0c30-4128-b267-cc7506287e2f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Dimensions"
"d03a66b4-97fd-4abd-9953-5b6771ff8199","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould Clean"
"0b10e5f0-2f1b-46fd-b26b-9b48b5fadb8c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould Oiled"
"d7748271-150a-4ac5-907f-820a1b3929e7","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould - Workmanship"
"3104f542-db48-4f77-af31-5196651c5d9d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Reinforcing"
"9b6b020d-2981-41bc-98eb-c295dc578ad0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Cast In Items"
"8246bedd-0112-4230-8d3b-fe7e7bbd56c2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Marker Position and No."
"55799f14-8c5a-43b4-92d7-38fa5c31fd31","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Make mould to Green Status"
"6122ecaa-bc5e-4c58-a1a8-cd4d375cbc27","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Concrete Works"
"a37818a4-7924-4241-bf85-2d001f7bed71","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Concrete Works","Concrete Works Details"
"58604fcb-3323-48b5-9ef9-0d63963f2311","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Concrete Works","Wilco Sample Taken"
