type,name,values,prefix,postfix,usage count,user addable,template name,Resource ID,,,,,,,
checklist,ITP-281-RAIL-PSD-Rail Delineation Permanent Fencing,itp,,,,,ITP-281-RAIL-PSD-Rail Delineation Permanent Fencing Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-281-RAIL-PSD-Rail Permanent Fencing & Gates,,,,,,,,,,,,,,
label,ITP Description: PSD-Rail Permanent Fencing & Gates,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 281-RAIL,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,
label,Revision Date: 6/06/2025,,,,,,,,,,,,,,
label,ITP created by: Jake Argentaro,,,,,,,,,,,,,,
label,ITP approved for use by: Romualdo Magpantay,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,
label,Reference: IFC Drawings: MRP-DPK-091-00-CPW-0063,,,,,,,,,,,,,,
label,○ VicTrack STD_C0031 Installation of ARC “Garden Style” Fence Typical Details,,,,,,,,,,,,,,
label,○ AS 1725.1-2010: Chain Link Fabric Fencing.,,,,,,,,,,,,,,
label,○ A1524 Railway Corridor Fencing Standard Rev 3.,,,,,,,,,,,,,,
section,Preliminaries-Materials,,,,,,,,,,,,,,
checkpoint,2.1 Concrete Footings Mix,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: VicRoads Compliant Mix, Minimum of 20 MPa compressive strength as per IFC drawings and nominally VR330/32 with 30% SCM per DNG_C9246 Note 5.",,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Each Mix,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Material approval in TeamBinder, This ITP Signed Off, Certificate of Compliance",,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.2 Steel components,,,,,,,,,,,,,,
label,"REFERENCE: IFC Drawings AS41000, AS1163",,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: All Steel must comply with Australian Standards.,,,,,,,,,,,,,,
label,○ Steel section sizes must be checked on site.,,,,,,,,,,,,,,
label,"METHOD: Document Review, Visual and Measure",,,,,,,,,,,,,,
label,FREQUENCY: All elements,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Supplier Certificate of Compliance,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
section,Preliminaries-Documentations,,,,,,,,,,,,,,
checkpoint,3.1 Excavation for post foundations,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Excavation for post foundations must not undermine track and comply with PTDT requirements.,,,,,,,,,,,,,,
label,○ Follow asset owners guidelines for work around their service.,,,,,,,,,,,,,,
label,○ Excavation must use Non Destructive Digging in the rail corridor subject to minimum mechanical clearances to underground services.,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed Off,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
section,Pre-construction / Pre-installation Activities,,,,,,,,,,,,,,
checkpoint,4.1 Survey Set-out,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Survey to set out the following but not limited to: existing services, post locations, refuge bays (where applicable).",,,,,,,,,,,,,,
label,○ Offset checked against the running edge prior to installation of posts against MTM Transit Space Clearances Standard.,,,,,,,,,,,,,,
label,○ Engineer to verify alignment of posts using string line or equivalent.,,,,,,,,,,,,,,
label,"METHOD: Measure, Visual inspect",,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Surveyor, SE/PE/SPE",,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed Off,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
section,Construction / Installation Activities,,,,,,,,,,,,,,
checkpoint,5.1 Ground Conditions,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: All post foundations/ beams to be inspected by the site team prior to installing the posts. All foundations are to be free of water and loose material.,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,
label,FREQUENCY: Each post,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed Off,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,5.2 Post Foundation(s),,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Fencing Post Foundation - as per STD_C0031,,,,,,,,,,,,,,
label, — 600mm Depth,,,,,,,,,,,,,,
label, — 200mm Diameter,,,,,,,,,,,,,,
label, — 2405mm c/c Spacing,,,,,,,,,,,,,,
label,○ Single Lead Gate - Per DNG_C9246 and AS 1725.1-2010: Chain Link Fabric Fencing.,,,,,,,,,,,,,,
label," — 1,000mm Depth",,,,,,,,,,,,,,
label, — 300mm Diameter,,,,,,,,,,,,,,
label," — 1,500mm c/c Spacing",,,,,,,,,,,,,,
label,○ 8.0m Wide Double Leaf Gate - Per DNG_C9246 and AS 1725.1-2010: Chain Link Fabric Fencing.,,,,,,,,,,,,,,
label," — 1,400mm Depth",,,,,,,,,,,,,,
label, — 400mm Diameter,,,,,,,,,,,,,,
label," — 8,000mm c/c Spacing",,,,,,,,,,,,,,
label,○ Drop-bolt footings W300 x L350 x D350 for closed-gate position and 150 dia x 350mm deep for the opened gate position.,,,,,,,,,,,,,,
label,METHOD: Measure,,,,,,,,,,,,,,
label,FREQUENCY: Each footing,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed Off,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,5.3 Concrete Footing,,,,,,,,,,,,,,
label,REFERENCE: Site Sampling & Testing Procedure 610.16 (b),,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Concrete cast in one continuous operation to be tested at a frequency as shown below:,,,,,,,,,,,,,,
label, — 0m³ to 10m³ = 1 sample,,,,,,,,,,,,,,
label, — 10m³ to 25m³ = 2 samples,,,,,,,,,,,,,,
label, — 25m³ to 50m³ = 3 samples,,,,,,,,,,,,,,
label, — 50m³ to 100m³ = 4 samples + 2 no. VPV cylinders.,,,,,,,,,,,,,,
label,○ For each additional 50m³ and additional sample shall be taken.,,,,,,,,,,,,,,
label,"○ Where IFC nominates minimum strength development, ensure strength is verified by additional cylinder or other approved method (such as maturity testing).",,,,,,,,,,,,,,
label,○ Each sample shall consist of 1 no. slump or spread test and 3 no. compressive strength cylinders minimum.,,,,,,,,,,,,,,
label,"○ Compressive strength cylinders = 1 no. 7 day strength, 2 no. 28 day strength.",,,,,,,,,,,,,,
label,METHOD: Test,,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Concrete Tester, Foreman, SE/PE/SPE",,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: This ITP Signed Off, Concrete Pour Record",,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,5.4 Post Installation,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Fencing: Maximum fence post spacing to be 2405mm,,,,,,,,,,,,,,
label,○ Max. post height 1800mm above ground level,,,,,,,,,,,,,,
label,○ Vertical Tolerance: ±20mm from the design line.,,,,,,,,,,,,,,
label,○ Single Lead Gate - Per DNG_C9246 and AS 1725.1-2010: Chain Link Fabric Fencing.,,,,,,,,,,,,,,
label, — 50 x 5 SHS frame with 75 x 5 SHS Posts w/ End Cap,,,,,,,,,,,,,,
label,○ 8.0m Wide Double Leaf Gate - Per DNG_C9246 and AS 1725.1-2010: Chain Link Fabric Fencing.,,,,,,,,,,,,,,
label, — 100 x 5 SHS Posts w/ End Cap,,,,,,,,,,,,,,
label,METHOD: Measure,,,,,,,,,,,,,,
label,FREQUENCY: Each post,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed Off,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,5.5 Fence Panel Installation,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Galvanised fence panels 1820x2405x55 to be fixed to fence post with 25mm U-clip, using TEK screw. A minimum of 2 brackets must be used and fastened to each post.",,,,,,,,,,,,,,
label,○ Minimum ground clearance under panels 50mm,,,,,,,,,,,,,,
label,○ Maximum ground clearance under panels 80mm,,,,,,,,,,,,,,
label,"METHOD: Visual, Measure",,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed Off,,,,,,,,,,,,,,
