Id,Type,Name,Values,Prompting Name,Postfix,Resource Id,,,,
952573a6-db98-454c-a564-b6c29f5e9f50,checklist,QA - 001 - Cement Records V1,,QA - 001 - Cement Records,,,,,,
7c7b2d6b-98e8-468f-bf77-499699d3f691,section,Cement Records,,,,,,,,
729d5db7-2e22-4405-8340-8beb2f67fb48,checkpoint-no-value,Details,,,,,,,,
,note,Procedure,,,,,,,,
,note,Minimum Frequency - QUARTERLY / TYPE / SUPPLIER.,,,,,,,,
,note,1. Retain a manufacturer's test certificate for each Type per Supplier per Quarter.,,,,,,,,
,note,2. Record details and compare to minimum acceptable specifications.,,,,,,,,
,note,Note: This form shall also be completed for a new supplier or new type prior to or upon delivery.,,,,,,,,
,note,If non-conforming do the following:,,,,,,,,
,note,a. Advise the designated quality coordinator of non-conformance and provide them with a copy of this form. – NCR shall be raised.,,,,,,,,
,note,"b. Identify unused cement on site, reject if outside minimum specification.",,,,,,,,
,note,c. Notify supplier of non-conformance.,,,,,,,,
,note,d. Examine test performance of completed products/cylinders to identify potential production defects.,,,,,,,,
f734497e-0776-5752-b89f-d83d1b7408fb,date,QUARTER ENDING:,,,,,,,,
6f055d20-7d89-52b4-94de-988530b2d182,tickbox,"Or, new supplier or new type",,,,,,,,
c05ae3b9-894b-55ac-922b-f2d2813a6ed0,date,DATE,,,,,,,,
90dd9c50-f6d5-5bea-942a-151a77670bd2,textbox,SUPPLIER,,,,,,,,
55b907a8-227f-5c09-8a13-bbbe098ef275,textbox,DOCKET No.,,,,,,,,
0a21d3e1-6d44-51ee-bfb1-04dcd406ed9f,textbox,CERTIFICATE No.,,,,,,,,
9d3dd8de-3506-5cf1-b6b8-e5fd4ceda689,textbox,CEMENT TYPE,,,,,,,,
a36722d7-0eaa-41a4-aa63-c0eb4ba8f216,checkpoint,Properties meet AS3972,,,,,,,,
2ab9799b-54c8-4f46-97c1-a427b5cdaff5,checkpoint,Cement meets Civilmart Poles Spec.,,,,,,,,
,note,Poles Cement Specification,,,,,,,,
,note,— — — — — — — — — — — — —,,,,,,,,
,note,TYPE || **C3S content || Fineness Index * || Initial Set - Hrs. || Total Alkali NA20 equivalent || SO3 content || C3A (informative),,,,,,,,
,note,— — — — — — — — — — — — —,,,,,,,,
,note,GP || > 55% ||  350 || < 2.5 || < 0.8% || < 3.0 % || Record Result to 0.1%,,,,,,,,
