"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d2a827fb-34b7-4467-ac73-cbc5f3a899d0","","checklist-flat","pass","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"b1a77841-00af-574c-a3f6-530a342e4a05","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"691ac664-d674-5ffa-82e1-97aa106ff153","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"9a10b374-3aea-50c6-b119-ff4309257fba","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"3c405b8f-0a8f-53d6-b4d8-984c2b382980","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"22fa23cd-e941-50b0-bb41-1c152cbbcc82","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"924daf92-54dd-5b50-87ff-84c9485d4a61","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"a82bca07-5936-4613-9c09-5423681a2fcb","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"578f4e28-c674-425f-83b3-6b5f276008dc","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors"
"979b340f-2dc9-4535-ab72-ee22ebb94d56","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01"
"c78a5cd9-a5d9-4c3d-b404-f611bfc2b016","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Pre-Fit Off Checklist"
"7ce360a5-58c9-5e34-9533-c968d08be8ca","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"94787930-e5ee-514e-ac88-db4d68374bd0","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Pre-Fit Off Checklist","EMAIL PM"
"4bf444a8-5897-5579-8562-4741c082a5d5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"f9d9d7ae-a8d0-5e71-85b1-1eede853ee57","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Pre-Fit Off Checklist","Photos taken"
"4c5149ef-f040-4935-a04b-13d36b160673","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Rail Checklist - Rail 01"
"565213a5-e8c9-5a43-8692-212342f6c3e3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Rail Checklist - Rail 01","Confirm the structure is in accordance with the details supplied by PBI"
"d5d64f3e-7715-5147-b880-bd4965cd5046","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Rail Checklist - Rail 01","EMAIL PM"
"46f6ac78-53b3-560a-b7b9-f320ad78bd5c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Rail Checklist - Rail 01","Photo taken of Engraved Line Plate / ID Tag"
"187928c6-9d52-543c-8e34-d831482eb8f2","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Rail Checklist - Rail 01","Video taken of system"
"e5c52eb3-3658-5d53-945a-4b58a6a14ab9","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Rail Checklist - Rail 01","Description input of location / person Rail systems shuttle left with"
