Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,ITP - 011 - Fill 15,itp,,,1,Yes,ITP-011 - Fill 15,56cfed4c-fc80-4fa7-9f5f-38e8f24799d6
checkpoint-group,,,section,1.1.0 Pre-construction Approvals,,,,,,,
checkpoint-status,,,checkpoint,1.1.1 - Construction Environmental Management Plan,,,,,,,
label,50034a9b-c7fd-5d4a-ac48-4a40acfd5153,,note,Method/Description - Document Review,,,,,,,
label,ca266398-4518-5357-8549-a06a9b788e3f,,note,Test frequency - Prior to work starting,,,,,,,
label,f0e3afb8-6790-5be9-a0f8-80f3ec578b99,,note,Contractor - H,,,,,,,
label,ba562c65-bc6c-522d-9f17-2f2b27639032,,note,"Verifying Records Checklists, Test and Supplier Certificates - Signed off CEMP",,,,,,,
checkpoint-status,,,checkpoint,1.1.2 - Construction Work Plan,,,,,,,
label,07bf01a9-825c-5fdc-b175-9ae5c8ca892f,,note,Method/Description - Document Review,,,,,,,
label,9b7eeef0-c1e4-56e5-b431-7adfa97d42a0,,note,Test frequency - Prior to personal starting,,,,,,,
label,35ee3d69-2c98-5c1e-85f0-9f0593f4aa04,,note,Contractor - H,,,,,,,
label,ae769efa-75b8-536c-860e-dbb95892bf82,,note,"Verifying Records Checklists, Test and Supplier Certificates - Signed off CWP",,,,,,,
checkpoint-status,,,checkpoint,1.1.3 - IANZ accredited testing organisation,,,,,,,
label,dc14c63e-01e6-5479-9e93-4f506f8ac28d,,note,Method/Description - Document Review,,,,,,,
label,be91758d-b187-54a6-9a01-4dc6ce1f1c07,,note,Test frequency - Once prior to works commencing,,,,,,,
label,4eb99b6d-d70c-571b-b090-cec6be83195e,,note,Contractor - H,,,,,,,
label,67fdb9b4-4c51-5187-b60f-def6158133b7,,note,Designer - H,,,,,,,
label,4b926d1e-7dc3-59f3-a856-b730cdafc0c1,,note,"Verifying Records Checklists, Test and Supplier Certificates - Test and supplier certificates",,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-status,,,checkpoint,1.1.4 - IFC's specification,,,,,,,
label,2450ca51-e036-508c-b9f4-8d0a3dbd04a8,,note,Method/Description - Document Review,,,,,,,
label,ecf481fe-aa10-5f6c-9eeb-33e0dc2a64a3,,note,Test frequency - Once prior to works commencing,,,,,,,
label,20b4c479-3a6d-5812-9a25-7374d89f6fdb,,note,Contractor - H,,,,,,,
label,9f9cade3-9e8b-5b6d-834e-672f2279b41e,,note,Designer - H,,,,,,,
label,86591545-de2f-5cef-8092-31f351edb218,,note,"Verifying Records Checklists, Test and Supplier Certificates - IFCspecifications or Written approval from PAB",,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-status,,,checkpoint,1.1.5 - IFC drawings,,,,,,,
label,d8ddcaa6-3582-5415-81c3-661c617f6746,,note,Method/Description - Document Review,,,,,,,
label,83b2c398-5712-59c6-a5db-35bfd54ccb56,,note,Test frequency - Once prior to works commencing,,,,,,,
label,5c4b541e-c631-5927-992e-7794c26099b2,,note,Contractor - H,,,,,,,
label,3bcfe335-1b32-5b01-a8c3-d3124621f671,,note,Designer - H,,,,,,,
label,e7cf6945-0b86-53c6-a8bd-15cd5969fe82,,note,"Verifying Records Checklists, Test and Supplier Certificates - IFC drawings or Written approval from PAB",,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-status,,,checkpoint,1.1.6 - Approved earthworks model,,,,,,,
label,dbdd446d-910f-5404-aff5-101f91ddd9e3,,note,Method/Description - Document Review,,,,,,,
label,a52bbb2b-cdd1-5db8-9599-2bb2aff2ebe5,,note,Test frequency - Every new Earthworks Model and prior to work commencing,,,,,,,
label,3604447a-d645-5d16-85c1-4d0ce474b5bf,,note,Contractor - H,,,,,,,
label,da4ad63a-38af-5b42-8c77-10e66b0f0fb6,,note,Designer - H,,,,,,,
label,6d2e6e99-3707-508d-a97d-0d75889b5c9a,,note,"Verifying Records Checklists, Test and Supplier Certificates - ?",,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-status,,,checkpoint,1.1.7 - Approval of stockpile location,,,,,,,
label,1b3a81d4-0e09-5121-9c26-788f157b3581,,note,Method/Description - Document Review & Approval,,,,,,,
label,326eba61-a9dc-5712-b9ca-9966dc847b73,,note,Test frequency - Prior to works commencing,,,,,,,
label,b25e1244-930e-50ab-bb58-0e00d83a8336,,note,Contractor - H,,,,,,,
label,0fe42e9c-25ef-5976-a855-5eb2a06e11c0,,note,Designer - H,,,,,,,
label,d6e67424-952f-5384-bec9-25ef44e9b841,,note,"Verifying Records Checklists, Test and Supplier Certificates - ?",,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-group,,,section,1.2.0 Material Compliance,,,,,,,
checkpoint-status,,,checkpoint,1.2.1 - Structural fill,,,,,,,
label,5fc7058d-46da-5dfd-a86d-1732f318088c,,note,"Method/Description - Determination of the dry density & OMC determination - NZS 4402:Supplement No 1:1998, Test 4.1.2",,,,,,,
label,cc0df67d-b45e-5269-b280-818b498dd30f,,note,"• Atterberg limits - NZS 4402:Supplement No 1:1998, Test 2.2, 2.3 & 2.4",,,,,,,
label,caf36ebc-9909-584e-aef0-edd566e89c93,,note,• Triaxial (Single stage min. 3 samples) - BS 1377 Part 8: 1990. Methods of tests for Soils for civil engineering purposes – Test 7 or Test 8,,,,,,,
label,cec78310-376b-52e9-b854-ce279b2cbb61,,note,"Test frequency - 1 test per 20,000m³",,,,,,,
label,06e6a241-3136-5004-8427-a080f041cd13,,note,Contractor - H,,,,,,,
label,617c7773-2781-5469-bfc5-843c1ba862da,,note,Designer - W,,,,,,,
label,d698a9e7-51a5-5ed3-bdf9-c793b6b02760,,note,"Verifying Records Checklists, Test and Supplier Certificates - Test Report",,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-status,,,checkpoint,1.2.2 - Buttress Fill,,,,,,,
label,6e842e6a-54ff-59d3-9470-fb4a5205080a,,note,"Method/Description - Determination of the dry density & OMC determination - NZS 4402:Supplement No 1:1998, Test 4.1.2",,,,,,,
label,45ecceae-e84d-57d2-a88e-f8bdab0ad1ff,,note,"• Atterberg limits - NZS 4402:Supplement No 1:1998, Test 2.2, 2.3 & 2.4",,,,,,,
label,1f04baf1-07ca-5358-88c2-91c150c5d2bf,,note,"Test frequency - 1 test per 20,000m3",,,,,,,
label,0a900ba6-1f79-5556-9fcd-ecd98196d97d,,note,Contractor - H,,,,,,,
label,f92a7750-3e4e-5d0a-a3a9-a900b540ce28,,note,Designer - W,,,,,,,
label,670aa45d-4889-5e43-b84a-e1249e99e5d2,,note,"Verifying Records Checklists, Test and Supplier Certificates - Test Report",,,,,,,
checkpoint-status,,,checkpoint,1.2.3 - GAP 65,,,,,,,
label,9c740a6e-8cdb-52a6-9d62-8e429ce97fd9,,note,"Method/Description - Determination of the dry density & OMC determination - NZS 4402:Supplement No 1:1998, Test 4.1.3",,,,,,,
label,67480ea2-8248-598c-823e-7344fffeb339,,note,• NZS 4402 Supplement No 1:1998 - Test 3.8.1 Determination of the particle size distribution Standard method by wet sieving,,,,,,,
