"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6be96b54-1395-415a-8809-5cdb06c3df62","","folder-normal","work-in-progress","","step","TRUE","FALSE","CHIP SEAL 2023/2024"
"dba39b4d-6c9e-4b7c-99e7-5a2df490d257","","checklist-flat","pass","Approved Design Report","checklist-flat","FALSE","FALSE","CHIP SEAL 2023/2024","Approved Design Report"
"453b5c0d-7690-5677-801c-6d78bf6987e4","","checkpoint-status","pass","","","TRUE","TRUE","CHIP SEAL 2023/2024","Approved Design Report","Approved Design Report"
"3bdc86aa-c525-4600-b61f-9b165c7aa866","","checklist-flat","pass","QMP","checklist-flat","FALSE","FALSE","CHIP SEAL 2023/2024","Quality Management Plan"
"190ea7b0-72df-5762-80c9-28dcdeb6a194","","checkpoint-status","pass","","","TRUE","TRUE","CHIP SEAL 2023/2024","Quality Management Plan","QMP"
"a3240db8-d6b0-457b-a263-526c0df79034","","checklist-flat","pass","Verified Program","checklist-flat","FALSE","FALSE","CHIP SEAL 2023/2024","Verified Program"
"3eefe3ed-de89-50aa-bcdf-f3d2142164ec","","checkpoint-status","pass","","","TRUE","TRUE","CHIP SEAL 2023/2024","Verified Program","Verified Program"
"99d72dcc-e3e4-4cc5-85a7-15ed6cc0339e","","folder-normal","work-in-progress","","step","TRUE","FALSE","CHIP SEAL 2023/2024","Testing Results"
"f82751f9-57eb-45e8-a181-13724a43a536","","checklist-flat","work-in-progress","Production and Testing ITPs","checklist-flat","FALSE","FALSE","CHIP SEAL 2023/2024","Testing Results","Bitumen Testing Results"
"14631d68-685c-5838-9706-3e48b11c12bb","","checkpoint-status","work-in-progress","","","TRUE","TRUE","CHIP SEAL 2023/2024","Testing Results","Bitumen Testing Results","Production and Testing ITPs"
"f3031e18-502f-4bed-bb06-26d6e29d70da","","checklist-flat","pass","Production and Testing ITPs","checklist-flat","FALSE","FALSE","CHIP SEAL 2023/2024","Testing Results","Winstones Whitehall Chip Production Testing"
"707d9d4f-dfcc-5a7c-905d-2724c3aea68b","","checkpoint-status","pass","","","TRUE","TRUE","CHIP SEAL 2023/2024","Testing Results","Winstones Whitehall Chip Production Testing","Production and Testing ITPs"
"e97ed169-cf64-4e0d-beba-801d1718b7d3","","checklist-flat","pass","Production and Testing ITPs","checklist-flat","FALSE","FALSE","CHIP SEAL 2023/2024","Testing Results","Winstones Pukekawa Chip Production Testing"
"0b700f40-b486-5c64-8302-4a9946767fd9","","checkpoint-status","pass","","","TRUE","TRUE","CHIP SEAL 2023/2024","Testing Results","Winstones Pukekawa Chip Production Testing","Production and Testing ITPs"
"fc7ac62e-5057-4e47-af52-ad264d9a3698","","checklist-flat","pass","Production and Testing ITPs","checklist-flat","FALSE","FALSE","CHIP SEAL 2023/2024","Testing Results","Waiotahi Waioeka - High PSV"
"c2e3d980-3de1-5a0a-bd09-fce672ff1aea","","checkpoint-status","pass","","","TRUE","TRUE","CHIP SEAL 2023/2024","Testing Results","Waiotahi Waioeka - High PSV","Production and Testing ITPs"
"aa59c016-4ea0-43c2-949f-1af62a8c137f","","checklist-flat","pass","Production and Testing ITPs","checklist-flat","FALSE","FALSE","CHIP SEAL 2023/2024","Testing Results","Glenbrook High PSV"
"e473ce35-bf56-5f4d-bcb2-4655bd149d29","","checkpoint-status","pass","","","TRUE","TRUE","CHIP SEAL 2023/2024","Testing Results","Glenbrook High PSV","Production and Testing ITPs"
"ea006cb8-3868-4a0c-83ee-474e292decee","","checklist-flat","pass","Production and Testing ITPs","checklist-flat","FALSE","FALSE","CHIP SEAL 2023/2024","Testing Results","JSWAP Low PSV "
"e27c5d15-afd4-52cb-9aa1-47b57e72ce3a","","checkpoint-status","pass","","","TRUE","TRUE","CHIP SEAL 2023/2024","Testing Results","JSWAP Low PSV ","Production and Testing ITPs"
"d3117f66-da83-4762-a536-45f2bbcdf123","","folder-normal","work-in-progress","","step","TRUE","FALSE","CHIP SEAL 2023/2024","SH2"
"7cd8e206-ec38-494f-812b-6805231c1ce1","","checklist-sectioned","work-in-progress","ITP - Resurfacing Physical Works","checklist","FALSE","FALSE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539"
"83150100-94f3-5bf8-a2e6-6d77d28eaa0e","","checkpoint-group","not-started","","","FALSE","FALSE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","1.0 Pre-Works (Off Site)"
"c0fbdbbe-3e41-5a61-b91a-45de14fd12a1","","checkpoint-status","not-started","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","1.0 Pre-Works (Off Site)","Stakeholder Management Requirements met"
"e3b7a17c-a4fd-5a12-bd96-a832e73e017c","","checkpoint-status","not-started","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","1.0 Pre-Works (Off Site)","Confirm if any environmental protection is required"
"1e3f9f00-73f9-59e6-bab7-b0ec2aebfb71","","checkpoint-status","not-started","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","1.0 Pre-Works (Off Site)","Daily work briefing, confirm scope, that you have all staff, materials and plant needed to complete the work"
"8714e7be-bddc-5e2a-989c-e1d35f0d7b56","","checkpoint-group","work-in-progress","","","FALSE","FALSE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","2.0 Pre-Construction (On Site)"
"0f760957-3d95-58cb-800d-55b48d8276a3","","checkpoint-status","not-started","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","2.0 Pre-Construction (On Site)","Job start, identify risks and controls, communicated to team"
"26bb30a3-7bca-581a-942d-d8750ce50cf8","","checkpoint-status","not-started","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","2.0 Pre-Construction (On Site)","Establish traffic management to plan"
"d0194400-67d0-50a0-b4ac-51600055f8da","","checkpoint-status","not-started","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","2.0 Pre-Construction (On Site)","Confirm site is on approved programme"
"f2bc7f8c-12fc-574e-8e69-3e8974d14c37","","checkpoint-status","not-started","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","2.0 Pre-Construction (On Site)","Confirm site extents (i.e. Check what is marked on the road matches the job sheet / programme details"
"4fcf0e0b-fa61-5caf-b850-07c69b5ec911","","checkpoint-status","not-started","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","2.0 Pre-Construction (On Site)","Stockpiled sealing chip is clean and suitable for sealing"
"a8465a46-e36e-5f12-a291-2c0bf8cdb00d","","checkpoint-status","not-started","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","2.0 Pre-Construction (On Site)","Stockpiled sealing chip is the same grade(s) as specified in the chipseal design"
"9003e47c-7985-5f4b-8bb7-44a904c65078","","checkpoint-status","not-started","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","2.0 Pre-Construction (On Site)","Record & photograph environmental protection measures installed"
"eb60efd1-17b6-539b-826e-6594be6ddb09","","checkpoint-status","not-started","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","2.0 Pre-Construction (On Site)","Binder application rate"
"40759710-dbd6-52c6-80c2-5a685fe005e3","","checkpoint-status","work-in-progress","","","TRUE","TRUE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","2.0 Pre-Construction (On Site)","Pre-Sealing surface condition"
"e38507af-b406-5f31-ae91-3d81e995f3f7","","checkpoint-group","not-started","","","FALSE","FALSE","CHIP SEAL 2023/2024","SH2","2.1 WDC Bdy	 SH2 RS 209 RP 0 - 539","3.0 Construction"
