"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f32fe923-a9a5-40c9-bf3d-0a951c7f68b9","","fail","","folder","TRUE","FALSE","Site QA"
"81658017-0dea-438a-bbe9-86872c867d6e","","fail","","folder","TRUE","FALSE","Site QA","Level 1"
"e3486b85-6a1d-4fab-a53a-846ff4d74b16","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511"
"57f22067-8d5e-4838-857e-8126d49a51c8","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1028 - Sterile Store"
"ab44c528-9af5-4a0a-b54f-961c0c949351","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1028 - Sterile Store","Preparation"
"0a364efb-aaf4-4904-ba90-839795add6b7","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1028 - Sterile Store","Floor Vinyl"
"aefbb220-9ad7-4bd9-b26c-9db9eae07299","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1028 - Sterile Store","Wall Covering"
"3dc7e01e-2c51-4bae-91e4-9d7956d4c84d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1029 - Processing area"
"5231ca97-cece-4898-9770-0d9b188e50e8","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1029 - Processing area","Preparation"
"fd15b8d7-8c14-4c6a-9b7f-324ed5814e56","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1029 - Processing area","Floor Vinyl"
"0d5a463d-81f5-4d64-b3a6-ba574cce8233","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1029 - Processing area","Wall Covering"
"13709fa8-96e1-4ada-bd31-dbf76cc0ae0e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1040 - Transport Trolley"
"145aeaf7-de71-4397-b536-f05508cf3a48","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1040 - Transport Trolley","Preparation"
"55b0a94f-830c-4a16-863a-543374f2da73","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1040 - Transport Trolley","Floor Vinyl"
"d40dfaf5-1a7d-41b6-8b86-80f6ffb96513","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1040 - Transport Trolley","Wall Covering"
"f03068d6-a28e-4eaa-99e4-b380ca336647","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1023 - NO Floor covering SS Plant"
"a350e599-36d2-4029-ac5c-727fd6bd204c","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1023 - NO Floor covering SS Plant","Preparation"
"83a9eeeb-1fa4-4791-afb4-e9d4a26775e4","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1023 - NO Floor covering SS Plant","Floor Vinyl"
"78af95fa-fb9c-4196-ba40-ba37e8a39060","","work-in-progress","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1023 - NO Floor covering SS Plant","Wall Covering"
"a8281132-3695-45b9-9e8e-30dc7bb4d24c","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1024 - ICT"
