"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"eff9ba36-dac6-4482-b4e4-f7ca6851e836","","folder-normal","work-in-progress","","step","TRUE","FALSE","41-AD BLDG"
"a412523c-cf60-4b00-8e40-72e4a46dc30c","","folder-normal","work-in-progress","","step","TRUE","FALSE","41-AD BLDG","41-AD Sewer"
"7951daa0-0394-4e0c-bb25-ec2aa32e5ac8","","folder-normal","work-in-progress","","step","TRUE","FALSE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install"
"bfbf0108-22d3-4438-a12b-69a963a68411","","checklist-flat","work-in-progress","QA 8 - Below Ground Pipework Checklist - Sewer","checklist-flat","FALSE","FALSE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run"
"9e996207-3bf7-5e2f-980a-c6a69f7db4cd","","checkpoint-status","pass","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","Principal Contractor Permits Issued"
"f0c9ed55-164c-5db9-ad53-e4171bfa7eb3","","checkpoint-status","pass","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","Set out pits depths and trench runs."
"9deac437-bd50-51ee-a8af-63ed79922bda","","checkpoint-status","pass","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","Pipes and fittings comply with relevant Authority and Specification."
"5bafbab9-9639-509d-8e70-9ebeb69cbf27","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","Bedding placement and compaction and material meets specification."
"f45a9fda-5584-54f9-b926-6f87663bb8ae","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","Laying and jointing of pipes R.Ls and falls"
"9fb32f7c-ee0c-54d3-85d1-1cf29e8f9c1b","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","Connections to pits and existing services"
"932925da-cbb8-52c1-99d4-7008df8ced7c","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","Hydrostatic tests are carried out as required."
"5c6100d2-633e-5eb9-999a-74dfefa38bec","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","Mirror tests are completed if required."
"f7c8d864-23a2-5a0e-9953-7cef4f9bd07b","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","Placement and compaction of backfill and material meets spec."
"b9d69550-f7de-55e4-9720-5b7ac6ac108f","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","Temporary cover provided to open drain."
"6e505ba1-7292-5031-8b01-e09c6f2023a2","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","PVC/ Plastic caps to open ends"
