type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,
checklist,Carpet Tile Installation (Basic),,,,,,,,,
section,Preparation,,,,,,,,,
checkpoint,Check area clear of all other trades and their materials,,,,,,,,,
checkpoint,Check floor if prep is required,,,,,,,,,
checkpoint,Measure area,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Confirm carpet tile pattern direction/layout,,,,,,,,,
checkpoint,Glue out floors,,,,,,,,,
checkpoint,Install carpet tiles,,,,,,,,,
checkpoint,Install trims as applicable,,,,,,,,,
section,Handover & Signoff,,,,,,,,,
checkpoint,Remove all excess material,,,,,,,,,
checkpoint,Clean any excess glue,,,,,,,,,
checkpoint,Report for inspection,,,,,,,,,
checkpoint,Quality Approval,,,,,,,,,
signoff,SEND TO CLIENT FOR QUALITY APPROVAL,,,,,,,,,
,,,,,,,,,,
checklist,Vinyl Installation (Basic),,,,,,,,,
section,Preparation,,,,,,,,,
checkpoint,Check area clear of all other trades and their materials,,,,,,,,,
checkpoint,Check floor for U3 (3mm variance over 3m),,,,,,,,,
checkpoint,Check wall for smoothness where coving,,,,,,,,,
checkpoint,Measure area,,,,,,,,,
checkpoint,Acclimatise vinyl,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Confirm vinyl layout direction,,,,,,,,,
checkpoint,Confirm coving location/type,,,,,,,,,
checkpoint,Glue out floors,,,,,,,,,
checkpoint,Install vinyl,,,,,,,,,
checkpoint,Install coving & capping/sealant as applicable,,,,,,,,,
section,Handover & Signoff,,,,,,,,,
checkpoint,Remove all excess material,,,,,,,,,
checkpoint,Clean any excess glue,,,,,,,,,
checkpoint,Report for inspection,,,,,,,,,
checkpoint,Quality Approval,,,,,,,,,
signoff,SEND TO CLIENT FOR QUALITY APPROVAL,,,,,,,,,
,,,,,,,,,,
checklist,Carpet Tile Installation,,,,,,,,,
section,Details,,,,,,,,,
checkpoint,1. PRE-INSTALLATION CHECKLIST,,,,,,,,,
button,CLIENT Handover of Area,"YES, NO, N/A",,,,,,,,
button,Confirm materials delivered,"YES, NO, N/A",,,,,,,,
button,Gather Materials and Tools,"YES, NO, N/A",,,,,,,,
checkpoint,2. SURFACE PREPARATION,,,,,,,,,
button,Check Area clear of all other trades and their materials,"YES, NO, N/A",,,,,,,,
button,"Surface is clean, dry, and free from dust and debris.","YES, NO, N/A",,,,,,,,
button,"Confirm no cracks, moisture issues, or irregularities","YES, NO, N/A",,,,,,,,
button,Clause 3.10 Humidity <75%,"PASS, FAIL, N/A",,,,,,,,
button,Ambient Temperature 15.5 - 29.5 degrees,"PASS, FAIL, N/A",,,,,,,,
button,Confirm 3mm tolerance in 3m or 0mm in 20cm in subfloor,"PASS, FAIL, N/A",,,,,,,,
button,"Assess, Discuss, Price, Confirm required works","PROCEED, NOT PROCEED, N/A",,,,,,,,
signoff,Hold works to confirm preparation required,,,,,,,,,
checkpoint,3. PREPARE CARPET TILE FOR INSTALLATION,,,,,,,,,
button,Check and measure area,"YES, NO, N/A",,,,,,,,
button,Acclimate the Carpet Tiles,"YES, NO, N/A",,,,,,,,
checkpoint,4. CARPET TILE INSTALLATION,,,,,,,,,
button,Confirm Carpet tile layout,"YES, NO, N/A",,,,,,,,
button,Set out carpet tiles,"YES, NO, N/A",,,,,,,,
button,Applied Adhesive,"YES, NO, N/A",,,,,,,,
button,Allow Glue to Tac-off,"YES, NO, N/A",,,,,,,,
button,Install carpet tiles,"YES, NO, N/A",,,,,,,,
button,"Install transition strips, baseboards, or other finishing elements as needed.","YES, NO, N/A",,,,,,,,
button,Site clean up,"YES, NO, N/A",,,,,,,,
checkpoint,5. FINAL INSPECTION,,,,,,,,,
button,Confirm no visible defects or issues.,"PASS, FAIL, N/A",,,,,,,,
checkpoint,6. SUBCONTRACTOR VERIFICATION,,,,,,,,,
textbox,Actions/Remedial Items (if any),,,,,,,,,
signoff,Subcontractor representative (Full name),,,,,,,,,
checkpoint,7. CLIENT VERIFICATION,,,,,,,,,
textbox,Actions/Remedial Items (if any),,,,,,,,,
signoff,Verified by CLIENT representative (Full name),,,,,,,,,
,,,,,,,,,,
checklist,Entry Mat Installation,,,,,,,,,
section,Details,,,,,,,,,
checkpoint,1. PRE-INSTALLATION CHECKLIST,,,,,,,,,
button,CLIENT Handover of Area,"YES, NO, N/A",,,,,,,,
button,Confirm materials delivered,"YES, NO, N/A",,,,,,,,
button,Gather Materials and Tools,"YES, NO, N/A",,,,,,,,
checkpoint,2. SURFACE PREPARATION,,,,,,,,,
button,Check Area clear of all other trades and their materials,"YES, NO, N/A",,,,,,,,
button,"Surface is clean, dry, and free from dust and debris.","YES, NO, N/A",,,,,,,,
button,Check Recess Level meets requirements,"YES, NO, N/A",,,,,,,,
button,"Assess, Discuss, Price, Confirm required works","PROCEED, NOT PROCEED, N/A",,,,,,,,
signoff,Hold works to confirm preparation required,,,,,,,,,
checkpoint,3. PREPARE ENTRY MAT FOR INSTALLATION,,,,,,,,,
button,Install Matwell frame,"YES, NO, N/A",,,,,,,,
button,Level Floor to suit Thickness,"YES, NO, N/A",,,,,,,,
button,Dimention measured on site,"YES, NO, N/A",,,,,,,,
checkpoint,4. ENTRY MAT INSTALLATION,,,,,,,,,
button,Drop Entry Mat in to matwell,"YES, NO, N/A",,,,,,,,
checkpoint,5. FINAL INSPECTION,,,,,,,,,
button,Confirm no visible defects or issues.,"PASS, FAIL, N/A",,,,,,,,
checkpoint,6. SUBCONTRACTOR VERIFICATION,,,,,,,,,
textbox,Actions/Remedial Items (if any),,,,,,,,,
signoff,Subcontractor representative (Full name),,,,,,,,,
checkpoint,7. CLIENT VERIFICATION,,,,,,,,,
textbox,Actions/Remedial Items (if any),,,,,,,,,
signoff,Verified by CLIENT representative (Full name),,,,,,,,,
,,,,,,,,,,
checklist,Jacobsens Vinyl Installation,,,,,,,,,
section,Details,,,,,,,,,
checkpoint,1. PRE-INSTALLATION CHECKLIST,,,,,,,,,
button,CLIENT Handover of Area,"YES, NO, N/A",,,,,,,,
button,Confirm materials delivered,"YES, NO, N/A",,,,,,,,
button,Gather Materials and Tools,"YES, NO, N/A",,,,,,,,
checkpoint,2. SURFACE PREPARATION,,,,,,,,,
button,Check Ambient Temperature 18 – 27 degrees using Wolff V1-D4 Moisture Meter,"PASS, FAIL, N/A",,,,,,,,
button,Check Area clear of all other trades and their materials,"YES, NO, N/A",,,,,,,,
button,"Surface is clean, dry, and free from dust and debris.","YES, NO, N/A",,,,,,,,
button,"Check slab for contaminants (paint, plaster etc) as per NZS-AS 1884:2013 2.1.1 B","YES, NO, N/A",,,,,,,,
button,Confirm 3mm tolerance in 3m or 0mm in 20cm in subfloor as per NZS-AS 1884:2013,"PASS, FAIL, N/A",,,,,,,,
button,Hold works to confirm preparation required,"YES, NO, N/A",,,,,,,,
button,After Grinding Check slab for Cracks as per NZS-AS 1884:2013,"YES, NO, N/A",,,,,,,,
button,"If cracks are present, do they require remediation as per NZS-AS 1884:2013 Section E2.2","YES, NO, N/A",,,,,,,,
button,"Assess, Discuss, Price, Confirm required works","PROCEED, NOT PROCEED, N/A",,,,,,,,
signoff,SIGNOFF,,,,,,,,,
checkpoint,3. PREPARE VINYL FOR INSTALLATION,,,,,,,,,
button,Store rolls upright in aclimatised area 24 hours prior to Use,"YES, NO, N/A",,,,,,,,
button,"Check and Confirm vinyl type, colour,coving height and grain direction","YES, NO, N/A",,,,,,,,
button,Check and measure area,"YES, NO, N/A",,,,,,,,
button,Follow direction on approved HCF vinyl cut plans,"YES, NO, N/A",,,,,,,,
button,Check Ambient Temperature 18 – 27 degrees ,"PASS, FAIL, N/A",,,,,,,,
button,Ensure the cuts are precise to fit the room dimensions,"YES, NO, N/A",,,,,,,,
button,Wet areas: ensure joins avoid shower floor area and minimise cross joins where possible as per NZS-AS 1884:2013 5.2.1.3 which is the governing standard for NZ,"YES, NO, N/A",,,,,,,,
checkpoint,4. VINYL INSTALLATION,,,,,,,,,
button,copper strip required for anti static vinyl,yes/no/na,,,,,,,,
button,capping strip. (State colour),aluminium or PVC,,,,,,,,
button,cove fillet required (state raduis used),"YES, NO, N/A",,,,,,,,
button,Applied Adhesive in line with Green Star Requirements,"YES, NO, N/A",,,,,,,,
button,Placed the vinyl onto the adhesive as per NZS-AS 1884:2013,"YES, NO, N/A",,,,,,,,
button,68kg roller at 15min intervals as per NZS-AS 1884:2013,"YES, NO, N/A",,,,,,,,
button,Perform butterfly method to internal and external mitres as per NZS-AS 1884:2013,"YES, NO, N/A",,,,,,,,
button,Pencil cove flooring to the specified height as per NZS-AS 1884:2013,"YES, NO, N/A",,,,,,,,
