Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Services Rough In (Federated),,,,,,,,,
,Scope,,,,,,,,
,Rows,,,,,,,,
,,Highbury Plumbing,grouping,Highbury Plumbing,,,,,
,,Cold Water - Level 1 - Zone 6,,Site QA,Rough In Water Services,Cold Water,Level 1,Zone 6,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Cold Water - Level 1 - Zone 9,,Site QA,Rough In Water Services,Cold Water,Level 1,Zone 9,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Cold Water - Level 1 - Zone 10,,Site QA,Rough In Water Services,Cold Water,Level 1,Zone 10,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Cold Water - Level 1 - Zone 11,,Site QA,Rough In Water Services,Cold Water,Level 1,Zone 11,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Cold Water - Level 2 - Zone 6,,Site QA,Rough In Water Services,Cold Water,Level 2,Zone 6,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Cold Water - Level 2 - Zone 9,,Site QA,Rough In Water Services,Cold Water,Level 2,Zone 9,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Cold Water - Level 2 - Zone 10,,Site QA,Rough In Water Services,Cold Water,Level 2,Zone 10,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Cold Water - Level 2 - Zone 11,,Site QA,Rough In Water Services,Cold Water,Level 2,Zone 11,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Hot Water - Level 1 - Zone 6,,Site QA,Rough In Water Services,Hot Water,Level 1,Zone 6,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Hot Water - Level 1 - Zone 9,,Site QA,Rough In Water Services,Hot Water,Level 1,Zone 9,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Hot Water - Level 1 - Zone 10,,Site QA,Rough In Water Services,Hot Water,Level 1,Zone 10,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Hot Water - Level 1 - Zone 11,,Site QA,Rough In Water Services,Hot Water,Level 1,Zone 11,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Hot Water - Level 2 - Zone 6,,Site QA,Rough In Water Services,Hot Water,Level 2,Zone 6,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Hot Water - Level 2 - Zone 9,,Site QA,Rough In Water Services,Hot Water,Level 2,Zone 9,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Hot Water - Level 2 - Zone 10,,Site QA,Rough In Water Services,Hot Water,Level 2,Zone 10,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Hot Water - Level 2 - Zone 11,,Site QA,Rough In Water Services,Hot Water,Level 2,Zone 11,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,Fredon,grouping,Fredon,,,,,
,,Level 1 - Zone 6,,Site QA,Light & Power Rough In,Level 1,Zone 6,Fredon VIC - Knox Redevelopment Stage 3 & 4,
