"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Viaduct Progress"
,"Scope",,,"site qa"
,"Rows"
,,"Whiteman Park","dynamic","whiteman park","site qa"
,"Columns"
,,"Pre-Pour Checklist",,"pre-pour checklist"
,,"Supervisor Release",,"supervisor release"
,,"Casting Checklist",,"casting checklist"
,,"Stripping Checklist",,"stripping checklist"
,,"Any Defect Identified",,"any defect identified"
,,"As-Built Drawings",,"as-built drawings"
,,"Concrete Strength Test Report",,"concrete strength test report"
,,"Transportation Requirements",,"transportation requirements"
,,"Final Acceptance",,"final acceptance"

