Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Viaduct Progress,,,,,
,Scope,,,Site QA,
,Rows,,,,
,,Site QA,grouping,Site QA,
,,Bayswater Viaduct Checklist,,Bayswater Viaduct Checklist,Site QA
,,Bayswater Top Slab (2nd Stage Casting),,Bayswater Top Slab (2nd Stage Casting),Site QA
,,"Whiteman Park	",dynamic,"Whiteman Park	",Site QA
,Columns,,,,
,,Pre-Pour Checklist,,Pre-Pour Checklist,
,,Supervisor Release,,Supervisor Release,
,,Casting Checklist,,Casting Checklist,
,,Stripping Checklist,,Stripping Checklist,
,,Any Defect Identified,,Any Defect Identified,
,,As-Built Drawings,,As-Built Drawings,
,,Concrete Strength Test Report,,Concrete Strength Test Report,
,,Transportation Requirements,,Transportation Requirements,
,,Final Acceptance,,Final Acceptance,
