"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d8e7b1fb-b4f1-4454-a556-22fd3f8450eb","","folder-normal","","","step","TRUE","FALSE","Site QA"
"b73585f3-6a5d-4801-b2d4-17b08f835ef7","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores"
"63480db9-bb30-4de3-8926-76a240b377b2","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower"
"593b99ee-69e1-4e00-b649-352b36ae0fbc","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Basement 3"
"32db8c9d-18bb-432b-8c16-b36f3c97b2d5","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 3","Pre Pour"
"480ad5f8-5106-433f-b927-a6f98db3c6b9","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 3","Formwork"
"a6e54897-bd52-4dcd-9ec1-36d0c2b12ed2","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Basement 2"
"a988ac69-fc4c-41da-900b-630976739fda","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 2","Pre Pour"
"ada1fdc0-9e4d-4aa9-8ad0-364bb78dc01f","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 2","Formwork"
"8f92cd3f-13d5-4491-a4b7-b45c980ee1f1","","checklist-flat","","Formwork Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 2","Formwork Handover"
"7b018411-016d-4ef9-80ba-db6f115c5d5b","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Basement 1"
"adb75895-62fd-4de0-a1f8-ec8fea01fe76","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 1","Pre Pour"
"e36b06b6-f7c1-41f0-928a-d9e005a44960","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 1","Formwork"
"e25f9fce-0e43-4356-bb7d-fc5bc84edc1c","","checklist-flat","","Formwork Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 1","Formwork Handover "
"3bb40863-6632-45f1-9ff5-ac98057c68ec","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Lower Ground"
"74ae6dd8-e7eb-4e07-b8cc-69393d2dd4f8","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Lower Ground","Pre Pour"
"22655a85-edc3-4eb0-a538-572d7230a96d","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Lower Ground","Formwork"
"85454908-3291-47be-a49c-c060e1f0e762","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 4 (LG-UG)"
"1b39c2ad-014c-455c-bb10-8067d7e14048","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 4 (LG-UG)","Jumpform Pre Climb"
"8ebb7835-3cbf-4781-a59f-1f939949a617","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 4 (LG-UG)","Jumpform Post Climb"
"cdf5bd7d-c0f2-42ea-a5f4-d9e610c567bd","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 4 (LG-UG)","Jumpform Formwork Handover"
"93e43645-26c4-4a62-8ee2-a69a67e61024","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 4 (UG-L1)"
"b96754ac-2f37-4d59-90f6-b09fc8ca4556","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 4 (UG-L1)","Jumpform Pre Climb"
"642d7670-9438-4281-85e4-c66a9b1600ae","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 4 (UG-L1)","Jumpform Post Climb"
"ec1109cf-1a0b-4fb7-b97e-4003f646131d","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 4 (UG-L1)","Jumpform Formwork Handover"
"9b56ceed-3373-49ad-824c-250431dbaea7","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 5 (UG-L1-L2)"
"b9147eeb-5d93-4488-9597-3b5234d1c72d","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 5 (UG-L1-L2)","Jumpform Pre Climb"
"6c796765-2783-4a6e-87cc-af406ff99c28","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 5 (UG-L1-L2)","Jumpform Post Climb"
"687fc402-5877-4317-b6bf-a7615a4e93b1","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 5 (UG-L1-L2)","Jumpform Formwork Handover"
"35ad1ea2-50b0-4038-8ac0-88010f6da31d","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 6 (L1-L2-L3)"
"16612f97-a414-467e-9d3d-90ed69f3e0c7","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 6 (L1-L2-L3)","Jumpform Pre Climb"
"ff920fd0-9bd1-41fd-95f7-d8c263554434","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 6 (L1-L2-L3)","Jumpform Post Climb"
"613d6c9d-49c1-4e1c-b0fa-5e38c1b524d7","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 6 (L1-L2-L3)","Jumpform Formwork Handover"
"c0d09c78-75a0-4a9d-8d04-5deb7458d24e","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 7 (L2-L3-L4)"
"9d8ddb6b-1321-46e0-afca-4df1fdcb0d61","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 7 (L2-L3-L4)","Jumpform Pre Climb"
"bd2b595f-bba1-453a-a484-0e1f848a70a2","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 7 (L2-L3-L4)","Jumpform Post Climb"
"32dde264-1798-4b93-ad05-6e5cf5cc139e","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 7 (L2-L3-L4)","Jumpform Formwork Handover"
"ce4ec13e-70c3-48a4-b8ba-b882a646521b","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 8 (L3-L4-L5)"
"221f7821-7103-44a4-8773-c2c51004924f","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 8 (L3-L4-L5)","Jumpform Pre Climb"
"7e6e6510-deb1-4312-ab35-742b16fe5343","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 8 (L3-L4-L5)","Jumpform Post Climb"
"7232e54e-73d2-4aac-bdfc-763a73a85f05","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 8 (L3-L4-L5)","Jumpform Formwork Handover"
"61e6a054-97dd-4ff1-8c93-0220bd79ce09","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 9 (L4--L5-L6)"
"ee814e95-e27e-4027-880b-898db861b709","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 9 (L4--L5-L6)","Jumpform Pre Climb"
