"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8105cfb6-9ad4-47cb-b980-57165c367f62","","folder-normal","","","step","TRUE","FALSE","Site QA"
"6109dfb9-4bf2-4dfc-b8e7-538c854e78da","","folder-normal","","","step","TRUE","FALSE","Site QA","Footings"
"13cef74d-fa48-47e3-b87f-d6332fb465ff","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF01"
"c04f7cb3-03f8-48aa-ae96-e1c1208df5b4","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF02"
"885bd0b5-56da-42d1-bc4d-08e0929e0df0","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF03"
"740d573b-1249-4b00-aaed-62431b959681","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF04"
"0db4d567-309b-4c18-8ec7-8540233614d4","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF05"
"bb03aca3-6469-43d1-9246-5f577d24e918","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF06"
"dbcc7171-12a3-4143-90e2-3187b012038a","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF07"
"dd62d7ce-fa31-4187-a3a4-be6a10a972f2","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF08"
"aa4fab88-123b-4c32-8942-4f14b93c1d5d","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF09"
"abf416a1-fa6d-4703-a830-e890c25826b4","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF10"
"6ed949c2-ca80-4ba8-84dd-ef0334752f9b","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF11"
"cfd43620-2f5f-49ab-94b5-8b12e8f77a4a","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF12"
"8cb6f1af-88d3-4f83-b46d-f511079700ef","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF13"
"f8b491c1-6b2c-4bdd-9d0a-7038177c86ef","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF14"
"c9fd001d-b189-45ae-a0b1-4644f9dff450","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF15"
"b0510877-a547-4440-b13a-d1ed47bbe1d8","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF16"
"ecbe67e0-3fdf-458d-8052-b305c843154f","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF17"
"343268d1-cc5b-4500-be1f-eab6cf324c8f","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF18"
"af965008-6a4b-4d7a-bfe9-2314906fd024","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF19"
"443c3092-29e3-468f-9395-14d172f70f26","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF20"
"2cc71365-d1fa-4c97-9293-e85c8264325c","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF21"
"4e55eee8-5d37-4008-bcbc-c69a802f2329","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF22"
"e9e113fe-57f2-4512-bbe8-c00d0ec7add3","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF23"
"40c32e5c-4787-451f-8ea6-f215e767b1b4","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF24"
"3809a75d-829b-4d64-8c82-fd80e1a48efd","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF25"
"caae2faa-3813-4234-8822-d88b4fb143fc","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF26"
"896df347-07e4-4ed9-bb3d-7ecf82474cdb","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF27"
"c65522da-ace6-4837-b0d3-3d472b6fec4f","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF28"
"f4593109-3400-45df-8d4c-59aff5f8edda","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF29"
"9836df1a-088b-4bce-94d7-a0a65f41c045","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF30"
"61b23eb3-7892-47c3-abe1-4641091bf40d","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF31"
"9b960549-a4e6-4476-85d2-5cd1b9ce699d","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF32"
"2ed69f90-7a51-4196-a428-8d1c9895ffa1","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF33"
