type,name,values,prefix,postfix,usage count,user addable,template name
checklist,3 Phase Subcircuit,,,,,,Testing & Commissioning - 3 Phase Subcircuit
section,Pre-requisite Works,,,,,,
checkpoint,Insulation Damage,,,,,,
checkpoint,Correct Type of Termination,,,,,,
checkpoint,Correct Colour Code,,,,,,
checkpoint,Correct Outlet Rating and Size,,,,,,
signoff,Checked By (Heyday):,,,,,,
checkpoint,Earth Continuity,,,,,,
textbox,Resistance (Ω),,,,,,
textbox,Target Resistance (Ω),,,,,,
signoff,Checked By (Heyday):,,,,,,
checkpoint,Polarity Check,,,,,,
button,No Transposition,"YES,NO",,,,,
button,Switch in Active,"YES,NO",,,,,
signoff,Checked By (Heyday):,,,,,,
section,Insulation Resistance,,,,,,
checkpoint,R-W,,,,,,
button,Insulation Resistance shall not be less than 1MΩ (Tested at 250VDC/500VDC),">200MΩ,>500MΩ,N/A",,,,,
textbox,Actual Reading if <200MΩ/<500MΩ,,,,,,
checkpoint,R-B,,,,,,
button,Insulation Resistance shall not be less than 1MΩ (Tested at 250VDC/500VDC),">200MΩ,>500MΩ,N/A",,,,,
textbox,Actual Reading if <200MΩ/<500MΩ,,,,,,
checkpoint,W-B,,,,,,
button,Insulation Resistance shall not be less than 1MΩ (Tested at 250VDC/500VDC),">200MΩ,>500MΩ,N/A",,,,,
textbox,Actual Reading if <200MΩ/<500MΩ,,,,,,
checkpoint,R-N,,,,,,
button,Insulation Resistance shall not be less than 1MΩ (Tested at 250VDC/500VDC),">200MΩ,>500MΩ,N/A",,,,,
textbox,Actual Reading if <200MΩ/<500MΩ,,,,,,
checkpoint,W-N,,,,,,
button,Insulation Resistance shall not be less than 1MΩ (Tested at 250VDC/500VDC),">200MΩ,>500MΩ,N/A",,,,,
textbox,Actual Reading if <200MΩ/<500MΩ,,,,,,
checkpoint,B-N,,,,,,
button,Insulation Resistance shall not be less than 1MΩ (Tested at 250VDC/500VDC),">200MΩ,>500MΩ,N/A",,,,,
textbox,Actual Reading if <200MΩ/<500MΩ,,,,,,
checkpoint,R-E,,,,,,
button,Insulation Resistance shall not be less than 1MΩ (Tested at 250VDC/500VDC),">200MΩ,>500MΩ,N/A",,,,,
textbox,Actual Reading if <200MΩ/<500MΩ,,,,,,
checkpoint,W-E,,,,,,
