Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,,,,,,
Overall Progress,,,,,,,,,,,,,,,,,,
,Scope,,,Site QA,,,,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,,,,
,,Site QA,dynamic,Site QA,,,,,,,,,,,,,,
,Columns,,,,,,,,,,,,,,,,,
,,Lift Over Run,,Lift Over Run,,,,,,,,,,,,,,
,,SOG Edge Boards,,SOG Edge Boards,,,,,,,,,,,,,,
,,Columns,,Columns,,,,,,,,,,,,,,
,,Walls,,Walls,,,,,,,,,,,,,,
,,System,,System,,,,,,,,,,,,,,
,,Slab,,Slab,,,,,,,,,,,,,,
,,Stairs,,Stairs,,,,,,,,,,,,,,
,,Screens,,Screens,,,,,,,,,,,,,,
,,Hoist,,Hoist,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Variations / Site Instructions,,,,,,,,,,,,,,,,,,
,Scope,,,Variations / SI,,,,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,,,,
,,Aug-24,dynamic,Aug-24,Variations / SI,,,,,,,,,,,,,
,,Sep-24,dynamic,Sep-24,Variations / SI,,,,,,,,,,,,,
,,Oct-24,dynamic,Oct-24,Variations / SI,,,,,,,,,,,,,
,,Nov-24,dynamic,Nov-24,Variations / SI,,,,,,,,,,,,,
,,Dec-24,dynamic,Dec-24,Variations / SI,,,,,,,,,,,,,
,,Jan-25,dynamic,Jan-25,Variations / SI,,,,,,,,,,,,,
,,Feb-25,dynamic,Feb-25,Variations / SI,,,,,,,,,,,,,
,,Mar-25,dynamic,Mar-25,Variations / SI,,,,,,,,,,,,,
,,Apr-25,dynamic,Apr-25,Variations / SI,,,,,,,,,,,,,
,,May-25,dynamic,May-25,Variations / SI,,,,,,,,,,,,,
,,Jun-25,dynamic,Jun-25,Variations / SI,,,,,,,,,,,,,
,,Jul-25,dynamic,Jul-25,Variations / SI,,,,,,,,,,,,,
,,Aug-25,dynamic,Aug-25,Variations / SI,,,,,,,,,,,,,
,,Sep-25,dynamic,Sep-25,Variations / SI,,,,,,,,,,,,,
,,Oct-25,dynamic,Oct-25,Variations / SI,,,,,,,,,,,,,
,,Nov-25,dynamic,Nov-25,Variations / SI,,,,,,,,,,,,,
,,Dec-25,dynamic,Dec-25,Variations / SI,,,,,,,,,,,,,
,,Jan-26,dynamic,Jan-26,Variations / SI,,,,,,,,,,,,,
,,Feb-26,dynamic,Feb-26,Variations / SI,,,,,,,,,,,,,
,,Mar-26,dynamic,Mar-26,Variations / SI,,,,,,,,,,,,,
,,Apr-26,dynamic,Apr-26,Variations / SI,,,,,,,,,,,,,
,,May-26,dynamic,May-26,Variations / SI,,,,,,,,,,,,,
,,Jun-26,dynamic,Jun-26,Variations / SI,,,,,,,,,,,,,
,,Jul-26,dynamic,Jul-26,Variations / SI,,,,,,,,,,,,,
,,Aug-26,dynamic,Aug-26,Variations / SI,,,,,,,,,,,,,
,,Sep-26,dynamic,Sep-26,Variations / SI,,,,,,,,,,,,,
,,Oct-26,dynamic,Oct-26,Variations / SI,,,,,,,,,,,,,
,,Nov-26,dynamic,Nov-26,Variations / SI,,,,,,,,,,,,,
,,Dec-26,dynamic,Dec-26,Variations / SI,,,,,,,,,,,,,
,Columns,,,,,,,,,,,,,,,,,
,,Variation / SI Details Entered,,Variation / SI Details Entered,,,,,,,,,,,,,,
,,Work type:,Work type:,Variation / SI Details Entered,,,,,,,,,,,,,,
,,Attention:,Attention:,Variation / SI Details Entered,,,,,,,,,,,,,,
,,Area/Location,Area/Location,Variation / SI Details Entered,,,,,,,,,,,,,,
,,Date,Date,Variation / SI Details Entered,,,,,,,,,,,,,,
,,Scope of work,Scope of work,Variation / SI Details Entered,,,,,,,,,,,,,,
,,Normal Hours,Normal Hours,Variation / SI Details Entered,,,,,,,,,,,,,,
,,Overtime Hours ,Overtime Hours ,Variation / SI Details Entered,,,,,,,,,,,,,,
,,Material to complete task,Material to complete task,Variation / SI Details Entered,,,,,,,,,,,,,,
,,Reference/SI Number Entered,checkpoint,Reference/SI Number Entered,,,,,,,,,,,,,,
,,Reference/SI Number,Reference/SI Number,,,,,,,,,,,,,,,
,,Variation / SI Work Completed,,Variation / SI Work Completed,,,,,,,,,,,,,,
,,Values added (Office use only),,Values added (Office use only),,,,,,,,,,,,,,
,,Labour Value,Labour Value,Values added (Office use only),,,,,,,,,,,,,,
,,Material Value ,Material Value ,Values added (Office use only),,,,,,,,,,,,,,
,,Measured Items,Measured Items,Values added (Office use only),,,,,,,,,,,,,,
,,Total Variation Value,Total Variation Value,Values added (Office use only),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
