resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,step,,,Site QA,,,,,,,,
,,,,,,,step,,,,SOG B-2,,,,,,,
Walls Checklist ,,,,,,,checklist,,,,,Lift Over Run,,,,,,
S.O.G Checklist,,,,,,,checklist,,,,,SOG Edge Boards,,,,,,
,,,,,,,step,,,,Basement 2,,,,,,,
Columns Checklist ,,,,,,,checklist,,,,,Columns,,,,,,
Walls Checklist ,,,,,,,checklist,,,,,Walls,,,,,,
Jump System / Climb Track Checklist,,,,,,,checklist,,,,,System,,,,,,
,,,,,,,step,,,,Basement 1,,,,,,,
Columns Checklist ,,,,,,,checklist,,,,,Columns,,,,,,
Walls Checklist ,,,,,,,checklist,,,,,Walls,,,,,,
Jump System / Climb Track Checklist,,,,,,,checklist,,,,,System,,,,,,
Suspended Slab Checklist ,,,,,,,checklist,,,,,Slab,,,,,,
Stairs Checklist ,,,,,,,checklist,,,,,Stairs,,,,,,
,,,,,,,step,,,,Ground,,,,,,,
Columns Checklist ,,,,,,,checklist,,,,,Columns,,,,,,
Walls Checklist ,,,,,,,checklist,,,,,Walls,,,,,,
Jump System / Climb Track Checklist,,,,,,,checklist,,,,,System,,,,,,
Suspended Slab Checklist ,,,,,,,checklist,,,,,Slab,,,,,,
Stairs Checklist ,,,,,,,checklist,,,,,Stairs,,,,,,
,,,,,,,step,,,,Mezz Level,,,,,,,
Columns Checklist ,,,,,,,checklist,,,,,Columns,,,,,,
Walls Checklist ,,,,,,,checklist,,,,,Walls,,,,,,
Jump System / Climb Track Checklist,,,,,,,checklist,,,,,System,,,,,,
Suspended Slab Checklist ,,,,,,,checklist,,,,,Slab,,,,,,
Stairs Checklist ,,,,,,,checklist,,,,,Stairs,,,,,,
,,,,,,,step,,,,Level 1,,,,,,,
Columns Checklist ,,,,,,,checklist,,,,,Columns,,,,,,
Walls Checklist ,,,,,,,checklist,,,,,Walls,,,,,,
Jump System / Climb Track Checklist,,,,,,,checklist,,,,,System,,,,,,
Suspended Slab Checklist ,,,,,,,checklist,,,,,Slab,,,,,,
Stairs Checklist ,,,,,,,checklist,,,,,Stairs,,,,,,
,,,,,,,step,,,,Level 2,,,,,,,
Columns Checklist ,,,,,,,checklist,,,,,Columns,,,,,,
Walls Checklist ,,,,,,,checklist,,,,,Walls,,,,,,
Jump System / Climb Track Checklist,,,,,,,checklist,,,,,System,,,,,,
Suspended Slab Checklist ,,,,,,,checklist,,,,,Slab,,,,,,
Stairs Checklist ,,,,,,,checklist,,,,,Stairs,,,,,,
Columns Checklist ,Walls Checklist ,Jump System / Climb Track Checklist,Suspended Slab Checklist ,Stairs Checklist ,Screens,Hoist,folder-with-checklists,,,,Level 3,,,,,,,
Columns Checklist ,Walls Checklist ,Jump System / Climb Track Checklist,Suspended Slab Checklist ,Stairs Checklist ,Screens,Hoist,folder-with-checklists,,,,Level 4,,,,,,,
Columns Checklist ,Walls Checklist ,Jump System / Climb Track Checklist,Suspended Slab Checklist ,Stairs Checklist ,Screens,Hoist,folder-with-checklists,,,,Level 5,,,,,,,
Columns Checklist ,Walls Checklist ,Jump System / Climb Track Checklist,Suspended Slab Checklist ,Stairs Checklist ,Screens,Hoist,folder-with-checklists,,,,Level 6,,,,,,,
Columns Checklist ,Walls Checklist ,Jump System / Climb Track Checklist,Suspended Slab Checklist ,Stairs Checklist ,Screens,Hoist,folder-with-checklists,,,,Level 7,,,,,,,
Columns Checklist ,Walls Checklist ,Jump System / Climb Track Checklist,Suspended Slab Checklist ,Stairs Checklist ,Screens,Hoist,folder-with-checklists,,,,Level 8,,,,,,,
Columns Checklist ,Walls Checklist ,Jump System / Climb Track Checklist,Suspended Slab Checklist ,Stairs Checklist ,Screens,Hoist,folder-with-checklists,,,,Level 9,,,,,,,
Columns Checklist ,Walls Checklist ,Jump System / Climb Track Checklist,Suspended Slab Checklist ,Stairs Checklist ,Screens,Hoist,folder-with-checklists,,,,Level 10,,,,,,,
Columns Checklist ,Walls Checklist ,Jump System / Climb Track Checklist,Suspended Slab Checklist ,Stairs Checklist ,Screens,Hoist,folder-with-checklists,,,,Level 11,,,,,,,
Columns Checklist ,Walls Checklist ,Jump System / Climb Track Checklist,Suspended Slab Checklist ,Stairs Checklist ,Screens,Hoist,folder-with-checklists,,,,Level 12,,,,,,,
