type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,
checklist,ITP-309-STR-FRMS-Steel Structures Installation,itp,,,,,ITP-309-STR-FRMS-Steel Structures Installation Rev 0,,,,,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-value,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-309-STR-FRMS-Steel Structures Installation,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: Steel Structures Installation,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): STR,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 3/09/2025,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Jaidyn Kempster,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,,,,
label,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - VR Section 610 Feburary 2020,,,,,,,,,,,,,,,,,,,,,,
label,○ VR Section 630 January 2022,,,,,,,,,,,,,,,,,,,,,,
label,○ VR Section 631 June 2017,,,,,,,,,,,,,,,,,,,,,,
label,"○ IFC Drawings AS 1252.1, AS 1110.1 , AS 1110.2, AS 1112.1, AS 4100, AS/NZS 5131",,,,,,,,,,,,,,,,,,,,,,
section,2. Preliminaries - Materials,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Steel Material Compliance,,,,,,,,,,,,,,,,,,,,,,
label,Reference - Section 630.071 IFC Drawing,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Steel should demonstrating compliance to the relevant steel product standards listed in Table 630.071, including all impact test values when appropriate.",,,,,,,,,,,,,,,,,,,,,,
label,○ The test certificates shall be related to the steel by trademarks and heat number.,,,,,,,,,,,,,,,,,,,,,,
label,○ Collate: Steel manufacturer’s Certificate of Product Compliance and all related test certificates and upload in a TeamBinder Lot,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each product, prior to placement of product",,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Conqa HP Release,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Fasteners,,,,,,,,,,,,,,,,,,,,,,
label,Reference - Section 630.21 IFC Drawing ,,,,,,,,,,,,,,,,,,,,,,
label,○ AS 1252.1,,,,,,,,,,,,,,,,,,,,,,
label,○ AS 1110.1,,,,,,,,,,,,,,,,,,,,,,
label,○ AS 1110.2 ,,,,,,,,,,,,,,,,,,,,,,
label,○ AS 1112.1,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Bolts, nuts and washers for Property Class 4.6 bolting shall be supplied in accordance with AS 1252.1, AS 1110.1, AS 1110.2 and AS 1112.1",,,,,,,,,,,,,,,,,,,,,,
label,○ Collate: Bolt manufacturer's Certificate of Product Comliance and related documentation and upload in a TeamBinder Lot.,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document review,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each component,,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Conqa HP Release,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.3 - Base Plate Structural Grout or Mortar,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings Section 610.33,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Product to be selected based on the following criteria:,,,,,,,,,,,,,,,,,,,,,,
label, i. Shall be self shrinkage compensating proprietary products with a consistancy appropriate for required use as per 610.33,,,,,,,,,,,,,,,,,,,,,,
label," ii. Must have a minimum of 28 days compressive strength, of not less than 50MPa as per IFC drawings.",,,,,,,,,,,,,,,,,,,,,,
label, iii. Cementeous grouts shall be as a minimum Type C Class dual shrinkage compensating as per 610.33,,,,,,,,,,,,,,,,,,,,,,
label, iv. the surface preparation matches the concrete surface underneath the post base-plate as per the IFC drawings,,,,,,,,,,,,,,,,,,,,,,
label, v. have the characteristics capable of being applied to the minimum and maximum thickness as noted on the IFC drawings,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each product, prior to placement of product",,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Conqa HP Release,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.4 - Surface Finishes,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings Section 631.05,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - At least 14 days prior to commencing the protective treatment of steelwork, the Contractor shall submit to the Superintendent for review the information outline in section 631.05, for all proposed coating system",,,,,,,,,,,,,,,,,,,,,,
label,"(a) coating system, including hot-dip galvanizing if specified on the drawings. If hot-dip galvanizing is the only coating required, no further information is required to be submitted;",,,,,,,,,,,,,,,,,,,,,,
label,(b) type of coatings;,,,,,,,,,,,,,,,,,,,,,,
label,(c) name of paint manufacturer;,,,,,,,,,,,,,,,,,,,,,,
label,(d) product names of paints;,,,,,,,,,,,,,,,,,,,,,,
label,(e) technical data sheets and Material Safety Data Sheets (MSDS) for all paints;,,,,,,,,,,,,,,,,,,,,,,
label,(f) documentary evidence from the manufacturer certifying compliance of paints with relevant specifications;,,,,,,,,,,,,,,,,,,,,,,
label,(g) details of work to be carried out by shop treatment and those to be carried out by field treatment;,,,,,,,,,,,,,,,,,,,,,,
label,"(h) for field works, details of work methods, containment processes and environment controls;",,,,,,,,,,,,,,,,,,,,,,
label,(i) details of solvent cleaning solution and soluble salt removal procedures;,,,,,,,,,,,,,,,,,,,,,,
label,(j) abrasive to be used for abrasive blast cleaning;,,,,,,,,,,,,,,,,,,,,,,
label,(k) analysis certificate for non-metallic abrasives; and,,,,,,,,,,,,,,,,,,,,,,
label,"(l) paint application conditions, including but not limited to -",,,,,,,,,,,,,,,,,,,,,,
label," — (i) the maximum and minimum ambient temperature,",,,,,,,,,,,,,,,,,,,,,,
label," — (ii) the maximum and minimum temperature of surfaces to be painted,",,,,,,,,,,,,,,,,,,,,,,
label," — (iii) maximum and minimum (if applicable) relative humidity,",,,,,,,,,,,,,,,,,,,,,,
label," — (iv) minimum difference between temperature of surface to be painted and the dew point, and",,,,,,,,,,,,,,,,,,,,,,
label, — (v) minimum and/or maximum time between application of successive coats.,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each product, prior to placement of product",,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Conqa HP Release,,,,,,,,,,,,,,,,,,,,,,
