"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"17204dd9-c270-45f9-a03e-b03a778e2ea5","","folder-normal","pass","","step","TRUE","FALSE","Stage 401"
"f7f02d53-3fe7-4c91-ab1b-0daadfa6067d","","folder-normal","pass","","step","TRUE","FALSE","Stage 401","June 2022"
"3bd976ff-7327-43b6-bd0f-5f3c54ab1818","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 401","June 2022","Site Visit Report - Ramps for B02"
"1ebd30f4-6388-4d95-944e-d1615fc6be25","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 401","June 2022","Site Visit Report - insitu walls to ramp"
"c90bb780-8d89-417f-a784-80688c445ee2","","folder-normal","pass","","step","TRUE","FALSE","Stage 401","July 2022"
"33a3d102-9c88-4037-832a-625627941946","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 401","July 2022","Site Visit Report - Tunnel Ramp foundation "
"045639f2-cb2c-4621-b76a-5de999360e6c","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 401","July 2022","Site Visit Report - Tunnel slab"
"a8036b26-5e80-4de0-8df5-df6a9afc5425","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 401","July 2022","Site Visit Report - tunnel retaining "
"c0868eb7-a6ec-43f7-9267-8df465355e0f","","folder-normal","pass","","step","TRUE","FALSE","Stage 401","August 2022"
"b7b420f0-d45f-4ea1-817f-ce6f2f02d809","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 401","August 2022","Site Visit Report - tunnel retaining wall "
"4d673d65-f8f4-4785-ae8f-456ab60c9f8f","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 401","August 2022","Site Visit Report - fire keosk "
"88f0bbb6-f521-4bd8-9231-85f21f6af05c","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 401","August 2022","Site Visit Report - Fence inspection "
"dacc4a58-cd07-4304-8798-89a1b42b6eb0","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 401","August 2022","Site Visit Report - brick retaining wall to tunnel "
"ed5a3f75-42ad-4097-88b9-c182f6a2cc46","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 401","August 2022","Site Visit Report - block retaining wall to tunnel "
"31e2b061-6ee2-4828-85b7-97b04c57c969","","folder-normal","pass","","step","TRUE","FALSE","Stage 401","September 2022"
"6c191d26-9820-4fcf-bb32-c1b610fe290d","","checklist-sectioned","pass","I - C - MV Consultant Site Visit Report","checklist","FALSE","FALSE","Stage 401","September 2022","MV Site Visit Report - B02 tunnel top slab "
"f424094f-4458-40d9-beba-ddf73724d5bd","","checklist-sectioned","pass","I - C - MV Consultant Site Visit Report","checklist","FALSE","FALSE","Stage 401","September 2022","MV Site Visit Report - ramp slab"
"33d87894-f498-431d-8824-66184d314b94","","checklist-sectioned","pass","I - C - MV Consultant Site Visit Report","checklist","FALSE","FALSE","Stage 401","September 2022","MV Site Visit Report - tunnel crash barrier "
"0d6c0d6d-5b3e-48d9-8ce0-1e2369e66fee","","folder-normal","fail","","step","TRUE","FALSE","Stage 1 - B01"
"bb3b40ca-bc08-4de2-b603-5efca86dc533","","folder-progress","pass","","checklist","TRUE","FALSE","Stage 1 - B01","September 2021"
