Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress,,,,,,
,Scope,,,Quality,,
,Rows,,,,,
,,Lower Level Vents - SP2a Installation,dynamic,SP2a Installation,Lower Level Vents,Quality
,,Lower Level Vents - SP2b Installation,dynamic,SP2b Installation,Lower Level Vents,Quality
,,Lower Level Vents - SP2c Installation,dynamic,SP2c Installation,Lower Level Vents,Quality
,,Level 1,dynamic,Level 1,Quality,
,,Level 2,dynamic,Level 2,Quality,
,Columns,,,,,
,,Curtain Wall External Checklist,,Curtain Wall External Checklist,,
,,Curtain Wall Internal Checklist,,Curtain Wall Internal Checklist,,
,,Fins,,Fins,,
,,Glass,,Glass,,
,,Wight Aluminium Sign Off,,Wight Aluminium Sign Off,,
,,Hawkins Sign Off,,Hawkins Sign Off,,
