"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"32dd5aa5-4efc-467c-9954-cbe9e1746993","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure"
"24c0ff89-1837-475f-883b-64d2b1d2ef70","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure","Level 1"
"17ff1078-0546-47c0-b6ae-d267062d4fc7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure","Level 1","Structure"
"6c3e80c3-565b-4593-991c-dd6a99801fc7","Child Component(a2cc7f90-222d-41e8-8547-29ba63091be9) -- Component Specified(615f4ec9-6a4b-44ef-b296-ca84a0f15886): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checklist-sectioned","pass","Structure/Concrete Checklist ","checklist","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB"
"a2cc7f90-222d-41e8-8547-29ba63091be9","Child Component Specified(615f4ec9-6a4b-44ef-b296-ca84a0f15886): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Component"
"615f4ec9-6a4b-44ef-b296-ca84a0f15886","DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Component","Component Specified"
"0f9f1419-e3d1-4c2f-accc-a739ec69885e","","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Drawing & Instruction 								"
"06ce3b6f-1a12-49f0-9a95-8613e8af39dc","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Drawing & Instruction 								","Drawing References"
"14bfab7b-f9fe-4d5f-84c5-508ec081e74e","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Setting Out/ Formworks"
"184cc47a-fd47-493a-9b58-51c8d8b5d037","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Setting Out/ Formworks","Survey mark"
"cffb3de0-4f60-4c51-9f4d-61f43d01d313","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Setting Out/ Formworks","Grids & Offsets"
"6d9f6ee4-834a-4b82-8988-13588618ae0e","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Setting Out/ Formworks","Datums"
"c2d4f04a-3d8e-43a6-89aa-c6a05f95f579","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Setting Out/ Formworks","Dimensions"
"ba441a57-6acc-427f-84ee-c4cf1c5020eb","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Setting Out/ Formworks","Bracing"
"5e639164-fbba-4453-8839-0e63091dedf6","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Setting Out/ Formworks","Rebates and Inserts/Penetrations"
