"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"99a1db00-728e-4f09-be38-395caf8f966f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"5690c4ae-ad34-4f36-8b0c-f84cd883d634","","folder-normal","pass","","step","TRUE","FALSE","Site QA","ITP-001 - Sediment Control"
"2c9f3401-02e2-4d3d-a8db-60cf8cb7ce60","","checklist-sectioned","pass","0b82de3d42fcb329e4f44fba6423241847a17a64a1404f01d3d03593ad5f078c","checklist","FALSE","FALSE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01"
"4892043d-d507-5fd2-bdd7-40a180302683","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","Lot Conformance."
"709e37ec-cebb-5ce1-ace8-2c1c189196d8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","Lot Conformance.","Lot Conformance"
"4927c896-a80f-5904-baab-778396611269","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","Lot Conformance.","AUTHORITY HOLDPOINT"
"941effa1-f927-53ad-847c-7e4abbcd9278","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","1.0 Pre-start activities"
"21879b4b-2c5b-5a4c-a81b-fa59c09004c4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","1.0 Pre-start activities","1.1 - Safety"
"48468d06-e646-5c46-9fca-8f5bfcf5a5db","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","1.0 Pre-start activities","1.2 - Excavation Permit"
"56d886be-3a1d-57f0-8455-6e363da2ebc8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","1.0 Pre-start activities","1.3 - Check Survey Set-out"
"71c46c1c-57ee-5ebe-8588-3518ac4c7f62","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","1.0 Pre-start activities","1.4 - Material Specifications Checked and Conforming"
"159c7f27-b093-598d-a6e5-b5505b06dd21","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","1.0 Pre-start activities","AUTHORITY HOLDPOINT"
"23a4df5d-d0f9-5244-b12c-dcfe9d9d4a47","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","2.0 Install works"
"6c776d0e-8c59-5659-b5d4-d81914756dd1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","2.0 Install works","2.1 - Sediment Fence Install"
"3f94dae2-0375-511b-92be-c3744306c96a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","2.0 Install works","2.2 - Temporary swale & earth bund construction"
"a8f774ca-2f61-5b16-8953-e449f7b52708","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","3.0 Conformance check"
