"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2b13dfcd-a5f6-4a3d-93f6-18ef136f1f75","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"86c32221-5fc0-449b-8c9f-d80c41005b1f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade"
"3ab1d453-b23f-4d0a-bfe3-694fe0d83990","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","02.01 - Traffic Management"
"40869308-e268-4314-a10b-f5b1ca1a114b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","03.09 - Removal of Existing Drainage Structures and Concrete Slabs"
"ec5aee8b-666b-4925-b280-8f5e5cb7f1f8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","03.10 - Supply and Installation of Precast Concrete Culverts"
"76843b65-affc-4eaa-bae9-51a907f97424","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","03.11 - Installation of Culvert Components and Structures - Precast or In-Situ"
"c9abeeb0-d167-46e1-b29a-c7cf8e9d19d0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","03.22 - Subsoil Drainage"
"90b30a49-d003-4c7d-a0cd-d9798161ad79","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","03.35 - Rock Protection"
"94d665ac-1cf6-43a0-a2ea-0bef2a459954","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","04.07 - Clear and Grub"
"88c6b080-d82a-440b-9cf6-0e7006dae4bf","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","04.09 - Unsuitable Material"
"dcf44961-48b7-45ec-9080-34acf2e04950","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","04.12 - Ground Surface Treatment"
"9813ae1c-30bc-4fce-99b4-319aea5c3edb","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","04.13 - General Excavation"
"bf3454e1-b32a-4ce1-a87d-d9c7137c4b0e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","04.14 - Embankment"
"83efba22-8378-40e6-95bf-fc9f22b409c3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd and Compton Rd intersection upgrade","04.181 - Subgrade Level"
