"Type","Id","Name","Values","Prompting Name","Usage Count","Resource Id"
"checklist-flat","b1832b7a-a98e-4f92-936f-06626789fef8","Communications - Copper","","Copper",10984,"0176caef-a43d-43f3-bf54-03e088f36bd7"
"checkpoint","76c3fe8f-3ddc-4a5e-a05c-ba977ab9a969","Cabling is not susceptible to mechanical damage.",,,,
"checkpoint","e18f9918-2b47-40e2-91f9-5482c3f7b9ec","Cable is dressed on the cable pathways with velcro.",,,,
"checkpoint","eee317b7-8f5b-4eb2-883e-61d2e1a00f59","Apply a plastic wrap printed label to each end of the cable.",,,,
"checkpoint","2f3a1f84-388b-47df-90de-dde96ff660f7","Cable is terminated into a faceplate or surface mount block.",,,,
"checkpoint","78caadc4-7dd4-4b82-a55a-b5670488ad92","Cable is terminated into the correct patch panel reflected in the communication cabinet elevations.",,,,
"checkpoint","fe7c9542-22b6-49bb-8910-c5e9721757f7","The patch panel, faceplate/surface mount block are labelled correctly with a traffolyte.",,,,
"signoff","dfbecaf3-200a-4be9-8412-b04a17a436d1","Checked By (Heyday/MDE):",,,,

"checklist","443eca7d-a2e8-4c87-9677-f00b0242b663","Quality - Light Pole Installation","","Quality - Light Pole Installation",356,"058f6044-0f4a-44d5-a885-34b0cae80327"
"section","b332fb7b-427d-414c-b5cb-8e86f4847882","Details",,,,
"checkpoint","ab2d546b-f890-4fc1-81ae-7bc52acf70ba","Receipt of Pole Lights to site & storage. (ITP Reference Item 1)",,,,
"checkpoint","1f8e819f-a4c7-406e-825d-37a9e6f5c53a","Select correct Pole Light Type for location. (ITP Reference Item 2) HOLD POINT",,,,
"checkpoint","d7ce0c2f-d79b-4f14-817d-8498cb0cc100","Install to the location as per Heyday IFC Drawings (ITP Reference Item 3)",,,,
"checkpoint","0e2a6517-9ab1-4b35-85b0-3ce2f0bd3a56","Connection to footing and levelling (ITP Reference Item 4)",,,,
"checkpoint","2370bfe8-a969-4806-8e87-158d373a1720","Base Plate Grouting (ITP Reference Item 5)",,,,
"checkpoint","767d3422-cd9a-4ace-abe0-d8e0cf04d7e7","Termination of Light Pole (ITP Reference Item 6)",,,,
"checkpoint","e3fca214-7759-443c-952c-8c2daf00b1b9","Photo evidence captured of Light Pole Installation. (ITP Reference Item 7)",,,,
"signoff","eb807203-b6aa-40ce-bc9c-3a9203c55658","Signoff Required from Heyday & Multiplex",,,,

"checklist-flat","2e96ad2c-caef-477a-9068-962baf335263","Testing & Commissioning - Solar Photovoltaic System (Pre-energisation)","","Solar Photovoltaic System (Pre-energisation)",6,"0ccafb5a-50da-4553-931d-f97ae3ee8dd4"
