type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,
checklist,Insulation,,,,,,Insulation Checklist - Library Roof,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Insulation: 130mm glasswool on medium sarking,,,,,,,,,,,,
checkpoint,Thermal spacer: 110mm spacer,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Insulation to entire roof area,,,,,,,,,,,,
checkpoint,Correctly lapped and joined,,,,,,,,,,,,
checkpoint,No over hang into gutters,,,,,,,,,,,,
checkpoint,Manufacturers recommendations.,,,,,,,,,,,,
checkpoint,Thermal Spacer Located correctly,,,,,,,,,,,,
checkpoint,insulation below box gutter lapped at joins,,,,,,,,,,,,
checkpoint,insulation cut back at sumps,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition with no tears,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Roof Installation,,,,,,Roof Installation Checklist - Library Roof,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Roof Sheets: 0.48mm Kliplok Shale Grey,,,,,,,,,,,,
checkpoint,Coating Type: Standard Colorbond,,,,,,,,,,,,
checkpoint,Safety Mesh: Galvanised 2mm x 150mm x 300mm,,,,,,,,,,,,
checkpoint,Roof Clip: Galavanised ,,,,,,,,,,,,
checkpoint,Roof Screws: Class 3 without Neo Seal,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Safety Mesh Installed,,,,,,,,,,,,
checkpoint,Insulation installed,,,,,,,,,,,,
checkpoint,Roof clips installed,,,,,,,,,,,,
checkpoint,Roof installed with adequate fall to meet roof profile,,,,,,,,,,,,
checkpoint,Roof installed straight and perpendicular to Roof purlins,,,,,,,,,,,,
checkpoint,Roof has adequate overhang into box gutter / spouting,,,,,,,,,,,,
checkpoint,Roof sheet turned up at high end of roof,,,,,,,,,,,,
checkpoint,Roof sheet turned down at gutter end of roof,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Flashing / Capping,,,,,,Flashing/Capping Installation Checklist,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,,,,
checkpoint,Capping Material 0.61mm Colorbond to match,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Flashings / Cappings: Straight and in correct plane.,,,,,,,,,,,,
checkpoint,Fixed adequately to hold flashing in place and prevent vibration in strong winds.,,,,,,,,,,,,
checkpoint,Adequate lap at joins.,,,,,,,,,,,,
checkpoint,Silicone sealed under laps and where necessary to make waterproof.,,,,,,,,,,,,
checkpoint,Rivets and fixings sealed where necessary,,,,,,,,,,,,
checkpoint,Adequate support to prevent buckling.,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Roof Penetrations,,,,,,Roof Penetrations Checklist - Library Roof,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,,,,
checkpoint,Roof Batten Support under back tray flashing,,,,,,,,,,,,
checkpoint,Dektite,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Penetration: Hole cut to correct size to allow clearance.,,,,,,,,,,,,
checkpoint,Roof sheets whethered correctly,,,,,,,,,,,,
checkpoint,"Soaker flashing lapped, sealed and fixed correctly.",,,,,,,,,,,,
checkpoint,Adequate support under soaker to prevent ponding.,,,,,,,,,,,,
checkpoint,Side and front aprons / upstands formed to correct size ,,,,,,,,,,,,
checkpoint,To fit the purpose,,,,,,,,,,,,
checkpoint,Adequate support around penetration to prevent roof,,,,,,,,,,,,
checkpoint,Sheet from buckling,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
