"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5ef499a4-d132-4797-97cf-92461e2ef9a1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Panels"
"90c36ec6-38de-403c-8ef4-66b9d9e9de1d","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-01 4/12"
"a02b7e01-5f9a-4172-b218-25bc8800ef74","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-02 30/11"
"e15f80c3-d585-4c3e-b8ee-af613eb41762","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-03 22/11"
"2de5789e-8c24-4ef6-aacf-86f09a23708a","","checklist-sectioned","not-started","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-04"
"b53725bb-f2f0-41ef-a641-0fd2152f66fd","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-05 4/12"
"53be596e-b9f3-4136-84e6-bf4d3e3beec9","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-06 22/11"
"a56b9dc3-c009-4a76-a545-0e4c392f5fe9","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-07 31/10"
"3f480f22-2ce3-43c9-9d20-57d27aeb104d","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-08 30/10  "
"98da3d32-457e-4cac-8850-b6cf0b85de3e","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-09 13/11"
"1f0ce9f5-60ee-47fd-94d5-d2da440ca692","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-10 16/11"
"22256975-0203-4133-91c7-e66b70e0fc5b","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-11 9/11 "
"1bdea64b-b1cb-4a6f-84ce-729675e49162","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-12 15/11"
"f388795b-4e0b-455a-9dcd-2912934a6437","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-13 10/11"
"e51f164b-a953-497b-8f79-c78f4fef5ad1","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-14 21/11"
"c234e7ff-7380-4ba9-a71c-ce3935d55330","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-15 27/11"
"4e0abf5e-3b4d-4e9f-bf43-1bf2e296d7bc","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-16 20/11"
"4c37a80f-9b9f-402c-bec3-9ebc46768a76","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-17 27/11"
"3c2cc6b7-e680-4536-863e-bddf334e4c68","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-18 22/11"
"6b9e137a-9b37-48d1-872c-8f5a1ddaf787","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-19 29/11"
"ed603f44-82b0-4b69-bbd7-58757d36f1c1","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-20 4/12"
"439c2e95-da00-4d38-9e05-99bbc9aa8ceb","","checklist-sectioned","not-started","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-21"
"799dc9ed-aea7-4d68-8a35-22bdc8e530ec","","checklist-sectioned","not-started","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-22"
"b64a786f-1cf6-459d-955d-04a823175c2c","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-23 5/12"
"a41cd0c7-42cc-414d-866b-7b7cb8d65f68","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-24 4/12"
"bf6b5f38-1079-440f-9b58-d0449651b063","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-25 29/11"
"4078dab0-dc65-4bc5-b2e3-ad7fe8379fce","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-26 23/11"
"ca1efa34-df93-49da-be51-b6e0b6d8f5ce","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-27 21/11 (REJECTED)"
