resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,
,step,,,B01,,,,,,,,,,,,,,
,step,,,,Fitout ,,,,,,,,,,,,,
,step,,,,,Basement ,,,,,,,,,,,,
,step,,,,,,NW - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
,step,,,,,,,,Carpark,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,SW - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
,step,,,,,,,,Carpark,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,Center,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
,step,,,,,,,,Carpark,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,NE - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
,step,,,,,,,,Common Areas,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,SE - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas ,,,,,,,,,,
,step,,,,,,,,Commercial Kitchen,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,Ground Floor,,,,,,,,,,,,
,step,,,,,,NW - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
,step,,,,,,,,Common Areas,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,SW - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas ,,,,,,,,,,
,step,,,,,,,,Common Areas,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,Apartments,,,,,,,,,,
,step,,,,,,,,G69A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G68A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G67A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G66A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G65A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G64A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,Center,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
,step,,,,,,,,Common Areas,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,NE - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,Common Areas,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,Apartments,,,,,,,,,,
,step,,,,,,,,G19C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G17C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G15C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G6C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G4C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G2C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G1C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G3C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G5C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G7C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G8C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G10C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G11C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G13C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G14C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G12C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G9C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G16C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G18C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G20C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,SE - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
,step,,,,,,,,Common Areas,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,Apartments ,,,,,,,,,,
,step,,,,,,,,G21C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G23C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G25C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G34C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G38C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G40C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G39C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G37C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G36C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G35C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G33C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G32C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G30C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G28C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G27C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G29C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G31C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
