type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,PVC Tanks Checklist,,,,,,PVC Tanks Checklist,d60fdaf4-a52c-4e93-8bd3-a20046065c26
checkpoint,Surface conditions suitable for installation - details in comments below,,,,,,,
checkpoint,Moisture test complete - result in comments below,,,,,,,
label,Must be below 5% to pass,,,,,,,
checkpoint,Atmospheric conditions,,,,,,,
label,"Note ambient temp, Relative Humidity, Dew Point ",,,,,,,
checkpoint,Product Batch Numbers,,,,,,,
label,Note batch numbers for products used,,,,,,,
checkpoint,Equipment used,,,,,,,
label,Note equipment used like rollers etc.,,,,,,,
checkpoint,Substrate inspected and accepted,,,,,,,
label,"Substrate must be clean, smooth, dry and free from dust or contaminants. All sharp points and loose material to be removed",,,,,,,
checkpoint,Application of Geofabric to substrate                   ,,,,,,,
checkpoint,Application of PVC Sheet Membrane                      ,,,,,,,
checkpoint,PVC Sheet Membrane detailing as required,,,,,,,
checkpoint,"Final Walk over and inspection by main contractor, Supplier and Appliactor if Applicable.",,,,,,,
checkpoint,Test 1 Probe Test,,,,,,,
checkpoint,Test 2 Air Test Test (if double seam weld is done otherwise revert test 1),,,,,,,
checkpoint,"Works completed, area Tidy - builder signature attached below if applicable",,,,,,,
,,,,,,,,
checklist-flat,Internal Wet Areas Checklist,,,,,,Internal Wet Areas Checklist,9a6da969-c8bf-4f20-9f7c-1fd1276a2967
checkpoint,Substrate inspected and accepted,,,,,,,
label,"Substrate must be clean, smooth, dry and free from dust or contaminants. All sharp points and loose material to be removed.",,,,,,,
checkpoint,Atmospheric conditions,,,,,,,
label,"Note ambient temp, Relative Humidity, Dew Point ",,,,,,,
checkpoint,Product Batch Numbers,,,,,,,
label,Note batch numbers for products used,,,,,,,
checkpoint,Equipment used,,,,,,,
label,Note equipment used like rollers etc.,,,,,,,
checkpoint,Application of Bond Breaker completed,,,,,,,
checkpoint,Application of membrane as per project specification-1st coat,,,,,,,
checkpoint ,Application of reinforcement sheet ,,,,,,,
checkpoint,Application of membrane as per project specification-2nd coat,,,,,,,
checkpoint,Final DFT Thickness of Membrane,,,,,,,
checkpoint ,"Final Walk over and inspection by main contractor, Supplier and Applicator if Applicable",,,,,,,
checkpoint,Test 1 Flood Test Pass/Fail,,,,,,,
,,,,,,,,
checklist-flat,Liquid Membranes Checklist,,,,,,Liquid Membranes Checklist,a405fc37-a85d-4995-aa04-2a717c3edbbd
checkpoint,Substrate inspected and accepted,,,,,,,
label,"Substrate must be clean, smooth, dry and free from dust or contaminants. All sharp points and loose material to be removed",,,,,,,
checkpoint,Atmospheric conditions,,,,,,,
label,"Note ambient temp, Relative Humidity, Dew Point ",,,,,,,
checkpoint,Product Batch Numbers,,,,,,,
label,Note batch numbers for products used,,,,,,,
checkpoint,Equipment used,,,,,,,
label,Note equipment used like rollers etc.,,,,,,,
checkpoint,Moisture Test Result (if required),,,,,,,
label,Provide moisture test results if concrete placement<28 days,,,,,,,
checkpoint,Application of Primer as per specification,,,,,,,
checkpoint,Application of Bond Breaker completed,,,,,,,
checkpoint,Application of Membrane as per project specification,,,,,,,
checkpoint ,"Final Walk over and inspection by main contractor, Supplier and Applicator if Applicable",,,,,,,
