type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist,ITP-019-AX-LOT-XXX - Desc,itp,,,,,ITP 0019 - Bonded Anchors (100 Year Design Life),96d5cae8-80f3-4e56-bbff-27486cd7b9ed,,,,,,,
section,1 - Preliminaries - Materials,,,,,,,,,,,,,,
checkpoint,1.1 - Bonded Anchor System - Chemical Adhesive,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,IFC Drawings,,,,,,,,,,,,,,
label,680.05 (a),,,,,,,,,,,,,,
label,680.05 (b) (i - vi),,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Acceptance Criteria: Bonded anchor systems shall be certified in accordance with a third party materials accreditation scheme shown below:,,,,,,,,,,,,,,
label,i. ATIC SPEC 38,,,,,,,,,,,,,,
label,ii. EOTA EAD 330499-00 or 01-0601,,,,,,,,,,,,,,
label,iii. ICC-ES (USA),,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Frequency: Once, per product, prior to commencement of Works",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
checkpoint,1.2 - Bonded Anchor System - Reinforcement,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,IFC Drawings,,,,,,,,,,,,,,
label,680.05 (c),,,,,,,,,,,,,,
label,611.05 (a),,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Where applicable, current ACRS certification for materials and for bar processing.",,,,,,,,,,,,,,
label,Anchor bars need to remain uncoated (black) for durability purposes in fatigue loading.,,,,,,,,,,,,,,
label,Note: Galvanised steel dowels are only to be used where maximum design life is 25 years and only permanently dry conditions.,,,,,,,,,,,,,,
label,"Note: ACRS certificate may cover both aspects or be for each separate portion (e.g 1 for the material supplier and another for the bar processor (bending, cropping and delivery)",,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Frequency: Where applicable, once for each supplier, 14 days of award of contract",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
checkpoint,1.3 - Bonded Anchor System - Stainless Steel Anchors,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,IFC Drawings,,,,,,,,,,,,,,
label,680.05 (c),,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Where applicable, stainless steel grades 1.4401, 1.4404, 1.4362 and 1.4571 (marking A4) may not be used in conditions where the component is either permanently inundated in seawater or in the splash zone.",,,,,,,,,,,,,,
label,Stainless steel grades 1.4529 (marking C) may be used in conditions where the component is either permanently inundated in seawater or in the splash zone.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Frequency: Where applicable, once, prior to commencement of Works",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
checkpoint,1.4 - Bonded Anchor System - Proprietary Threaded Anchor Rods & Metallic Bolts,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,IFC Drawings,,,,,,,,,,,,,,
label,680.05 (c),,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Where applicable, bonded anchor systems shall be certified in accordance with a third party materials accreditation scheme shown below:",,,,,,,,,,,,,,
label,i. ATIC SPEC 38,,,,,,,,,,,,,,
label,ii. EOTA EAD 330499-00 or 01-0601,,,,,,,,,,,,,,
label,iii. ICC-ES (USA),,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval Number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Frequency: Where applicable, once, prior to commencement of Works",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
checkpoint,1.5 - Ultimate Load Testing (for Alternate Product or Changes to Existing Product),,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,680.05 (a),,,,,,,,,,,,,,
label,680.09 (b),,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Where applicable, if an alternative system is proposed, where a bonded anchor system falls outside the scope of certification or where directed by the Superintendent, Ultimate Load Testing shall be performed to validate the bonded anchor system meets or exceeds the intended durability and load capacities.",,,,,,,,,,,,,,
label,"A sample of 5 no. anchors per combination of adhesive type, anchor orientation, type, grade, diameter and concrete grade shall be installed in accordance with the manufacturer's installation instructions, load tested and results reported by a third-party accredited testing authority.",,,,,,,,,,,,,,
label,Refer to section 5.2 if the Ultimate Load Test fails.,,,,,,,,,,,,,,
label,Results of the Ultimate Load Testing to be submitted to the Superintendent.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Frequency: Where applicable, 2 weeks prior to installation of anchors",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: ConQA Hold Point Release,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
section,2 - Preliminaries - Documentation & Procedures,,,,,,,,,,,,,,
checkpoint,2.1 - Design of Bonded Anchors Subject to Tensile Forces,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,680.04,,,,,,,,,,,,,,
label,"BTN 006, Clause 2.6",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: If bonded anchors are proposed to be used in full or partial tension, submit full details of the proposal, including a Proof Engineering Certificate of Compliance, for the approval of the Superintendent.",,,,,,,,,,,,,,
label,The Design Engineer must be a member of Engineers Australia and have a minimum of 5 years experience in the design and construction of bonded anchors.,,,,,,,,,,,,,,
label,The Proof Engineer must be independent of the Design Engineer and be pre-qualified to DTP's level PE. ,,,,,,,,,,,,,,
textbox,Enter: Teambinder Approval number,,,,,,,,,,,,,,
label,or,,,,,,,,,,,,,,
label,Attach: PE Certificate of Compliance,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Frequency: Where applicable, 2 weeks prior to installation of anchors",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: ConQA Hold Point Release,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.2 - Bonded Anchor Work Method Statement,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,680.11,,,,,,,,,,,,,,
label,680.07,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Bonded anchor WMS, detailing the method for locating reinforcement/tendons/services, equipment to be used, load testing regime and repair of concrete (spalled and cracking) to be submitted for review to the Superintendent.",,,,,,,,,,,,,,
textbox,Enter: Teambinder Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Frequency: Once, prior to trial installation",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: ConQA Hold Point Release,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.3 - Load Testing Work Method Statement,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,680.09 (a),,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Load Testing WMS, detailing the target loads (1.5x or 2x the design loads), load increments, duration for the load to be stained at each increment, testing frequency, measures if fail occurs and equipment to be used.",,,,,,,,,,,,,,
label,Additional testing equipment requirements:,,,,,,,,,,,,,,
label,i. capable of measuring the applied force to an accuracy of ±2%,,,,,,,,,,,,,,
label,ii. capable of measuring the elongation with an accuracy of ±0.02 mm,,,,,,,,,,,,,,
label,iii. have a valid calibration certificate,,,,,,,,,,,,,,
label,The above is to be submitted for review to the Superintendent.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Frequency: Once, 1 week prior to prior testing",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: ConQA Hold Point Release,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.4 - Competency & Training of Personnel,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,680.06,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Acceptance Criteria: All bonded anchor installation crews and direct supervisory personnel shall either be:,,,,,,,,,,,,,,
label,"i. listed on the ""AEFAC Certified List of Installers""; or",,,,,,,,,,,,,,
label,ii. trained by the Supplier of the bonded anchor system.,,,,,,,,,,,,,,
label,Evidence of either is to be submitted to the Superintendent.,,,,,,,,,,,,,,
label,The bonded anchor tester shall be experienced in testing bonded anchors and test reporting.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Frequency: Once, prior to commencement of Works",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
section,3 - Pre-installation Activities,,,,,,,,,,,,,,
checkpoint,3.1 - Installation Equipment,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,680.07,,,,,,,,,,,,,,
label,Manufacturer's Installation Instructions,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Acceptance Criteria: Bonded anchors shall be installed using the equipment specified by the bonded anchor system's installation instructions.,,,,,,,,,,,,,,
label,"This includes drill bits / dustless drill bits, diamond cores, roughening tools, cleaning brushes, mixing nozzles, piston plugs and extensions.",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Visual,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Frequency: Each discrete population,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,
checkpoint,3.2 - Setting Out,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,680.08 (a) & (b),,,,,,,,,,,,,,
label,Manufacturer's Installation Instructions,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Locations of bonded anchor holes shall be positioned at the design spacings and angles using a calibrated covermeter or ground penetrating radar (GPR) to ensure that no damage occurs to reinforcement, pre-stressing strand, ducting and embedded services.",,,,,,,,,,,,,,
label,"Where clashes are detected, adjust the anchor location if able to maintain the maximum and minimum spacings, edge distance and cover requirements.",,,,,,,,,,,,,,
label,"If unable to maintain these parameters, consult the Designer Engineer via the RFI process to provide updated locations.",,,,,,,,,,,,,,
label,Note: The marked out locations shall be traceable to determine a discrete population of anchors and installed by the same work crew.,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Method: Measure, Visual",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Frequency: Each anchor,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Responsibility: Surveyor, SE/PE/SPE",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
section,4 - Installation Activities,,,,,,,,,,,,,,
checkpoint,4.1 - Hole Drilling/Coring,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,680.08 (a) & (b),,,,,,,,,,,,,,
label,Manufacturer's Installation Instructions,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Holes shall be drilled or cored in the orientations, angles (if not perpendicular to the concrete surface) and depths shown on the IFC drawings.",,,,,,,,,,,,,,
label,Drill or core diameters shall be those shown in the manufacturer's installation instructions.,,,,,,,,,,,,,,
label,Coring may require the internal surface of the hole to be roughened.,,,,,,,,,,,,,,
label,"If reinforcement is encountered during the drilling or coring process, cease drilling immediately and relocate the hole.",,,,,,,,,,,,,,
label,Refer to section 5.4 for repair of abandoned holes.,,,,,,,,,,,,,,
label,"If reinforcement is damaged, consult the Designer Engineer via the RFI process to provide a clear direction moving forward prior to continuing installation of that discrete population of anchors.",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Method: Measure, Visual",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Frequency: Each anchor,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: SE/PE/SPE,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
checkpoint,4.2 - Hole Cleaning,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,680.08 (a) & (b),,,,,,,,,,,,,,
label,Manufacturer's Installation Instructions,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Hole cleaning shall commence as soon as practical following the drilling / coring process to remove debris, dust particles and moisture / free-standing water (where required).",,,,,,,,,,,,,,
label,"The process shall follow the manufacturer's installation instructions which is a repetitive sequence of brush cleaning and air flushing, resulting in no dust detected on a finger-tip when in contact with the internal wall of the hole.",,,,,,,,,,,,,,
label,The minimum hole depth shall be verified before proceeding to the next step.,,,,,,,,,,,,,,
label,"Note: Where hollow-tipped drill bits are used in conjunction with a vacuum drill, cleaning may not be required - consult the manufacturer's installation instructions.",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Visual,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Frequency: Each anchor,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: SE/PE/SPE,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
checkpoint,4.3 - Substrate Temperature,,,,,,,,,,,,,,
label,Reference: ,,,,,,,,,,,,,,
label,680.08 (b),,,,,,,,,,,,,,
label,Manufacturer's Installation Instructions,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Bonded anchors shall not be installed where the temperature of the concrete is less than -5°C, or greater than 40°C or outside the limits shown on the manufacturer's installation instructions.",,,,,,,,,,,,,,
label,"Record: The substrate temperatures at the time of commencing the discrete population, the corresponding available working and curing times and the temperature at the completion of installation.",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Method: Measure, Visual",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Frequency: Each discrete population,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: SE/PE/SPE,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
checkpoint,4.4 - Anchor Surface Condition,,,,,,,,,,,,,,
label,Reference: ,,,,,,,,,,,,,,
label,680.08 (b),,,,,,,,,,,,,,
label,Manufacturer's Installation Instructions,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Anchors shall be clean, free from debris, oil and other contaminants.",,,,,,,,,,,,,,
label,Note: Any substrate coatings may need to be factored into determining the embedment depth,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Visual,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Frequency: Each anchor,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: SE/PE/SPE,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
checkpoint,4.5 - Adhesive Injection,,,,,,,,,,,,,,
label,Reference: ,,,,,,,,,,,,,,
label,680.08 (a) & (b),,,,,,,,,,,,,,
label,Manufacturer's Installation Instructions,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Connect the specific adhesive, cartridge gun and required injection equipment (nozzle, tubes, piston plug and valves) for the task and discharge the initial adhesive to waste to ensure that only fully mixed product will be used in the Works.",,,,,,,,,,,,,,
label,"Note: Repeat the ""initial discharge to waste"" for each new mixing nozzle used and do not modify the nozzles.",,,,,,,,,,,,,,
label,"Inject the adhesive into the hole, starting from the base working towards the substrate surface at a rate that prevents the creation of air voids, until approximately 2/3 of the hole depth is reached, checked visually prior to the insertion of the anchor.",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Method: Measure, Visual",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Frequency: Each anchor,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: SE/PE/SPE,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
checkpoint,4.6 - Anchor Insertion,,,,,,,,,,,,,,
label,Reference: ,,,,,,,,,,,,,,
label,680.08 (a) & (b),,,,,,,,,,,,,,
label,Manufacturer's Installation Instructions,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: While the adhesive is within the temperature dependent working time, the anchor shall be inserted and verified to the minimum embedment depth with a singular twisting motion, to ensure that the adhesive completely surrounds the anchor.",,,,,,,,,,,,,,
label,"Where required, the anchor shall be centralised within the hole using temporarily supports to provide a uniform film of adhesive around the anchor and Excessive adhesive shall be cleaned from the substrate surface. ",,,,,,,,,,,,,,
label,Loss of adhesive during the working time shall be prevented by sealing around the anchor as required.,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Method: Measure, Visual",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Frequency: Each anchor,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
