"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"882d0c44-8e52-4023-b99e-9547e4ce480a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"5755627f-f126-42eb-b15d-dde9b52255e7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Inground"
"b8bf2c51-5b82-4865-bc4d-0698c9e945a2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Inground","PP1"
"5261d809-53bd-4f66-9f13-6ad822e04f67","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Inground","PP1","A-C"
"95228171-c071-4564-a9b8-7a9abb5691eb","","checklist-flat","work-in-progress","Stormwater Below Ground","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","A-C","Stormwater"
"07da1c74-cc5e-5c14-a8aa-a4237788f8ff","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Stormwater","Set-Out & Alignment"
"f93e0527-c8bc-5f4c-b83d-71412095d790","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Stormwater","Materials type checked & correct"
"d00dd12f-0fdb-5835-8161-b6bb955c5675","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Stormwater","Correct fittings"
"73166fbd-cafe-50b2-ac83-d3529f0d4b92","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Stormwater","Fittings & fixtures"
"4710bf24-860f-5930-956f-434c081fd2ea","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Stormwater","Inspection by Authority"
"3f359a73-5e09-5f91-964a-4d6639f969f7","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Stormwater","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
"cac3366e-3c3f-4362-aca9-0089e724b5c3","","checklist-flat","not-started","Below Ground Sewer Drainage","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","A-C","Sewer drainage"
"b54a2427-f33a-5322-8073-c611f75f5e4c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Sewer drainage","Set-Out & Alignment"
"0cb9affb-dea6-558f-a12c-94f675d4c29a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Sewer drainage","Materials type checked & correct"
"75e52ea5-f221-5a4e-a8f3-735b5ea5f200","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Sewer drainage","Correct fittings"
"4501ec62-776d-59fe-acd8-c665375e84d6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Sewer drainage","Fittings & fixtures"
