"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"175233bd-89e7-4ae4-a461-f40b148d9775","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"8de7fbab-8428-4352-a0e0-ebc9575036c9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs"
"db312f5a-1666-48f4-9499-fc53ddb0baaa","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","Building A"
"10d56fa3-6812-4e1b-809d-539c430f7737","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","Building A","A1"
"30153ce8-6f23-4cac-8230-aa2920d51dd6","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A1","AE-ITCX-001 - Temp Board"
"1b5ad90f-0db8-42a2-96d9-0fac1985c18f","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A1","AE-ITCX-002 - Monthly RCD Test Sheet"
"d7dbf7c4-3d60-4bf2-a1d9-0a598a481c0e","","checklist-sectioned","pass","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A1","AE-ITCX-003 - Mandatory Test Results For Construction Wiring"
"59112b7e-2ca9-484f-b474-11d02f63da3a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","Building A","A2"
"b22b3b36-e075-47c6-8500-1921709741a1","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A2","AE-ITCX-001 - Temp Board"
"6d772be3-42d2-4e80-ac10-50501e500ef2","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A2","AE-ITCX-002 - Monthly RCD Test Sheet"
"a5738d8f-d8ec-4ad9-83ab-7f7c2a2921b2","","checklist-sectioned","pass","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A2","AE-ITCX-003 - Mandatory Test Results For Construction Wiring"
"00543724-a961-4d6b-a9eb-ef609364ce80","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","Building A","A3"
"e1180e0f-9f58-4ca9-adc9-1acb4bcd628e","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A3","AE-ITCX-001 - Temp Board"
"9782adab-7f2d-4028-ab8a-7a398ffb143e","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A3","AE-ITCX-002 - Monthly RCD Test Sheet"
"66e835d5-03a7-4076-aae5-2218842fbabd","","checklist-sectioned","pass","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A3","AE-ITCX-003 - Mandatory Test Results For Construction Wiring"
"c2bed0cd-4f77-4fe5-94a1-15bbcd3752a5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","Building A","A4"
"3b57f12a-5284-455a-8ec6-7608f7407e4d","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A4","AE-ITCX-001 - Temp Board"
"3400e46a-12c1-4c77-a591-fc2f0c440fc0","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A4","AE-ITCX-002 - Monthly RCD Test Sheet"
"ed51ae20-e9f8-438d-80d8-6f7b20787be8","","checklist-sectioned","pass","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A4","AE-ITCX-003 - Mandatory Test Results For Construction Wiring"
"3d70aa60-c5ec-47bb-8a82-4abe2d3ad4d3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","Building A","A1.1"
"1a50623d-cb5d-4d70-a301-ba4b69bcf31d","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A1.1","AE-ITCX-001 - Temp Board"
"7f4a7361-851f-4d5f-bed8-423cd4141103","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A1.1","AE-ITCX-002 - Monthly RCD Test Sheet"
"06006e4b-0ad4-4f58-bb9e-ce5bef47d022","","checklist-sectioned","pass","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A1.1","AE-ITCX-003 - Mandatory Test Results For Construction Wiring"
"bc851d8d-226a-4304-83b9-ab97dece070c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","Building A","A2.1"
"d82e73b2-ac05-4cd6-b422-ab4a03523fc1","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A2.1","AE-ITCX-001 - Temp Board"
"d1f013cd-19a1-4547-a109-66ea67fa186e","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)

","checklist","FALSE","FALSE","Site QA","Temporary DBs","Building A","A2.1","AE-ITCX-002 - Monthly RCD Test Sheet"
