"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8e12bb11-6e0b-4097-95c7-154203689a29","","work-in-progress","","folder","TRUE","FALSE","QA Checks"
"bc0bc1c6-7664-4dcc-89ac-1207acbcf824","","not-started","","folder","TRUE","FALSE","QA Checks","August"
"982d7acc-39f7-42b3-9952-869aefacef17","","not-started","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","August","QA Form"
"4178ed29-90ae-5559-9e68-55dc2abf14a2","","not-started","Form 87 - QA Form:9af97d8f-6e91-433e-b605-e741f4b57ce2","section","FALSE","FALSE","QA Checks","August","QA Form","Details"
"baf3c6da-6fef-526c-b08f-2c95b01a899b","","not-started","Form 87 - QA Form:9af97d8f-6e91-433e-b605-e741f4b57ce2:d658a447-d50c-462d-a5d2-08feb8091f44","checkpoint","TRUE","TRUE","QA Checks","August","QA Form","Details","Details"
"3aaea5d9-2e9f-5508-95da-6fb9122e1660","","not-started","Form 87 - QA Form:7a9286aa-7558-48e5-9db2-05fea60f5a85","section","FALSE","FALSE","QA Checks","August","QA Form","Preliminary Activities"
"0570b2a4-5848-50bd-a8c9-e3c886be66a3","","not-started","Form 87 - QA Form:7a9286aa-7558-48e5-9db2-05fea60f5a85:51fb4cdb-82b3-4d8f-83aa-b2a82aaf429e","checkpoint","TRUE","TRUE","QA Checks","August","QA Form","Preliminary Activities","1 - Review Work Instruction"
"ff9cc348-4786-58c8-8fbd-beb214364c33","","not-started","Form 87 - QA Form:7a9286aa-7558-48e5-9db2-05fea60f5a85:351bf310-e1f8-4286-a989-3601b5259eff","checkpoint","TRUE","TRUE","QA Checks","August","QA Form","Preliminary Activities","2 - Certification of lifting points/ cast in items"
"b74ffc41-85ab-5abf-955f-938e552fea90","","not-started","Form 87 - QA Form:7a9286aa-7558-48e5-9db2-05fea60f5a85:080fbac6-9170-4109-a2a1-5d834ebad545","checkpoint","TRUE","TRUE","QA Checks","August","QA Form","Preliminary Activities","3 - Concrete mix design"
"094f2218-910c-585d-b914-1704e8a625ff","","not-started","Form 87 - QA Form:7a9286aa-7558-48e5-9db2-05fea60f5a85:8699bd1c-ae11-4724-9343-2079ec7d68d4","checkpoint","TRUE","TRUE","QA Checks","August","QA Form","Preliminary Activities","4 - Pre-Inspection Meeting"
"b46f7548-e596-5718-b493-7fcea021f398","","not-started","Form 87 - QA Form:62352867-955e-45f4-a9f5-573282002989","section","FALSE","FALSE","QA Checks","August","QA Form","Materials"
"ac475b14-66ef-5924-a2fb-addd59f0f71f","","not-started","Form 87 - QA Form:62352867-955e-45f4-a9f5-573282002989:165bfb96-0449-4f3c-829e-eaded3bf6586","checkpoint","TRUE","TRUE","QA Checks","August","QA Form","Materials","5 - Assemble reinforcing cage"
"3cd832e7-cf33-593b-932b-1a1de433a78a","","not-started","Form 87 - QA Form:d1873c3f-d74a-4689-9994-e317e97ed6cc","section","FALSE","FALSE","QA Checks","August","QA Form","Pre-Pour"
"3ae836b3-47e7-5785-8365-99f5aadcda8b","","not-started","Form 87 - QA Form:d1873c3f-d74a-4689-9994-e317e97ed6cc:ac317b1a-5baf-4852-858d-3d191afe95c1","checkpoint","TRUE","TRUE","QA Checks","August","QA Form","Pre-Pour","6 - Set up formwork/moulds"
"7a989870-f24b-53a6-b5a0-9e2e16b9ff76","","not-started","Form 87 - QA Form:d1873c3f-d74a-4689-9994-e317e97ed6cc:4ca2dd39-5c10-459b-9d32-2ac2d809ef38","checkpoint","TRUE","TRUE","QA Checks","August","QA Form","Pre-Pour","7 - Apply form release"
"77ce4223-0d93-54de-af65-6a8d5b119ea6","","not-started","Form 87 - QA Form:d1873c3f-d74a-4689-9994-e317e97ed6cc:38a2cd6a-e1d3-4c54-94c6-d7c4de74f34b","checkpoint","TRUE","TRUE","QA Checks","August","QA Form","Pre-Pour","8 - Installation of reinforcing"
"d243826e-2a4c-534e-acab-44c360244924","","not-started","Form 87 - QA Form:d1873c3f-d74a-4689-9994-e317e97ed6cc:e4fe6d61-1104-4a78-bc80-835279f32e71","checkpoint","TRUE","TRUE","QA Checks","August","QA Form","Pre-Pour","9 - Installation of cast-in items (Lifting Pins, Ferrules etc)"
"654b6b97-31de-51b2-bdd9-217e7f8b5715","","not-started","Form 87 - QA Form:f13a10d2-da83-401a-a014-f8b4ef456cf0","section","FALSE","FALSE","QA Checks","August","QA Form","Batching Concrete"
