type,name,values,prefix,postfix,usage count,user addable,template name,,,
checklist,ITP023 - Crack Sealing in Bituminous Surfacing,itp,,,,,ITP023 - Crack Sealing in Bituminous Surfacing,,,
section,1 Preliminary,,,,,,,,,
checkpoint,1.01 - Demonstration that the sealant and the application method to be used comply with the requirements of the specification.,,,,,,,,,
note,Frequency: Prior to the commencement of crack sealing.,,,,,,,,,
note,Acceptance Criteria: The test section must consist of the sealing of not less than 50 lineal metres of crack.,,,,,,,,,
note,• The Contract Administrator will inspect and assess the outcomes of the crack sealing trial prior to the release of the Hold Point.,,,,,,,,,
note,Reference Documents: GHD-DD-SPC-002 5504 HP5504-1,,,,,,,,,
note,Inspection/ Test Method: Inspection,,,,,,,,,
note,Record of conformity: ITP,,,,,,,,,
note,HP,,,,,,,,,
note,Responsibility: Quality Manager,,,,,,,,,
textbox,Date Completed:,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,
checkpoint,1.02 - Material Sources - Conformance Test Certificates/Reports,,,,,,,,,
note,Frequency: At least 6 weeks prior to shipping and the commencement of construction of crack sealing.,,,,,,,,,
note,Acceptance Criteria: The following information must be submitted:,,,,,,,,,
note,a.  Source of the material;,,,,,,,,,
note,b.  Name and address of the manufacturer;,,,,,,,,,
note,c.  Location of manufacture;,,,,,,,,,
note,d.  Process(es) used in manufacture; and,,,,,,,,,
note,e.  Test certificates for every test property in the set of test properties that are required to demonstrate the compliance of the material with the relevant Specification (AS 2157).,,,,,,,,,
note,• The certificate shall indicate full compliance of the bitumen emulsion with the above-specified requirements and shall be issued by a laboratory registered by NATA for the performance of such tests. The test certificates shall be for the manufacturer's current production and samples to which the test certificates pertain shall have been taken not more than 1 month prior to submission.,,,,,,,,,
note,Reference Documents: GHD-DD-SPC-002 5507(b) HP5507-1,,,,,,,,,
note,Inspection/ Test Method: Document submission,,,,,,,,,
note,Record of conformity: ITP,,,,,,,,,
note,HP,,,,,,,,,
note,Responsibility: Quality Manager,,,,,,,,,
textbox,Date Completed:,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,
section,2 Materials,,,,,,,,,
checkpoint,2.01 - Rubberised Bituminous Sealant,,,,,,,,,
note,Frequency: Prior to the commencement of crack sealing.,,,,,,,,,
note,Acceptance Criteria: Rubberised Bituminous Sealant must be a proprietary polymer bitumen (PMB) sealant specifically manufactured for the sealing of cracks. It must be a hot applied material and must have a high resistance to bleeding in service during hot weather (minimum Softening Point 90°C),,,,,,,,,
note,• The rubberised bituminous sealant must consist of SAMIfilla HM or similar approved.,,,,,,,,,
note,Reference Documents: GHD-DD-SPC-002 5502(a),,,,,,,,,
note,Inspection/ Test Method: Inspection,,,,,,,,,
note,Record of conformity: ITP,,,,,,,,,
note,IP,,,,,,,,,
note,Responsibility: Site Engineer,,,,,,,,,
textbox,Date Completed:,,,,,,,,,
checkpoint,2.02 - Reflected Joint Bandage,,,,,,,,,
note,Frequency: Prior to the commencement of crack sealing.,,,,,,,,,
note,"Acceptance Criteria: The rubber-bitumen compound shall be a flexible weather resistant seal, slump resistant unaffected by permanent immersion in water, or by alkalis or sulphates.",,,,,,,,,
note,"• The material shall have a minimum storage life of 12 months in original containers stores in cool, dry conditions and have a density of 1.30kg/litre.",,,,,,,,,
note,• The sealing compound shall adhere firmly to the concrete in all weather conditions.,,,,,,,,,
note,• The sealing compound shall not flow either along or down the joint during hot weather,,,,,,,,,
note,• The sealing compound shall be durable and shall not weather beyond the forming of a thin surface skin.,,,,,,,,,
note,Reference Documents: GHD-DD-SPC-002 5502(b),,,,,,,,,
note,Inspection/ Test Method: Inspection,,,,,,,,,
note,Record of conformity: ITP,,,,,,,,,
note,IP,,,,,,,,,
note,Responsibility: Site Engineer,,,,,,,,,
textbox,Date Completed:,,,,,,,,,
checkpoint,2.03 - Herbicide,,,,,,,,,
note,Frequency: Prior to the commencement of crack sealing.,,,,,,,,,
note,"Acceptance Criteria: Herbicides shall be a broad spectrum, non-residual, glyphosate based herbicide that has been specifically manufactured for low aquatic toxicity, and complying with any additional environmental requirements in Section 1400 of the Specification.",,,,,,,,,
note,Reference Documents: GHD-DD-SPC-002 5502(c) GHD-DD-SPC-002 1400,,,,,,,,,
note,Inspection/ Test Method: Inspection,,,,,,,,,
note,Record of conformity: ITP,,,,,,,,,
note,IP,,,,,,,,,
note,Responsibility: Site Engineer,,,,,,,,,
textbox,Date Completed:,,,,,,,,,
section,3 Preparation,,,,,,,,,
checkpoint,3.01 - Poisoning and removal of grass and weed growth,,,,,,,,,
note,Frequency: Prior to the commencement of preparation of cracks.,,,,,,,,,
note,Acceptance Criteria: Poisoning and removal of grass and weed growth in all cracks and joints shall be carried out prior to commencing any crack and/or joint sealing. ,,,,,,,,,
note,Reference Documents: GHD-DD-SPC-002 5503(a),,,,,,,,,
note,Inspection/ Test Method: Inspection,,,,,,,,,
note,Record of conformity: ITP,,,,,,,,,
note,IP,,,,,,,,,
note,Responsibility: Site Engineer,,,,,,,,,
textbox,Date Completed:,,,,,,,,,
checkpoint,3.02 - Preparation of Cracks,,,,,,,,,
note,Frequency: Prior to the application of the crack sealant.,,,,,,,,,
note,"Acceptance Criteria: All cracks shall be thoroughly cleaned of all foreign material, including old crack sealant.",,,,,,,,,
note,"• Cracks shall be blown out with compressed air using a lance, and if hot air is utilised, care shall be exercised to keep the lance moving to avoid burning the surrounding pavement.",,,,,,,,,
note,• All wide (greater than 5mm) and/or deep cracks in the all types of pavement shall be choked with dry sand to 15mm below the surface of the pavement. Any sand spilled on the surface of the pavement shall be removed prior to sealing.,,,,,,,,,
note,Reference Documents: GHD-DD-SPC-002 5503(b),,,,,,,,,
note,Inspection/ Test Method: Inspection,,,,,,,,,
note,Record of conformity: ITP,,,,,,,,,
note,IP,,,,,,,,,
note,Responsibility: Site Engineer,,,,,,,,,
