"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c77db8a2-1826-4d22-b147-8fb55560ba76","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"053545e0-51cd-467d-9bc7-a6af74626d1a","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"b167c478-d764-4109-80ec-d795e81b65ba","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"d35f857e-c5a5-484b-a711-b89608d98894","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"f7d2502a-c850-4536-b6cc-3da7997a8e02","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"a5020707-f281-4e7e-a34b-e9c2caecd1dd","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"ec0c074f-2d12-415d-93c6-6c17067eaf6c","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA"
"1a1c19b0-7be2-421a-9af9-1e4b4d516b62","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","External Roof Areas"
"8157b185-ea3c-49ca-8c99-3c3ecfea5010","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems"
"23462847-f963-4207-a2d4-f92dfc730c74","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01"
"4b6d9c22-49bb-43a7-8f7b-382b2bbf0a2d","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Pre-Fit Off Checklist - Line 01"
"0b803eeb-3d56-47f5-8254-c6045d6f53fe","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Pre-Fit Off Checklist - Line 01","Confirm structure is in accordance to the details provided"
"715c1141-80b2-49c0-977f-06e2165299cf","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Pre-Fit Off Checklist - Line 01","EMAIL PM"
"8db44069-ca9b-4625-8e29-971d6ce172b6","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Pre-Fit Off Checklist - Line 01","Plinths/ bases/post installed in accordance with details provided"
"8c9f3be4-ca66-433b-8ffb-f2a6fa6d6bd1","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Pre-Fit Off Checklist - Line 01","Photos taken"
"5c45329b-da5b-44a9-be89-2217c081c837","","checklist-flat","not-started","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Fit Off Checklist - Line 01"
"86394c25-f871-4599-85a6-f743c4383b34","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"3f0bd619-7066-428c-bac1-0810bfb7c1bc","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Fit Off Checklist - Line 01","EMAIL PM"
"edf23b60-41e2-4a13-a4d7-b3817286d82f","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test and swages"
"65f7021e-3a58-403d-b7d9-55442e967f4f","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"dd27142e-59f2-4f3f-a125-d9983d0fb4d8","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Fit Off Checklist - Line 01","Video taken of system"
"4a757c42-1c64-499e-b16a-79b3a232fea4","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"00c1764a-5146-4b71-8126-3fbd880b6213","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02"
